Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	30	61.224489795918366	1.5413143267639363E-20	TRUB1, DIDO1, RBM28, DDX46, RPP30, DDX23, RTCB, RPL11, NOL8, NOC4L, PHAX, TFB1M, DHX57, UTP14A, DCAF13, TEFM, NOP58, WDR36, NCOA5, DIMT1, DIS3, NSUN6, TFB2M, PUS7, NSA2, SNW1, CNOT7, SNRPG, GEMIN5, HNRNPH3	49	1483	18976	7.834092504162825	1.5567274700315756E-18	1.5721406132992151E-18	1.3871828940875426E-18
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	11	22.448979591836736	9.56545692542617E-13	NOP58, WDR36, NSA2, DIS3, RPP30, RPL11, NOL8, NOC4L, UTP14A, DCAF13, RPP38	48	138	19462	32.31914251207729	1.6261658686289593E-10	1.6165622203970226E-10	1.4730803665156302E-10
GOTERM_BP_DIRECT	GO:0030488~tRNA methylation	7	14.285714285714285	1.5018188251377693E-10	TRMT112, BCDIN3D, NSUN6, TRMT2B, FTSJ1, TRMT61A, TRMT61B	48	33	19462	86.00631313131314	2.5530917047156265E-8	1.0959150945103521E-8	9.986445239916819E-9
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	6	12.244897959183673	1.945411410373406E-10	TRMT112, DIMT1, TFB2M, TRMT2B, TFB1M, TRMT61B	48	15	19462	162.18333333333334	3.30719968077986E-8	1.0959150945103521E-8	9.986445239916819E-9
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	29	59.183673469387756	4.338858964094745E-9	DDX46, RPP30, DDX23, WDR4, RTCB, RPL11, NOC4L, PHAX, OSGEP, TRMT112, NSD1, TGS1, DGCR8, POLK, UTP14A, DCAF13, RPP38, METTL17, NOP58, WDR36, NCOA5, DIMT1, DIS3, BCDIN3D, SNW1, SNRPG, GEMIN5, HNRNPH3, TRMT61A	49	4077	20660	2.9991039830207282	3.991749435439118E-7	3.9917502469671653E-7	3.3409214023529535E-7
GOTERM_BP_DIRECT	GO:0006400~tRNA modification	5	10.204081632653061	5.85722758059026E-7	TRUB1, WDR4, NSUN6, FTSJ1, OSGEP	48	28	19462	72.40327380952381	9.956794081700249E-5	2.474678652799385E-5	2.2550326185272504E-5
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	6	12.244897959183673	8.347872261935098E-7	NOP58, WDR36, DIMT1, NOC4L, UTP14A, DCAF13	49	75	20660	33.730612244897955	7.679750778999406E-5	3.840021240490145E-5	3.213930820845013E-5
GOTERM_CC_DIRECT	GO:0005730~nucleolus	15	30.612244897959183	2.5855755218095207E-6	RBM28, NOP58, WDR36, DIMT1, DDX23, RPL11, NOL8, NOC4L, NSA2, TGS1, DGCR8, UTP14A, DCAF13, METTL18, RPP38	49	1420	20660	4.453866053463639	2.378449659253823E-4	7.929098266882531E-5	6.63631050597777E-5
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	4	8.16326530612245	3.2886475088690458E-6	TGS1, BCDIN3D, TRMT2B, FTSJ1	49	12	18976	129.08843537414967	3.3209878755036115E-4	1.6772102295232132E-4	1.4798913789910707E-4
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	4	8.16326530612245	1.968326211522481E-5	TGS1, BCDIN3D, NSUN6, FTSJ1	48	22	19462	73.71969696969695	0.003340595245578948	6.652942594945985E-4	6.062444731489242E-4
GOTERM_MF_DIRECT	GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity	3	6.122448979591836	3.747132188567503E-5	DIMT1, TFB2M, TFB1M	49	4	18976	290.44897959183675	0.003777521565630937	0.001274024944112951	0.001124139656570251
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	8	16.3265306122449	3.949870614327896E-5	DIMT1, TFB2M, TRMT2B, TFB1M, TRMT61B, COQ5, METTL17, TEFM	49	406	20660	8.308032572634964	0.0036273579184683546	9.084702412954161E-4	7.6035009325812E-4
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	6	12.244897959183673	1.1776724609931967E-4	SNW1, DDX46, DDX23, SNRPG, GEMIN5, HNRNPH3	48	200	19462	12.16375	0.019822509346761774	0.0033171107651308374	0.0030226926498825384
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	5	10.204081632653061	1.3762473677758128E-4	NSD1, TGS1, METTL18, COQ5, METTL17	49	104	18976	18.618524332810047	0.013804881489441478	0.0035094307878283226	0.003096556577495579
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	5	10.204081632653061	2.871423456520728E-4	RBM28, SNW1, DDX46, SNRPG, HNRNPH3	49	137	20660	15.38805303143155	0.026074911277191637	0.00528341915999814	0.004421992123041922
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	4	8.16326530612245	7.587645341546622E-4	NOP58, WDR36, DIMT1, METTL17	48	74	19462	21.916666666666664	0.12106025407491583	0.01831874375316256	0.01669281975140257
GOTERM_CC_DIRECT	GO:0015030~Cajal body	4	8.16326530612245	9.163528678235623E-4	NOP58, DDX46, TGS1, PHAX	49	82	20660	20.567446490791436	0.08088415931600179	0.014050743973294623	0.011759861803735717
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	5	10.204081632653061	0.0016919805145004538	RBM28, DDX23, SNRPG, HNRNPH3, PUS7	48	212	19462	9.562696540880504	0.25014865602506375	0.03574308836882208	0.03257062490413373
GOTERM_BP_DIRECT	GO:0000387~spliceosomal snRNP assembly	3	6.122448979591836	0.00222318032060435	TGS1, SNRPG, GEMIN5	48	29	19462	41.94396551724138	0.31501709231549746	0.04174638602023724	0.03804108548589665
GOTERM_BP_DIRECT	GO:0032259~methylation	4	8.16326530612245	0.0033366821859306273	NSD1, METTL18, COQ5, METTL17	48	124	19462	13.079301075268816	0.4334468748523028	0.0563899289422276	0.05138490566333166
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	3	6.122448979591836	0.004199616890783321	RPP30, RTCB, PUS7	48	40	19462	30.409375	0.5110222093055017	0.0645213867765801	0.05879463647096649
GOTERM_BP_DIRECT	GO:2000633~positive regulation of pre-miRNA processing	2	4.081632653061225	0.004824216731100747	TRUB1, DGCR8	48	2	19462	405.4583333333333	0.5604929145221955	0.06794105229633553	0.06191078138245959
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	3	6.122448979591836	0.004824526309190506	TGS1, BCDIN3D, METTL17	49	41	18976	28.336485813837733	0.3864272207749083	0.08589685993768777	0.07579134700384214
GOTERM_MF_DIRECT	GO:0061711~N(6)-L-threonylcarbamoyladenine synthase	2	4.081632653061225	0.00505275646692281	OSGEPL1, OSGEP	49	2	18976	387.265306122449	0.4004776626292671	0.08589685993768777	0.07579134700384214
GOTERM_CC_DIRECT	GO:0005634~nucleus	24	48.97959183673469	0.005504333362747263	TRUB1, DIDO1, DDX46, DIS3, RPP30, WDR4, RTCB, DDX23, PHAX, PUS7, FTSJ1, OSGEP, AIMP1, SNW1, CNOT7, NSD1, TGS1, SNRPG, GEMIN5, DGCR8, POLK, HNRNPH3, TRMT61A, METTL18	49	6106	20660	1.657252485009726	0.3981803711147569	0.06405139950771296	0.053608236544498894
GOTERM_CC_DIRECT	GO:0042645~mitochondrial nucleoid	3	6.122448979591836	0.005569686913714171	TFB2M, TFB1M, TEFM	49	48	20660	26.352040816326532	0.40180799731082195	0.06405139950771296	0.053608236544498894
GOTERM_CC_DIRECT	GO:0031515~tRNA (m1A) methyltransferase complex	2	4.081632653061225	0.0069541450994301535	TRMT61A, TRMT61B	49	3	20660	281.08843537414964	0.4737696754482159	0.07108681657195268	0.05949657473956909
GOTERM_MF_DIRECT	GO:0016429~tRNA (adenine-N1-)-methyltransferase activity	2	4.081632653061225	0.007569751707386401	TRMT61A, TRMT61B	49	3	18976	258.17687074829934	0.5358062812476145	0.11030209630763041	0.09732537909496801
GOTERM_CC_DIRECT	GO:0016604~nuclear body	5	10.204081632653061	0.009560777601676914	SNW1, CNOT7, DGCR8, GEMIN5, POLK	49	359	20660	5.872321073276108	0.586799909726193	0.07818691768118298	0.06543905066794663
GOTERM_BP_DIRECT	GO:0006391~transcription initiation from mitochondrial promoter	2	4.081632653061225	0.009625653227184656	TFB2M, TFB1M	48	4	19462	202.72916666666666	0.8068498621803533	0.12513349195340054	0.1140269689989567
GOTERM_MF_DIRECT	GO:0034246~mitochondrial RNA polymerase binding promoter specificity activity	2	4.081632653061225	0.010080511835345154	TFB2M, TFB1M	49	4	18976	193.6326530612245	0.6405923749934365	0.12852652590065072	0.11340575814763298
GOTERM_CC_DIRECT	GO:0005829~cytosol	22	44.89795918367347	0.01011058310136362	TRUB1, NOP58, DIS3, DIMT1, WDR4, RTCB, RPL11, BCDIN3D, PHAX, NSUN6, FTSJ1, OSGEP, AIMP1, TRMT112, CNOT7, TGS1, SNRPG, GEMIN5, DGCR8, UTP14A, DCAF13, METTL18	49	5629	20660	1.6478803281838585	0.6073779685475589	0.07818691768118298	0.06543905066794663
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	4	8.16326530612245	0.010198293610589083	SNRPG, PHAX, HNRNPH3, TEFM	49	193	20660	8.73850058157978	0.610565670232815	0.07818691768118298	0.06543905066794663
GOTERM_BP_DIRECT	GO:0002949~tRNA threonylcarbamoyladenosine modification	2	4.081632653061225	0.012017861794374935	OSGEPL1, OSGEP	48	5	19462	162.18333333333334	0.8719599563894274	0.14507276023209742	0.1321964797381243
GOTERM_MF_DIRECT	GO:0003714~transcription corepressor activity	4	8.16326530612245	0.014849875085864812	SNW1, CNOT7, NCOA5, NSD1	49	204	18976	7.593437374949979	0.7793295954156609	0.15770263683101424	0.13914938543913022
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	3	6.122448979591836	0.015461042826570025	DDX46, DHX57, DDX23	49	75	18976	15.490612244897958	0.792736205632568	0.15770263683101424	0.13914938543913022
GOTERM_BP_DIRECT	GO:0006412~translation	4	8.16326530612245	0.016425131685466464	AIMP1, RPL11, GEMIN5, METTL17	48	222	19462	7.3055555555555545	0.9401227320708998	0.18505648365625552	0.16863135197078905
GOTERM_CC_DIRECT	GO:0005655~nucleolar ribonuclease P complex	2	4.081632653061225	0.01843929960023395	RPP30, RPP38	49	8	20660	105.4081632653061	0.8195408575068898	0.12731655187403315	0.10655841841631035
GOTERM_BP_DIRECT	GO:0036261~7-methylguanosine cap hypermethylation	2	4.081632653061225	0.01916060600961116	TGS1, SNRPG	48	8	19462	101.36458333333333	0.96270564878287	0.20214531675726924	0.18420342473739326
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	3	6.122448979591836	0.01937425789387461	SNW1, DDX23, SNRPG	49	92	20660	13.748890860692102	0.8346886614681033	0.12731655187403315	0.10655841841631035
