"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","267/1600","489/18903",8.98950311627385e-159,4.4839641543974e-155,3.70935286482037e-155,"GCFC2/MPHOSPH10/REXO4/PRPF31/WDR46/PAK1IP1/SCAF11/ATM/ZCCHC4/URB1/RPUSD2/DDX27/ABT1/POP5/PRPF18/NIP7/METTL18/SNRPB2/TFB1M/POLR2D/GEMIN4/COIL/LSG1/RPL10/EIF5/RPL26L1/NUP88/DDX23/SF3B1/SRSF5/DDX3X/YTHDC1/EIF3A/SRSF1/LUC7L3/PSIP1/EIF2S3/NOB1/RPS21/SNIP1/DROSHA/METTL5/PRPF39/SNRNP200/EXOSC10/METTL17/NOL10/EXOSC1/DCAF13/FCF1/ATR/RRP8/DDX18/ZNHIT6/SF3A3/SRSF10/NOL11/RBFA/DHX9/DDX46/DIS3/MRPL44/SART3/EXOSC2/RRN3/KRR1/UTP14A/RPL7/DDX51/MRPS11/DHX29/YBEY/ISG20L2/RPF1/CLP1/RPL35A/GRWD1/TRMT61B/POP4/GNL2/GTPBP10/GEMIN5/NOM1/METTL16/SPATA5L1/SHQ1/EXOSC3/RPF2/RPP30/SURF6/PELP1/KRI1/NOL6/EXOSC9/GPATCH4/RPP38/DDX47/SNRPD3/PWP2/EMG1/MYBBP1A/NUDT21/NOL9/RSL1D1/DHX30/EXOSC4/RUVBL2/SF3B2/NGDN/EIF3D/LTV1/RRP1/NHP2/MRM1/SDAD1/RPL38/NOC4L/LUC7L/DDX56/MTERF4/UTP20/PRMT7/USP39/AGO3/WDR74/MRPL20/GAR1/MRPL22/MAK16/SRSF6/FTSJ3/CPSF6/WDR3/MRTO4/SF3A2/DKC1/XAB2/PRPF8/LSM2/SF3B5/POP7/NSUN5/EIF3B/SRSF9/C1QBP/LSM4/NUFIP1/TRMT112/SF1/PES1/YTHDF2/UTP18/SF3B4/EIF4B/EIF3L/RPL24/RPS27/EIF2A/NSA2/RPL14/RPL11/RPS25/RPS6/RPL23A/WDR12/CLNS1A/DDX52/EIF3M/GTPBP4/DICER1/RPL5/RPS7/NOLC1/SNRPD1/SNRPA1/ABCE1/MTERF3/PRKDC/RPS24/DENR/NPM1/EXOSC8/DDX10/RPL6/EIF3E/PTGES3/TBL3/EIF6/STRAP/RPS15/XPO1/RPS28/TAF9/SUV39H1/EIF2S2/HTATSF1/DDX54/DDX1/IMP4/NOC2L/PDCD11/WDR43/SF3B3/TSR1/SF3A1/RBMX/WBP11/PTBP2/CRNKL1/GEMIN6/CDC73/RIOK2/WDR77/NOP56/NOP2/ERAL1/UTP6/RUVBL1/LSM6/SNRPB/RPL26/ERI2/RPS17/PA2G4/RRP36/UTP3/NOP16/RPSA/RPS27L/SNRPC/RRP9/EIF3I/MRPS7/TSR2/MRPS2/EXOSC7/SRPK1/RRP1B/NOP14/SMN2/TFB2M/NCBP1/HSP90AB1/BRIX1/ESF1/BYSL/SNRPE/RPL35/RPL27/EBNA1BP2/RAN/FASTKD2/RPP40/DIMT1/DDX21/PRMT5/NAT10/PRPF19/LAS1L/EXOSC5/BMS1/SNRPF/SNRPD2/XRCC5/TRMT2B/IMP3/XRN2",267
"GO:0034470","GO:0034470","ncRNA processing","223/1600","439/18903",7.70018707075718e-123,1.92042665544684e-119,1.58867017459832e-119,"MPHOSPH10/REXO4/INTS9/WDR46/SMAD2/PUS3/TRDMT1/ZCCHC4/URB1/RPUSD2/DDX27/TRMT1/TARBP1/ABT1/POP5/METTL2B/METTL18/THUMPD1/WDR6/INTS1/MTO1/TFB1M/SRRT/GEMIN4/NUP155/OSGEPL1/TSN/ELP3/DDX5/PUM2/DDX3X/ALKBH1/NOB1/RPS21/NCOR1/SNIP1/DROSHA/METTL5/POP1/EXOSC10/CDKAL1/NOL10/NSUN6/EXOSC1/TRMT13/DCAF13/TRMT44/FCF1/RRP8/DDX18/ZNHIT6/MOCS3/NOL11/RBFA/DIS3/DUS4L/MRPL44/PUS1/EXOSC2/KRR1/TRMT6/UTP14A/TRUB2/ELAC1/RPL7/ZBTB8OS/DDX51/MRPS11/LARP7/PTCD1/YBEY/RPF1/THUMPD2/CLP1/RPL35A/TRMT61B/METTL1/PARN/POP4/AARS2/METTL16/SHQ1/INTS3/EXOSC3/RPF2/RPP30/TRMT61A/PELP1/KRI1/NOL6/ESR1/TRMT11/EXOSC9/TUT1/RPP38/DDX47/PWP2/EMG1/FAM98A/NOL9/INTS6/RSL1D1/EXOSC4/ADAT1/NGDN/KTI12/RRP1/INTS5/TRMT12/NHP2/MRM1/TYW1/NOC4L/FARS2/TRMT2A/DDX56/MTERF4/UTP20/AGO3/WDR74/WDR4/GAR1/TSEN2/MAK16/FTSJ3/WDR3/MRTO4/DKC1/TP53/POP7/NSUN5/TPRKB/TRMT112/PES1/YTHDF2/UTP18/INTS10/RPS27/NSA2/RPL14/RPL11/RPS25/RPS6/WDR12/DDX52/GTPBP4/DICER1/RPL5/RPS7/SRSF3/SSB/NOLC1/TRMT10C/PRKDC/RPS24/EXOSC8/DDX10/TBL3/EIF6/RPS15/GRSF1/NCOR2/HNRNPA2B1/RPS28/SUV39H1/HSD17B10/DDX54/DDX1/IMP4/PDCD11/WDR43/TSR1/EGFR/WBP11/PRKRA/TRMT5/RIOK2/NOP56/NOP2/UTP6/LSM6/PUS7/TOE1/RPL26/ZCCHC8/ERI2/RPS17/PA2G4/RRP36/UTP3/ZMPSTE24/RRP9/INTS12/TSR2/EXOSC7/RRP1B/DGCR8/NOP14/TFB2M/INTS7/NCBP1/BRIX1/THG1L/ESF1/BYSL/RPL35/RPL27/FTSJ1/EBNA1BP2/RPP40/DIMT1/DDX21/TRMT1L/NCBP2/NAT10/ELAC2/LAS1L/EXOSC5/BMS1/TRMT2B/IMP3/NSUN2/XRN2",223
"GO:0042254","GO:0042254","ribosome biogenesis","180/1600","310/18903",3.72186391525237e-112,6.1882190697596e-109,5.11919527992607e-109,"MPHOSPH10/REXO4/WDR46/PAK1IP1/ZCCHC4/URB1/RPUSD2/DDX27/ABT1/POP5/NIP7/METTL18/TFB1M/GEMIN4/LSG1/RPL10/RPL26L1/NUP88/DDX3X/NOB1/RPS21/DROSHA/METTL5/EXOSC10/METTL17/NOL10/EXOSC1/DCAF13/FCF1/RRP8/DDX18/ZNHIT6/NOL11/RBFA/DIS3/MRPL44/EXOSC2/RRN3/KRR1/UTP14A/RPL7/DDX51/MRPS11/DHX29/YBEY/ISG20L2/RPF1/RPL35A/GRWD1/TRMT61B/POP4/GNL2/GTPBP10/NOM1/METTL16/SPATA5L1/SHQ1/EXOSC3/RPF2/RPP30/SURF6/PELP1/KRI1/NOL6/EXOSC9/GPATCH4/RPP38/DDX47/PWP2/EMG1/MYBBP1A/NOL9/RSL1D1/DHX30/EXOSC4/NGDN/LTV1/RRP1/NHP2/MRM1/SDAD1/RPL38/NOC4L/DDX56/MTERF4/UTP20/WDR74/MRPL20/GAR1/MRPL22/MAK16/FTSJ3/WDR3/MRTO4/DKC1/POP7/NSUN5/C1QBP/TRMT112/PES1/YTHDF2/UTP18/RPL24/RPS27/EIF2A/NSA2/RPL14/RPL11/RPS25/RPS6/RPL23A/WDR12/DDX52/GTPBP4/RPL5/RPS7/NOLC1/ABCE1/MTERF3/PRKDC/RPS24/NPM1/EXOSC8/DDX10/RPL6/TBL3/EIF6/RPS15/XPO1/RPS28/SUV39H1/DDX54/IMP4/NOC2L/PDCD11/WDR43/TSR1/WBP11/RIOK2/NOP56/NOP2/ERAL1/UTP6/LSM6/RPL26/ERI2/RPS17/PA2G4/RRP36/UTP3/NOP16/RPSA/RPS27L/RRP9/MRPS7/TSR2/MRPS2/EXOSC7/RRP1B/NOP14/TFB2M/BRIX1/ESF1/BYSL/RPL35/RPL27/EBNA1BP2/RAN/FASTKD2/RPP40/DIMT1/DDX21/NAT10/LAS1L/EXOSC5/BMS1/XRCC5/TRMT2B/IMP3/XRN2",180
"GO:0016072","GO:0016072","rRNA metabolic process","150/1600","268/18903",4.90264916759594e-90,6.11360351199214e-87,5.05746966762529e-87,"MPHOSPH10/REXO4/WDR46/ZCCHC4/URB1/RPUSD2/DDX27/ABT1/POP5/METTL18/TFB1M/GEMIN4/NOB1/RPS21/DROSHA/METTL5/EXOSC10/NOL10/EXOSC1/DCAF13/FCF1/RRP8/DDX18/ZNHIT6/NOL11/RBFA/DIS3/MRPL44/EXOSC2/KRR1/UTP14A/POLR1B/RPL7/DDX51/MRPS11/YBEY/RPF1/RPL35A/TRMT61B/POP4/METTL16/SHQ1/EXOSC3/RPF2/RPP30/PELP1/KRI1/NOL6/EXOSC9/GTF3C5/RPP38/DDX47/GTF3C4/PWP2/EMG1/NOL9/TCOF1/RSL1D1/EXOSC4/NGDN/RRP1/MTOR/NHP2/MRM1/NOC4L/DDX56/MTERF4/UTP20/WDR74/GAR1/MAK16/FTSJ3/WDR3/MRTO4/GTF3C3/DKC1/TP53/POP7/POLR1E/NSUN5/TRMT112/PES1/YTHDF2/UTP18/RPS27/NSA2/RPL14/RPL11/RPS25/RPS6/WDR12/DDX52/GTPBP4/RPL5/RPS7/NOLC1/PRKDC/RPS24/EXOSC8/DDX10/NCL/TBL3/EIF6/RPS15/RPS28/SUV39H1/DDX54/IMP4/PDCD11/WDR43/TSR1/WBP11/RIOK2/NOP56/NOP2/UTP6/LSM6/RPL26/PELO/ERI2/RPS17/PA2G4/RRP36/UTP3/RRP9/TSR2/EXOSC7/RRP1B/NOP14/TFB2M/BRIX1/ESF1/BYSL/SMARCA4/GTF3C2/RPL35/RPL27/EBNA1BP2/SMARCB1/RPP40/DIMT1/DDX21/NAT10/LAS1L/EXOSC5/BMS1/GTF3C1/TRMT2B/IMP3/XRN2",150
"GO:0008380","GO:0008380","RNA splicing","197/1600","469/18903",4.19316921548302e-89,4.18310560936586e-86,3.46046806835651e-86,"GCFC2/MPHOSPH10/PRPF31/DHX38/SCAF11/THOC1/TAF15/PRPF38B/PRPF18/GPATCH1/METTL4/CDC40/YBX1/SNRPB2/RBM22/RBM19/MAGOHB/DDX39A/GEMIN4/COIL/PABPC1/DHX16/DDX23/MBNL1/IK/CWF19L1/FXR1/SF3B1/SRSF5/DDX5/HNRNPH3/RBM25/YTHDC1/HNRNPR/HNRNPU/HNRNPM/DHX15/SRSF1/LUC7L3/PSIP1/SRSF11/RBM39/HNRNPA3/TIA1/RBM42/SNRNP27/PAXBP1/ZNF638/SNIP1/PRPF39/SNRNP200/PNN/THRAP3/RBM14/FUS/SREK1/PTBP3/SF3A3/SRSF10/DHX9/ZRANB2/AQR/DDX46/PUS1/SART3/ZC3H13/RBM15/MAGOH/WBP4/NSRP1/ZBTB8OS/PPIG/THOC2/LARP7/CCAR2/CDC5L/THOC6/GPKOW/PPP2R1A/CLP1/EFTUD2/GEMIN5/METTL16/ZNF326/RBM12B/CWC15/TAF5L/ALYREF/DBR1/RBM17/CDK12/DDX47/HNRNPK/KDM1A/SNW1/SNRPD3/CDK13/TRRAP/FAM98A/POLR2A/SF3B2/RBM10/KHDRBS1/RBM4/ZNF830/AHNAK/TRA2A/ACIN1/LUC7L/PRMT7/USP39/TSEN2/SRSF6/SRSF4/SRRM1/SF3A2/TCERG1/XAB2/KHSRP/PRMT1/PRPF8/LSM2/SF3B5/SRSF9/C1QBP/LSM4/SF1/RNPS1/PPIE/SF3B4/SFPQ/MFAP1/HNRNPA1/CLNS1A/SRSF3/SNRPD1/SNRPA1/NPM1/NCL/PPP2CA/STRAP/GRSF1/TARDBP/HNRNPA2B1/HNRNPC/TAF9/BUD31/HTATSF1/DDX1/RBM4B/NONO/HNRNPL/SF3B3/SF3A1/SMU1/RBMX/WBP11/RBM8A/PTBP2/CRNKL1/GEMIN6/WDR77/LSM6/SNRPB/RALY/PUS7/SNRNP40/ZCCHC8/HNRNPH1/PPIH/SNRPC/LSM3/HNRNPF/SYNCRIP/LSM5/DAZAP1/SRPK1/RRP1B/U2AF1/SMN2/FMR1/NCBP1/TAF12/SNRPE/U2AF2/LSM7/BCAS2/ECD/PRPF40A/NCBP2/PRMT5/PRPF19/DDX41/SNRPF/PPP1R8/SNRPD2/RBM28",197
"GO:0006364","GO:0006364","rRNA processing","136/1600","229/18903",2.73346290623424e-86,2.27241882938273e-83,1.87985519165583e-83,"MPHOSPH10/REXO4/WDR46/ZCCHC4/URB1/RPUSD2/DDX27/ABT1/POP5/METTL18/TFB1M/GEMIN4/NOB1/RPS21/DROSHA/METTL5/EXOSC10/NOL10/EXOSC1/DCAF13/FCF1/RRP8/DDX18/ZNHIT6/NOL11/RBFA/DIS3/MRPL44/EXOSC2/KRR1/UTP14A/RPL7/DDX51/MRPS11/YBEY/RPF1/RPL35A/TRMT61B/POP4/METTL16/SHQ1/EXOSC3/RPF2/RPP30/PELP1/KRI1/NOL6/EXOSC9/RPP38/DDX47/PWP2/EMG1/NOL9/RSL1D1/EXOSC4/NGDN/RRP1/NHP2/MRM1/NOC4L/DDX56/MTERF4/UTP20/WDR74/GAR1/MAK16/FTSJ3/WDR3/MRTO4/DKC1/POP7/NSUN5/TRMT112/PES1/YTHDF2/UTP18/RPS27/NSA2/RPL14/RPL11/RPS25/RPS6/WDR12/DDX52/GTPBP4/RPL5/RPS7/NOLC1/PRKDC/RPS24/EXOSC8/DDX10/TBL3/EIF6/RPS15/RPS28/SUV39H1/DDX54/IMP4/PDCD11/WDR43/TSR1/WBP11/RIOK2/NOP56/NOP2/UTP6/LSM6/RPL26/ERI2/RPS17/PA2G4/RRP36/UTP3/RRP9/TSR2/EXOSC7/RRP1B/NOP14/TFB2M/BRIX1/ESF1/BYSL/RPL35/RPL27/EBNA1BP2/RPP40/DIMT1/DDX21/NAT10/LAS1L/EXOSC5/BMS1/TRMT2B/IMP3/XRN2",136
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","151/1600","333/18903",1.16675732173121e-73,8.31397931542179e-71,6.877727370205e-71,"GCFC2/MPHOSPH10/PRPF31/DHX38/SCAF11/PRPF18/GPATCH1/CDC40/SNRPB2/RBM22/RBM19/MAGOHB/DDX39A/GEMIN4/COIL/PABPC1/DHX16/DDX23/MBNL1/IK/CWF19L1/FXR1/SF3B1/SRSF5/DDX5/HNRNPH3/RBM25/YTHDC1/HNRNPR/HNRNPU/HNRNPM/SRSF1/LUC7L3/PSIP1/RBM39/HNRNPA3/TIA1/RBM42/SNRNP27/PAXBP1/SNIP1/PRPF39/SNRNP200/PNN/THRAP3/RBM14/SF3A3/SRSF10/DHX9/AQR/DDX46/SART3/RBM15/MAGOH/WBP4/NSRP1/LARP7/CDC5L/GPKOW/EFTUD2/GEMIN5/METTL16/CWC15/ALYREF/DBR1/RBM17/HNRNPK/KDM1A/SNW1/SNRPD3/CDK13/SF3B2/RBM10/KHDRBS1/RBM4/TRA2A/LUC7L/PRMT7/USP39/SRSF6/SRSF4/SRRM1/SF3A2/XAB2/KHSRP/PRPF8/LSM2/SF3B5/SRSF9/C1QBP/LSM4/SF1/RNPS1/PPIE/SF3B4/SFPQ/MFAP1/HNRNPA1/CLNS1A/SRSF3/SNRPD1/SNRPA1/NPM1/NCL/STRAP/HNRNPA2B1/HNRNPC/BUD31/HTATSF1/DDX1/RBM4B/HNRNPL/SF3B3/SF3A1/SMU1/RBMX/WBP11/RBM8A/PTBP2/CRNKL1/GEMIN6/WDR77/LSM6/SNRPB/RALY/SNRNP40/ZCCHC8/HNRNPH1/PPIH/SNRPC/LSM3/HNRNPF/SYNCRIP/LSM5/DAZAP1/SRPK1/U2AF1/SMN2/FMR1/NCBP1/SNRPE/U2AF2/LSM7/BCAS2/PRPF40A/NCBP2/PRMT5/PRPF19/DDX41/SNRPF/SNRPD2",151
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","149/1600","329/18903",1.39108757002592e-72,7.70971644365475e-70,6.37785178304281e-70,"GCFC2/PRPF31/DHX38/SCAF11/PRPF18/GPATCH1/CDC40/SNRPB2/RBM22/RBM19/MAGOHB/DDX39A/GEMIN4/COIL/PABPC1/DHX16/DDX23/MBNL1/IK/CWF19L1/FXR1/SF3B1/SRSF5/DDX5/HNRNPH3/RBM25/YTHDC1/HNRNPR/HNRNPU/HNRNPM/SRSF1/LUC7L3/PSIP1/RBM39/HNRNPA3/TIA1/RBM42/SNRNP27/PAXBP1/SNIP1/PRPF39/SNRNP200/PNN/THRAP3/RBM14/SF3A3/SRSF10/DHX9/AQR/DDX46/SART3/RBM15/MAGOH/WBP4/NSRP1/LARP7/CDC5L/GPKOW/EFTUD2/GEMIN5/METTL16/CWC15/ALYREF/DBR1/RBM17/HNRNPK/KDM1A/SNW1/SNRPD3/CDK13/SF3B2/RBM10/KHDRBS1/RBM4/TRA2A/LUC7L/PRMT7/USP39/SRSF6/SRSF4/SRRM1/SF3A2/XAB2/PRPF8/LSM2/SF3B5/SRSF9/C1QBP/LSM4/SF1/RNPS1/PPIE/SF3B4/SFPQ/MFAP1/HNRNPA1/CLNS1A/SRSF3/SNRPD1/SNRPA1/NPM1/NCL/STRAP/HNRNPA2B1/HNRNPC/BUD31/HTATSF1/DDX1/RBM4B/HNRNPL/SF3B3/SF3A1/SMU1/RBMX/WBP11/RBM8A/PTBP2/CRNKL1/GEMIN6/WDR77/LSM6/SNRPB/RALY/SNRNP40/ZCCHC8/HNRNPH1/PPIH/SNRPC/LSM3/HNRNPF/SYNCRIP/LSM5/DAZAP1/SRPK1/U2AF1/SMN2/FMR1/NCBP1/SNRPE/U2AF2/LSM7/BCAS2/PRPF40A/NCBP2/PRMT5/PRPF19/DDX41/SNRPF/SNRPD2",149
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","149/1600","329/18903",1.39108757002592e-72,7.70971644365475e-70,6.37785178304281e-70,"GCFC2/PRPF31/DHX38/SCAF11/PRPF18/GPATCH1/CDC40/SNRPB2/RBM22/RBM19/MAGOHB/DDX39A/GEMIN4/COIL/PABPC1/DHX16/DDX23/MBNL1/IK/CWF19L1/FXR1/SF3B1/SRSF5/DDX5/HNRNPH3/RBM25/YTHDC1/HNRNPR/HNRNPU/HNRNPM/SRSF1/LUC7L3/PSIP1/RBM39/HNRNPA3/TIA1/RBM42/SNRNP27/PAXBP1/SNIP1/PRPF39/SNRNP200/PNN/THRAP3/RBM14/SF3A3/SRSF10/DHX9/AQR/DDX46/SART3/RBM15/MAGOH/WBP4/NSRP1/LARP7/CDC5L/GPKOW/EFTUD2/GEMIN5/METTL16/CWC15/ALYREF/DBR1/RBM17/HNRNPK/KDM1A/SNW1/SNRPD3/CDK13/SF3B2/RBM10/KHDRBS1/RBM4/TRA2A/LUC7L/PRMT7/USP39/SRSF6/SRSF4/SRRM1/SF3A2/XAB2/PRPF8/LSM2/SF3B5/SRSF9/C1QBP/LSM4/SF1/RNPS1/PPIE/SF3B4/SFPQ/MFAP1/HNRNPA1/CLNS1A/SRSF3/SNRPD1/SNRPA1/NPM1/NCL/STRAP/HNRNPA2B1/HNRNPC/BUD31/HTATSF1/DDX1/RBM4B/HNRNPL/SF3B3/SF3A1/SMU1/RBMX/WBP11/RBM8A/PTBP2/CRNKL1/GEMIN6/WDR77/LSM6/SNRPB/RALY/SNRNP40/ZCCHC8/HNRNPH1/PPIH/SNRPC/LSM3/HNRNPF/SYNCRIP/LSM5/DAZAP1/SRPK1/U2AF1/SMN2/FMR1/NCBP1/SNRPE/U2AF2/LSM7/BCAS2/PRPF40A/NCBP2/PRMT5/PRPF19/DDX41/SNRPF/SNRPD2",149
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","118/1600","234/18903",5.39626142157361e-64,2.69165519708092e-61,2.22666787079669e-61,"GCFC2/PRPF31/SCAF11/ATM/ABT1/PRPF18/SNRPB2/POLR2D/GEMIN4/COIL/RPL10/EIF5/DDX23/SF3B1/SRSF5/YTHDC1/EIF3A/SRSF1/LUC7L3/PSIP1/EIF2S3/SNIP1/PRPF39/SNRNP200/ATR/ZNHIT6/SF3A3/SRSF10/DHX9/DDX46/SART3/MRPS11/DHX29/CLP1/GEMIN5/SHQ1/RPF2/SNRPD3/PWP2/NUDT21/DHX30/RUVBL2/SF3B2/EIF3D/RPL38/LUC7L/PRMT7/USP39/AGO3/MRPL20/SRSF6/CPSF6/MRTO4/SF3A2/XAB2/PRPF8/LSM2/SF3B5/EIF3B/SRSF9/LSM4/NUFIP1/SF1/SF3B4/EIF4B/EIF3L/RPL24/RPS27/RPL11/RPL23A/CLNS1A/EIF3M/DICER1/RPL5/SNRPD1/SNRPA1/PRKDC/DENR/RPL6/EIF3E/PTGES3/EIF6/STRAP/RPS15/RPS28/TAF9/EIF2S2/HTATSF1/DDX1/SF3B3/SF3A1/RBMX/PTBP2/CRNKL1/GEMIN6/CDC73/WDR77/NOP2/ERAL1/RUVBL1/SNRPB/RPSA/RPS27L/SNRPC/EIF3I/MRPS7/SRPK1/SMN2/NCBP1/HSP90AB1/BRIX1/SNRPE/FASTKD2/PRMT5/PRPF19/SNRPF/SNRPD2/XRCC5",118
