"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","GO:0034470","ncRNA processing","131/257","439/18903",7.27959591660382e-149,7.90564116543175e-146,6.49799719713688e-146,"FTSJ3/EMG1/METTL16/NSUN2/METTL2B/TRMT11/ALKBH8/NOP2/MRM1/METTL1/TRMT10C/TRMT1L/TRDMT1/METTL18/DIMT1/LCMT2/METTL3/TRMT13/TRMT1/METTL15/LARP7/FBL/TRMT5/RPP38/NSUN4/TRMT10A/NSUN5/METTL2A/TRMT2A/TRMT61B/TYW3/TRMT6/TRMT44/THUMPD3/TRMT61A/DDX56/TFB2M/ZCCHC4/EXOSC2/PUS3/TARBP1/TRMT12/UTP23/HENMT1/TRUB2/TRUB1/THUMPD2/CDKAL1/RPP30/MTERF4/CDK5RAP1/TRMT10B/METTL6/POP1/DIS3/TSN/CLP1/RPUSD2/HSD17B10/WDR4/SSB/TYW1/RRP9/TSEN2/DDX21/MPHOSPH10/ZCCHC8/EXOSC5/MTO1/KRR1/FTSJ1/FCF1/METTL5/UTP3/DDX47/TRMT112/ADAT1/WDR3/MRPL44/PARN/POP4/POP7/POP5/BYSL/RPF2/BCDIN3D/WDR6/INTS12/PUS10/NOP14/NOP56/EXOSC8/ESF1/EXOSC10/PTCD1/PUS7/EXOSC1/TSEN15/DKC1/RTCB/RRP1/RRP8/UTP14A/UTP18/NOL8/FBLL1/MOCS3/DDX51/METTL8/DDX27/DCAF13/NSUN3/RPUSD1/INTS7/GRSF1/DGCR8/TRMU/PWP1/GEMIN4/FDXACB1/CTU2/MTFMT/DHX37/TFB1M/TRMT2B/NOL9/WDR36/EXOSC9/ELP3/UTP20/RPUSD4",131
"GO:0009451","GO:0009451","RNA modification","88/257","176/18903",7.66500310771005e-121,4.16209668748656e-118,3.42101191333585e-118,"FTSJ3/EMG1/METTL16/NSUN2/RNMT/METTL2B/TRMT11/ALKBH8/NOP2/MRM1/METTL1/TRMT10C/CMTR2/TRMT1L/TRDMT1/DIMT1/LCMT2/METTL3/TRMT13/TRMT1/METTL15/LARP7/FBL/TRMT5/NSUN4/TRMT10A/NSUN5/METTL2A/METTL14/METTL4/TRMT2A/TRMT61B/TYW3/TRMT6/MEPCE/TRMT44/THUMPD3/CMTR1/TRMT61A/TFB2M/ZCCHC4/PUS3/TARBP1/TRMT12/HENMT1/TRUB2/TRUB1/THUMPD2/CDKAL1/CDK5RAP1/TRMT10B/METTL6/ZC3H13/RPUSD2/WTAP/HSD17B10/WDR4/SSB/TYW1/MTO1/FTSJ1/CBLL1/METTL5/PCIF1/TRMT112/SNRPD3/PARN/BCDIN3D/WDR6/PUS10/PUS7/DKC1/FBLL1/MOCS3/METTL8/TGS1/NSUN3/RPUSD1/TRMU/RBM15B/FDXACB1/CTU2/MTFMT/PUS7L/TFB1M/TRMT2B/ELP3/RPUSD4",88
"GO:0001510","GO:0001510","RNA methylation","68/257","90/18903",3.28251588882088e-111,1.18827075175316e-108,9.76692446919334e-109,"FTSJ3/EMG1/METTL16/NSUN2/RNMT/METTL2B/TRMT11/ALKBH8/NOP2/MRM1/METTL1/TRMT10C/CMTR2/TRMT1L/TRDMT1/DIMT1/LCMT2/METTL3/TRMT13/TRMT1/METTL15/LARP7/FBL/TRMT5/NSUN4/TRMT10A/NSUN5/METTL2A/METTL14/METTL4/TRMT2A/TRMT61B/TYW3/TRMT6/MEPCE/TRMT44/THUMPD3/CMTR1/TRMT61A/TFB2M/ZCCHC4/TARBP1/TRMT12/HENMT1/THUMPD2/TRMT10B/METTL6/ZC3H13/WTAP/HSD17B10/WDR4/MTO1/FTSJ1/CBLL1/METTL5/PCIF1/TRMT112/SNRPD3/BCDIN3D/WDR6/FBLL1/METTL8/TGS1/NSUN3/RBM15B/FDXACB1/TFB1M/TRMT2B",68
"GO:0006399","GO:0006399","tRNA metabolic process","76/257","195/18903",5.36606460440067e-93,1.45688654009478e-90,1.19747968013994e-90,"NSUN2/METTL2B/TRMT11/ALKBH8/METTL1/TRMT10C/TRMT1L/TRDMT1/LCMT2/TRMT13/TRMT1/TRMT5/RPP38/TRMT10A/METTL2A/TRMT2A/TRMT61B/TYW3/TRMT6/TRMT44/THUMPD3/TRMT61A/EXOSC2/PUS3/TARBP1/TRMT12/TRUB2/TRUB1/THUMPD2/CDKAL1/RPP30/CDK5RAP1/TRMT10B/METTL6/POP1/CLP1/HSD17B10/WDR4/SSB/TYW1/TSEN2/MTO1/GTF3C2/FTSJ1/HARS2/FARSB/TRMT112/NARS2/ADAT1/POP4/POP7/POP5/BCDIN3D/WDR6/PUS10/EXOSC8/QRSL1/EXOSC10/PTCD1/PUS7/TSEN15/RTCB/YARS2/MOCS3/METTL8/NSUN3/GRSF1/TRMU/CTU2/MTFMT/TRMT2B/EXOSC9/ELP3/SARS2/GTF3C4/RPUSD4",76
"GO:0008033","GO:0008033","tRNA processing","64/257","134/18903",4.62249942013349e-85,1.00400687405299e-82,8.25237791215411e-83,"NSUN2/METTL2B/TRMT11/ALKBH8/METTL1/TRMT10C/TRMT1L/TRDMT1/LCMT2/TRMT13/TRMT1/TRMT5/RPP38/TRMT10A/METTL2A/TRMT2A/TRMT61B/TYW3/TRMT6/TRMT44/THUMPD3/TRMT61A/PUS3/TARBP1/TRMT12/TRUB2/TRUB1/THUMPD2/CDKAL1/RPP30/CDK5RAP1/TRMT10B/METTL6/POP1/CLP1/HSD17B10/WDR4/SSB/TYW1/TSEN2/MTO1/FTSJ1/TRMT112/ADAT1/POP4/POP7/POP5/BCDIN3D/WDR6/PUS10/PTCD1/PUS7/TSEN15/RTCB/MOCS3/METTL8/NSUN3/GRSF1/TRMU/CTU2/MTFMT/TRMT2B/ELP3/RPUSD4",64
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","92/257","489/18903",1.24133751182175e-80,2.24682089639737e-78,1.84676177197341e-78,"FTSJ3/EMG1/METTL16/NOP2/MRM1/METTL18/DIMT1/METTL15/FBL/RPP38/NSUN4/NSUN5/TRMT61B/DDX56/TFB2M/ZCCHC4/EXOSC2/UTP23/RPP30/MTERF4/DDX46/DIS3/CLP1/RPUSD2/FASTKD2/RRP9/DDX21/MPHOSPH10/EXOSC5/KRR1/SF3B1/FCF1/METTL5/UTP3/DDX47/TRMT112/SNRPD3/SCAF11/WDR3/MRPL44/DDX23/GNL2/POP4/POP7/POP5/BYSL/RPF2/DDX31/NOP14/NOP56/EXOSC8/ESF1/EXOSC10/DHX30/PRMT5/EXOSC1/DKC1/RRP1/RRP8/UTP14A/CRNKL1/UTP18/NOL8/FBLL1/DDX51/DDX27/CD2BP2/CPSF7/DCAF13/SART3/TGS1/NSUN3/RPUSD1/BUD13/PRPF31/PWP1/SNRPB2/GEMIN4/LSG1/FDXACB1/DHX37/PRPF3/TFB1M/TRMT2B/NUDT21/NOL9/WDR36/EXOSC9/UTP20/DDX20/RPUSD4/GEMIN5",92
"GO:0032259","GO:0032259","methylation","83/257","390/18903",6.33065197400283e-77,9.82155434823868e-75,8.07277123902918e-75,"FTSJ3/EMG1/METTL16/NSUN2/RNMT/METTL2B/TRMT11/ALKBH8/NOP2/MRM1/METTL1/TRMT10C/CMTR2/TRMT1L/TRDMT1/METTL18/DIMT1/LCMT2/METTL3/TRMT13/TRMT1/METTL15/LARP7/FBL/TRMT5/NSUN4/TRMT10A/NSUN5/METTL2A/METTL14/METTL4/TRMT2A/TRMT61B/TYW3/TRMT6/MEPCE/TRMT44/THUMPD3/CMTR1/TRMT61A/TFB2M/ZCCHC4/TARBP1/TRMT12/HENMT1/THUMPD2/TRMT10B/METTL6/ZC3H13/RBBP5/METTL7A/CHTOP/WTAP/HSD17B10/WDR4/METTL7B/MTO1/FTSJ1/CBLL1/METTL5/PCIF1/TRMT112/TPMT/METTL13/SNRPD3/BCDIN3D/WDR6/PRMT5/RRP8/FBLL1/NSUN7/METTL8/SETD2/PCMTD2/TGS1/NSUN3/SETDB1/PWP1/RBM15B/FDXACB1/TFB1M/TRMT2B/GSPT1",83
"GO:0016072","GO:0016072","rRNA metabolic process","72/257","268/18903",3.26157788648669e-74,4.42759198090569e-72,3.63923427334305e-72,"FTSJ3/EMG1/METTL16/NOP2/MRM1/METTL18/DIMT1/METTL15/FBL/RPP38/NSUN4/NSUN5/TRMT61B/DDX56/TFB2M/ZCCHC4/EXOSC2/UTP23/RPP30/MTERF4/DIS3/RPUSD2/RRP9/DDX21/MPHOSPH10/EXOSC5/KRR1/GTF3C2/FCF1/METTL5/UTP3/DDX47/TRMT112/DIS3L/WDR3/MRPL44/POP4/POP7/POP5/BYSL/RPF2/NOP14/NOP56/EXOSC8/ESF1/EXOSC10/EXOSC1/DKC1/RRP1/RRP8/UTP14A/UTP18/NOL8/FBLL1/DDX51/DDX27/DCAF13/NSUN3/RPUSD1/PWP1/GEMIN4/FDXACB1/DHX37/TFB1M/TRMT2B/NOL9/WDR36/EXOSC9/XRN1/GTF3C4/UTP20/RPUSD4",72
"GO:0043414","GO:0043414","macromolecule methylation","78/257","348/18903",6.44225257349932e-74,7.77365143868918e-72,6.38950898517828e-72,"FTSJ3/EMG1/METTL16/NSUN2/RNMT/METTL2B/TRMT11/ALKBH8/NOP2/MRM1/METTL1/TRMT10C/CMTR2/TRMT1L/TRDMT1/METTL18/DIMT1/LCMT2/METTL3/TRMT13/TRMT1/METTL15/LARP7/FBL/TRMT5/NSUN4/TRMT10A/NSUN5/METTL2A/METTL14/METTL4/TRMT2A/TRMT61B/TYW3/TRMT6/MEPCE/TRMT44/THUMPD3/CMTR1/TRMT61A/TFB2M/ZCCHC4/TARBP1/TRMT12/HENMT1/THUMPD2/TRMT10B/METTL6/ZC3H13/RBBP5/CHTOP/WTAP/HSD17B10/WDR4/MTO1/FTSJ1/CBLL1/METTL5/PCIF1/TRMT112/SNRPD3/BCDIN3D/WDR6/PRMT5/RRP8/FBLL1/METTL8/SETD2/PCMTD2/TGS1/NSUN3/SETDB1/PWP1/RBM15B/FDXACB1/TFB1M/TRMT2B/GSPT1",78
"GO:0006364","GO:0006364","rRNA processing","68/257","229/18903",2.75484230159414e-73,2.99175873953123e-71,2.45905923342298e-71,"FTSJ3/EMG1/METTL16/NOP2/MRM1/METTL18/DIMT1/METTL15/FBL/RPP38/NSUN4/NSUN5/TRMT61B/DDX56/TFB2M/ZCCHC4/EXOSC2/UTP23/RPP30/MTERF4/DIS3/RPUSD2/RRP9/DDX21/MPHOSPH10/EXOSC5/KRR1/FCF1/METTL5/UTP3/DDX47/TRMT112/WDR3/MRPL44/POP4/POP7/POP5/BYSL/RPF2/NOP14/NOP56/EXOSC8/ESF1/EXOSC10/EXOSC1/DKC1/RRP1/RRP8/UTP14A/UTP18/NOL8/FBLL1/DDX51/DDX27/DCAF13/NSUN3/RPUSD1/PWP1/GEMIN4/FDXACB1/DHX37/TFB1M/TRMT2B/NOL9/WDR36/EXOSC9/UTP20/RPUSD4",68
