Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	27	56.25	3.1385137838590296E-17	TRUB1, DIDO1, DDX46, RPP30, DDX23, RTCB, NOL8, PHAX, TFB1M, DHX57, UTP14A, DCAF13, ABCF1, TEFM, WDR36, NCOA5, DIMT1, DIS3, ZFR, NSUN6, TFB2M, PUS7, AGO3, GEMIN5, BUD13, HNRNPH3, SUGP2	48	1483	18976	7.1975724881995955	2.9188178189888976E-15	2.9502029568274878E-15	2.573581302764404E-15
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	7	14.583333333333334	3.98723414834599E-13	TRMT112, DIMT1, NSUN3, TFB2M, TRMT2B, TFB1M, TRMT61B	44	15	19462	206.4151515151515	5.3024584723004864E-11	5.2631490758167064E-11	4.9840426854324874E-11
GOTERM_BP_DIRECT	GO:0030488~tRNA methylation	7	14.583333333333334	8.567570974181908E-11	TRMT112, BCDIN3D, NSUN6, TRMT2B, FTSJ1, TRMT61A, TRMT61B	44	33	19462	93.82506887052341	1.1394866494818245E-8	5.654596842960059E-9	5.354731858863692E-9
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	26	54.166666666666664	1.1077602568152911E-7	DDX46, RPP30, DDX23, WDR4, RTCB, PHAX, TRMT112, TGS1, DGCR8, POLK, UTP14A, DCAF13, RPP38, ABCF1, WDR36, NCOA5, DIMT1, DIS3, BCDIN3D, LSG1, AGO3, GEMIN5, BUD13, HNRNPH3, TRMT61A, SUGP2	46	4077	20660	2.8642117499013553	7.865067329526632E-6	7.865097823388567E-6	6.757337566573276E-6
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	5	10.416666666666668	1.4676341287662395E-7	TGS1, NSUN3, BCDIN3D, NSUN6, FTSJ1	44	22	19462	100.52685950413222	1.951934483879203E-5	6.457590166571454E-6	6.115142203192664E-6
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	7	14.583333333333334	5.59926181481613E-7	WDR36, DIS3, RPP30, NOL8, UTP14A, DCAF13, RPP38	44	138	19462	22.43642951251647	7.446743015582236E-5	1.847756398889323E-5	1.7497693171300407E-5
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	4	8.333333333333332	3.0842051900022493E-6	TGS1, BCDIN3D, TRMT2B, FTSJ1	48	12	18976	131.77777777777777	2.8679039276646723E-4	1.4495764393010572E-4	1.2645241279009222E-4
GOTERM_BP_DIRECT	GO:0006400~tRNA modification	4	8.333333333333332	3.166728406882972E-5	TRUB1, WDR4, NSUN6, FTSJ1	44	28	19462	63.18831168831169	0.004202958214507224	8.360162994171045E-4	7.91682101720743E-4
GOTERM_MF_DIRECT	GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity	3	6.25	3.591254393517234E-5	DIMT1, TFB2M, TFB1M	48	4	18976	296.5	0.0033343552086123607	0.0011252597099687333	9.81609534228044E-4
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	4	8.333333333333332	9.375585653462601E-5	TRMU, RPP30, RTCB, PUS7	44	40	19462	44.231818181818184	0.01239268382243186	0.002062628843761772	0.001953247011138042
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	7	14.583333333333334	2.3643104996123505E-4	DIMT1, NSUN3, TFB2M, TRMT2B, TFB1M, TRMT61B, TEFM	46	406	20660	7.743628185907047	0.01664844629582396	0.008393302273623844	0.0072111470238176685
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	4	8.333333333333332	5.843329238043793E-4	WDR36, DIMT1, UTP14A, DCAF13	46	75	20660	23.953623188405796	0.04065043787827627	0.013459068993126287	0.011563425472967657
GOTERM_CC_DIRECT	GO:0015030~Cajal body	4	8.333333333333332	7.582574080634528E-4	LSG1, DDX46, TGS1, PHAX	46	82	20660	21.90880169671262	0.052432114071071734	0.013459068993126287	0.011563425472967657
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	5	10.416666666666668	9.76117009150884E-4	DDX46, DDX23, GEMIN5, BUD13, HNRNPH3	44	200	19462	11.057954545454546	0.12180530792886768	0.018406777886845242	0.01743066087769436
GOTERM_MF_DIRECT	GO:0000049~tRNA binding	4	8.333333333333332	0.0010611461148960113	AIMP1, TRMU, NSUN3, NSUN6	48	81	18976	19.522633744855966	0.09402084977560188	0.024936933700056268	0.021753495355368233
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	4	8.333333333333332	0.0021765782239417594	TRMU, TGS1, NSUN3, METTL18	48	104	18976	15.205128205128204	0.18342979582133068	0.040919670610105076	0.03569588287264485
GOTERM_CC_DIRECT	GO:0005730~nucleolus	10	20.833333333333336	0.00310410579641388	WDR36, DIMT1, TGS1, DDX23, DGCR8, NOL8, UTP14A, DCAF13, METTL18, RPP38	46	1420	20660	3.162890385793019	0.19807025952059676	0.04407830230907709	0.03787009071624933
