"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","GO:0034470","ncRNA processing","145/259","439/18903",4.82748776568753e-174,6.39159380177029e-171,5.37629690115516e-171,"METTL2A/METTL2B/ALKBH8/METTL15/TRMT13/FTSJ3/TRMT5/METTL16/NSUN2/LCMT2/MRM1/TRMT10A/TRMT10C/NSUN4/METTL1/TRMT1/METTL3/TRMT1L/EMG1/TYW3/TRDMT1/TRMT11/TRMT44/FBL/NOP2/TRMT2A/THUMPD3/NSUN5/TRMT61B/ZCCHC4/WDR4/DIMT1/TRMT12/TRMT61A/TARBP1/TFB1M/HENMT1/TRMT6/FTSJ1/LARP7/TFB2M/THUMPD2/CDK5RAP1/TRMT2B/METTL5/MTERF4/HSD17B10/BCDIN3D/DKC1/METTL6/KRR1/RPUSD2/WDR3/TRMT10B/MOCS3/DIS3/MPHOSPH10/EXOSC9/WDR36/UTP23/SSB/UTP3/PDCD11/PUS7/CTU2/NOL11/RPP30/NOLC1/RRP9/RPF1/RTCB/DCAF13/NOP58/BYSL/RRP1B/NOL8/NOP56/MTFMT/POP4/UTP20/UTP6/RPF2/MTO1/EXOSC5/WDR6/RRP8/NOP14/MRPL44/FCF1/RPP38/GAR1/WDR12/POP1/METTL18/EXOSC2/PES1/EXOSC8/PUS3/TYW1/FDXACB1/DUS3L/UTP14A/TP53RK/INTS7/NIFK/RRP1/EXOSC7/DDX21/CDKAL1/UTP15/IMP3/TRNT1/NOC4L/DDX47/SRFBP1/TSN/PTCD1/TRUB2/DDX56/TRUB1/IMP4/UTP18/INTS12/ESF1/WBP11/THG1L/TSEN2/EXOSC6/INTS2/PUS1/SUV39H1/HEATR1/RRP36/NHP2/GEMIN4/METTL8/TSEN15/DROSHA/FARS2/ZCCHC8/NCBP1/NAF1/POP7/CLP1/NOL6",145
"GO:0009451","GO:0009451","RNA modification","85/259","176/18903",1.94700075411271e-114,1.28891449922262e-111,1.08417199886908e-111,"METTL2A/METTL2B/ALKBH8/METTL15/TRMT13/FTSJ3/TRMT5/METTL16/NSUN2/LCMT2/MRM1/TRMT10A/CMTR2/TRMT10C/NSUN4/METTL1/METTL14/TRMT1/METTL3/TRMT1L/EMG1/TYW3/CMTR1/RNMT/TRDMT1/TRMT11/TRMT44/FBL/NOP2/TRMT2A/THUMPD3/MEPCE/NSUN5/TRMT61B/ZCCHC4/WDR4/DIMT1/TRMT12/TRMT61A/TARBP1/TGS1/TFB1M/HENMT1/TRMT6/FTSJ1/METTL4/LARP7/TFB2M/THUMPD2/CDK5RAP1/TRMT2B/METTL5/HSD17B10/BCDIN3D/DKC1/METTL6/WTAP/RPUSD2/TRMT10B/SNRPD3/MOCS3/ZC3H13/SSB/PUS7/CTU2/MTFMT/CBLL1/MTO1/WDR6/GAR1/PUS3/TYW1/FDXACB1/DUS3L/CDKAL1/TRUB2/TRUB1/THG1L/SNRPG/PUS1/NHP2/METTL8/SNRPE/NAF1/RBM15B",85
"GO:0001510","GO:0001510","RNA methylation","66/259","90/18903",4.65947735887506e-106,2.05638267438352e-103,1.72972878796134e-103,"METTL2A/METTL2B/ALKBH8/METTL15/TRMT13/FTSJ3/TRMT5/METTL16/NSUN2/LCMT2/MRM1/TRMT10A/CMTR2/TRMT10C/NSUN4/METTL1/METTL14/TRMT1/METTL3/TRMT1L/EMG1/TYW3/CMTR1/RNMT/TRDMT1/TRMT11/TRMT44/FBL/NOP2/TRMT2A/THUMPD3/MEPCE/NSUN5/TRMT61B/ZCCHC4/WDR4/DIMT1/TRMT12/TRMT61A/TARBP1/TGS1/TFB1M/HENMT1/TRMT6/FTSJ1/METTL4/LARP7/TFB2M/THUMPD2/TRMT2B/METTL5/HSD17B10/BCDIN3D/METTL6/WTAP/TRMT10B/SNRPD3/ZC3H13/CBLL1/MTO1/WDR6/FDXACB1/SNRPG/METTL8/SNRPE/RBM15B",66
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","106/259","489/18903",9.70116359221471e-101,3.21108514902307e-98,2.70100817909557e-98,"METTL15/FTSJ3/METTL16/MRM1/NSUN4/EMG1/FBL/NOP2/NSUN5/TRMT61B/ZCCHC4/DIMT1/TGS1/TFB1M/TFB2M/TRMT2B/METTL5/MTERF4/DKC1/KRR1/PRMT5/RPUSD2/WDR3/SNRPD3/DIS3/MPHOSPH10/EXOSC9/GEMIN5/WDR36/UTP23/UTP3/PDCD11/NOL11/RPP30/NOLC1/RRP9/RPF1/DCAF13/NOP58/BYSL/RRP1B/NOL8/NOP56/POP4/UTP20/UTP6/RPF2/EXOSC5/RRP8/NOP14/MRPL44/FCF1/RPP38/GAR1/WDR12/METTL18/EXOSC2/PES1/EXOSC8/FDXACB1/UTP14A/NIFK/RRP1/EXOSC7/DDX21/UTP15/SART3/PRPF8/IMP3/NOC4L/DDX47/SRFBP1/POLR2D/DDX56/GEMIN6/IMP4/UTP18/SF3A3/ESF1/WBP11/SNRPB2/SNRPG/DDX20/EXOSC6/SUV39H1/HEATR1/RRP36/SNRNP200/PRPF31/NHP2/GEMIN4/ABCE1/DDX23/MYBBP1A/DROSHA/SF3B3/PRMT7/DDX46/SF3B1/SNRPE/NCBP1/NAF1/POP7/CLP1/NOL6/SCAF11",106
"GO:0016072","GO:0016072","rRNA metabolic process","85/259","268/18903",4.30319488646154e-95,1.13948600593502e-92,9.5848003997396e-93,"METTL15/FTSJ3/METTL16/MRM1/NSUN4/EMG1/FBL/NOP2/NSUN5/TRMT61B/ZCCHC4/DIMT1/TFB1M/TFB2M/TRMT2B/METTL5/MTERF4/DKC1/KRR1/RPUSD2/WDR3/DIS3/MPHOSPH10/EXOSC9/WDR36/UTP23/UTP3/PDCD11/POLR1B/NOL11/RPP30/NOLC1/RRP9/RPF1/DCAF13/NOP58/BYSL/RRP1B/NOL8/NOP56/POP4/UTP20/UTP6/RPF2/EXOSC5/RRP8/NOP14/MRPL44/FCF1/RPP38/GAR1/WDR12/METTL18/EXOSC2/PES1/EXOSC8/FDXACB1/UTP14A/NIFK/RRP1/EXOSC7/DDX21/UTP15/IMP3/NOC4L/DDX47/SRFBP1/GTF3C4/DDX56/IMP4/UTP18/ESF1/GTF3C2/WBP11/EXOSC6/SUV39H1/HEATR1/TCOF1/RRP36/NHP2/GEMIN4/DROSHA/NAF1/POP7/NOL6",85
"GO:0006364","GO:0006364","rRNA processing","81/259","229/18903",6.31876566703826e-95,1.39434095719311e-92,1.17285159223272e-92,"METTL15/FTSJ3/METTL16/MRM1/NSUN4/EMG1/FBL/NOP2/NSUN5/TRMT61B/ZCCHC4/DIMT1/TFB1M/TFB2M/TRMT2B/METTL5/MTERF4/DKC1/KRR1/RPUSD2/WDR3/DIS3/MPHOSPH10/EXOSC9/WDR36/UTP23/UTP3/PDCD11/NOL11/RPP30/NOLC1/RRP9/RPF1/DCAF13/NOP58/BYSL/RRP1B/NOL8/NOP56/POP4/UTP20/UTP6/RPF2/EXOSC5/RRP8/NOP14/MRPL44/FCF1/RPP38/GAR1/WDR12/METTL18/EXOSC2/PES1/EXOSC8/FDXACB1/UTP14A/NIFK/RRP1/EXOSC7/DDX21/UTP15/IMP3/NOC4L/DDX47/SRFBP1/DDX56/IMP4/UTP18/ESF1/WBP11/EXOSC6/SUV39H1/HEATR1/RRP36/NHP2/GEMIN4/DROSHA/NAF1/POP7/NOL6",81
"GO:0032259","GO:0032259","methylation","92/259","390/18903",5.05133746368007e-90,9.55424400273201e-88,8.0365639647722e-88,"METTL2A/METTL2B/ALKBH8/METTL15/TRMT13/FTSJ3/TRMT5/METTL16/NSUN2/LCMT2/MRM1/TRMT10A/CMTR2/TRMT10C/NSUN4/METTL1/METTL14/TRMT1/METTL3/TRMT1L/EMG1/TYW3/CMTR1/RNMT/TRDMT1/TRMT11/TRMT44/FBL/NOP2/TRMT2A/THUMPD3/MEPCE/NSUN5/TRMT61B/ZCCHC4/WDR4/DIMT1/TRMT12/TRMT61A/TARBP1/TGS1/TFB1M/HENMT1/TRMT6/FTSJ1/METTL4/LARP7/TFB2M/THUMPD2/TRMT2B/METTL5/HSD17B10/BCDIN3D/METTL6/PRMT5/WTAP/TRMT10B/SNRPD3/ZC3H13/METTL13/METTL7A/METTL7B/RBBP5/SETD2/CBLL1/MTO1/WDR5/WDR6/RRP8/METTL18/FDXACB1/PRMT3/SUZ12/SETDB1/PRMT1/SNRPG/NSD1/SUV39H1/SUV39H2/METTL8/CTR9/CARM1/SETD1A/EHMT1/PRMT7/DPH5/TPMT/ASH2L/KMT2D/SNRPE/PRDM15/RBM15B",92
"GO:0006399","GO:0006399","tRNA metabolic process","74/259","195/18903",4.21066427411331e-89,6.96864937365753e-87,5.86168789738406e-87,"METTL2A/METTL2B/ALKBH8/TRMT13/TRMT5/NSUN2/LCMT2/TRMT10A/TRMT10C/METTL1/TRMT1/TRMT1L/TYW3/TRDMT1/TRMT11/TRMT44/TRMT2A/THUMPD3/TRMT61B/WDR4/TRMT12/TRMT61A/TARBP1/TRMT6/FTSJ1/THUMPD2/CDK5RAP1/TRMT2B/HSD17B10/BCDIN3D/METTL6/TRMT10B/MOCS3/EXOSC9/SSB/PUS7/CTU2/RPP30/RTCB/YARS2/MTFMT/POP4/MTO1/WDR6/RPP38/POP1/EXOSC2/EXOSC8/PUS3/TYW1/DUS3L/TP53RK/NARS2/EXOSC7/CDKAL1/TRNT1/PTCD1/GTF3C4/TRUB2/TRUB1/GTF3C2/THG1L/TSEN2/QRSL1/PUS1/FARSB/MARS2/METTL8/HARS2/TSEN15/PARS2/FARS2/POP7/CLP1",74
"GO:0042254","GO:0042254","ribosome biogenesis","83/259","310/18903",1.01582532047605e-85,1.49439191590032e-83,1.25700957785223e-83,"METTL15/FTSJ3/METTL16/MRM1/NSUN4/EMG1/FBL/NOP2/NSUN5/TRMT61B/ZCCHC4/DIMT1/TFB1M/TFB2M/TRMT2B/METTL5/MTERF4/DKC1/KRR1/RPUSD2/WDR3/DIS3/MPHOSPH10/EXOSC9/WDR36/UTP23/UTP3/PDCD11/NOL11/RPP30/NOLC1/RRP9/RPF1/DCAF13/NOP58/BYSL/RRP1B/NOL8/NOP56/POP4/UTP20/UTP6/RPF2/EXOSC5/RRP8/NOP14/MRPL44/FCF1/RPP38/GAR1/WDR12/METTL18/EXOSC2/PES1/EXOSC8/FDXACB1/UTP14A/NIFK/RRP1/EXOSC7/DDX21/UTP15/IMP3/NOC4L/DDX47/SRFBP1/DDX56/IMP4/UTP18/ESF1/WBP11/EXOSC6/SUV39H1/HEATR1/RRP36/NHP2/GEMIN4/ABCE1/MYBBP1A/DROSHA/NAF1/POP7/NOL6",83
"GO:0043414","GO:0043414","macromolecule methylation","86/259","348/18903",1.14841139148934e-85,1.52049668233188e-83,1.27896763389023e-83,"METTL2A/METTL2B/ALKBH8/METTL15/TRMT13/FTSJ3/TRMT5/METTL16/NSUN2/LCMT2/MRM1/TRMT10A/CMTR2/TRMT10C/NSUN4/METTL1/METTL14/TRMT1/METTL3/TRMT1L/EMG1/TYW3/CMTR1/RNMT/TRDMT1/TRMT11/TRMT44/FBL/NOP2/TRMT2A/THUMPD3/MEPCE/NSUN5/TRMT61B/ZCCHC4/WDR4/DIMT1/TRMT12/TRMT61A/TARBP1/TGS1/TFB1M/HENMT1/TRMT6/FTSJ1/METTL4/LARP7/TFB2M/THUMPD2/TRMT2B/METTL5/HSD17B10/BCDIN3D/METTL6/PRMT5/WTAP/TRMT10B/SNRPD3/ZC3H13/RBBP5/SETD2/CBLL1/MTO1/WDR5/WDR6/RRP8/METTL18/FDXACB1/PRMT3/SUZ12/SETDB1/PRMT1/SNRPG/NSD1/SUV39H1/SUV39H2/METTL8/CTR9/CARM1/SETD1A/EHMT1/PRMT7/ASH2L/KMT2D/SNRPE/RBM15B",86
