Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	28	57.14285714285714	4.2947055564101294E-18	TRUB1, DDX46, RPP30, DDX23, RTCB, RPL11, NOL8, NOC4L, PHAX, TFB1M, DHX57, UTP14A, DCAF13, TEFM, NOP58, WDR36, DIMT1, DIS3, TFB2M, LSM5, PUS7, ILF3, SNW1, CNOT7, SNRPG, GEMIN5, RPL26, HNRNPH3	49	1483	18976	7.31181967055197	5.368381945512661E-16	5.411329001076763E-16	4.895964334307548E-16
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	34	69.38775510204081	2.302401894656454E-13	KMT2D, MTRR, DDX46, RPP30, DDX23, WDR4, RTCB, RPL11, NOC4L, PHAX, NSD1, TGS1, DGCR8, POLK, UTP14A, DCAF13, RPP38, METTL17, NOP58, WDR36, DIMT1, DIS3, BCDIN3D, GTF2H3, LSM5, ILF3, SNW1, CARM1, POLR3D, SNRPG, GEMIN5, RPL26, HNRNPH3, TRMT61A	49	4077	20660	3.516190876644992	2.279576527541849E-11	2.279377875709889E-11	1.9570416104579858E-11
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	11	22.448979591836736	9.56545692542617E-13	NOP58, WDR36, DIS3, RPP30, RPL11, NOL8, NOC4L, RPL26, UTP14A, DCAF13, RPP38	48	138	19462	32.31914251207729	1.999227450255603E-10	1.9896150404886432E-10	1.8748295573835293E-10
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	5	10.204081632653061	3.9956336964867484E-8	DIMT1, TFB2M, TRMT2B, TFB1M, TRMT61B	48	15	19462	135.15277777777777	8.350839734938553E-6	4.155459044346218E-6	3.915721022557014E-6
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	6	12.244897959183673	8.347872261935098E-7	NOP58, WDR36, DIMT1, NOC4L, UTP14A, DCAF13	49	75	20660	33.730612244897955	8.264055497342326E-5	4.132196769657874E-5	3.5478457113224166E-5
GOTERM_BP_DIRECT	GO:0030488~tRNA methylation	5	10.204081632653061	1.1602847820420349E-6	BCDIN3D, TRMT2B, FTSJ1, TRMT61A, TRMT61B	48	33	19462	61.43308080808081	2.4247025946289025E-4	8.044641155491441E-5	7.580527242674627E-5
GOTERM_CC_DIRECT	GO:0005730~nucleolus	15	30.612244897959183	2.5855755218095207E-6	NOP58, WDR36, DIMT1, DDX23, RPL11, NOL8, NOC4L, ILF3, TGS1, DGCR8, RPL26, UTP14A, DCAF13, METTL18, RPP38	49	1420	20660	4.453866053463639	2.559395494597938E-4	8.532399221971418E-5	7.325797311793642E-5
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	4	8.16326530612245	3.2886475088690458E-6	TGS1, BCDIN3D, TRMT2B, FTSJ1	49	12	18976	129.08843537414967	4.109971320902517E-4	2.0718479305874987E-4	1.8745290800553562E-4
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	7	14.285714285714285	8.26056288984922E-6	SNW1, DDX46, DDX23, SNRPG, GEMIN5, HNRNPH3, LSM5	48	200	19462	14.191041666666669	0.0017249752917632977	4.2954927027215946E-4	4.047675816026118E-4
GOTERM_MF_DIRECT	GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity	3	6.122448979591836	3.747132188567503E-5	DIMT1, TFB2M, TFB1M	49	4	18976	290.44897959183675	0.004673050159836656	0.0015737955191983512	0.001423910231655651
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	8	16.3265306122449	3.949870614327896E-5	PDE12, DIMT1, TFB2M, TRMT2B, TFB1M, TRMT61B, METTL17, TEFM	49	406	20660	8.308032572634964	0.003902813287748663	9.775929770461543E-4	8.393475055446779E-4
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	6	12.244897959183673	8.348471042444748E-5	ILF3, SNRPG, PHAX, HNRNPH3, RPL26, TEFM	49	193	20660	13.107750872369673	0.00823126741455571	0.00165299726640406	0.0014192400772156072
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	5	10.204081632653061	1.3762473677758128E-4	KMT2D, NSD1, TGS1, METTL18, METTL17	49	104	18976	18.618524332810047	0.01705712750464361	0.0043351792084938105	0.0039223049981610665
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	5	10.204081632653061	2.871423456520728E-4	SNW1, DDX46, SNRPG, HNRNPH3, LSM5	49	137	20660	15.38805303143155	0.028030811707781766	0.004403285119727758	0.0037805983351197926
GOTERM_CC_DIRECT	GO:0005634~nucleus	27	55.10204081632652	3.113433923039829E-4	TRUB1, KMT2D, DDX46, RPP30, DDX23, WDR4, RTCB, PHAX, NSD1, TGS1, DGCR8, POLK, METTL18, DIS3, GTF2H3, LSM5, PUS7, FTSJ1, AIMP1, ILF3, SNW1, CNOT7, CARM1, SNRPG, GEMIN5, HNRNPH3, TRMT61A	49	6106	20660	1.8644090456359417	0.030357464106604004	0.004403285119727758	0.0037805983351197926
GOTERM_CC_DIRECT	GO:0005829~cytosol	25	51.02040816326531	6.582676260346937E-4	TRUB1, MTRR, WDR4, RTCB, RPL11, PHAX, TGS1, DGCR8, UTP14A, DCAF13, METTL18, NOP58, DIMT1, DIS3, BCDIN3D, LSM5, FTSJ1, AIMP1, CNOT7, PDE12, CARM1, POLR3D, SNRPG, GEMIN5, RPL26	49	5629	20660	1.872591282027112	0.06311051900929798	0.008146061872179335	0.006994093526618621
GOTERM_BP_DIRECT	GO:0042274~ribosomal small subunit biogenesis	4	8.16326530612245	7.587645341546622E-4	NOP58, WDR36, DIMT1, METTL17	48	74	19462	21.916666666666664	0.14669819762990455	0.03156460462083395	0.02974356973886276
GOTERM_CC_DIRECT	GO:0015030~Cajal body	4	8.16326530612245	9.163528678235623E-4	NOP58, DDX46, TGS1, PHAX	49	82	20660	20.567446490791436	0.08676361763880058	0.010079881546059185	0.008654443751666978
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	3	6.122448979591836	0.001278598217917022	TGS1, BCDIN3D, FTSJ1	48	22	19462	55.28977272727272	0.2346316144364058	0.04432473822112343	0.04176754178528938
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	5	10.204081632653061	0.0016919805145004538	DDX23, SNRPG, HNRNPH3, PUS7, LSM5	48	212	19462	9.562696540880504	0.298071286482226	0.04624215066857048	0.04357433428384526
GOTERM_BP_DIRECT	GO:0006412~translation	5	10.204081632653061	0.0020016892365197782	AIMP1, RPL11, GEMIN5, RPL26, METTL17	48	222	19462	9.131944444444445	0.34214603923657294	0.04624215066857048	0.04357433428384526
GOTERM_BP_DIRECT	GO:0006400~tRNA modification	3	6.122448979591836	0.0020730404563689495	TRUB1, WDR4, FTSJ1	48	28	19462	43.441964285714285	0.35190317040683217	0.04624215066857048	0.04357433428384526
GOTERM_BP_DIRECT	GO:0000387~spliceosomal snRNP assembly	3	6.122448979591836	0.00222318032060435	TGS1, SNRPG, GEMIN5	48	29	19462	41.94396551724138	0.3719666119572199	0.04624215066857048	0.04357433428384526
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	5	10.204081632653061	0.002498410927731211	AIMP1, ILF3, CNOT7, PDE12, POLR3D	48	236	19462	8.590218926553673	0.40715438962214134	0.047242679360735625	0.044517140166847026
GOTERM_MF_DIRECT	GO:0000175~3'-5'-exoribonuclease activity	3	6.122448979591836	0.003146753899171073	CNOT7, PDE12, DIS3	49	33	18976	35.20593692022263	0.32562194815012324	0.07929819825911104	0.07174598890110047
GOTERM_BP_DIRECT	GO:0032259~methylation	4	8.16326530612245	0.0033366821859306273	KMT2D, NSD1, METTL18, METTL17	48	124	19462	13.079301075268816	0.5026854803390092	0.05783582455613087	0.054499142370200246
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	3	6.122448979591836	0.004199616890783321	RPP30, RTCB, PUS7	48	40	19462	30.409375	0.5850379257408853	0.06719387025253314	0.063317300814887
GOTERM_BP_DIRECT	GO:2000633~positive regulation of pre-miRNA processing	2	4.081632653061225	0.004824216731100747	TRUB1, DGCR8	48	2	19462	405.4583333333333	0.6360363148873664	0.07167407714778253	0.06753903423541045
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	3	6.122448979591836	0.004824526309190506	TGS1, BCDIN3D, METTL17	49	41	18976	28.336485813837733	0.4536662564343885	0.10131505249300062	0.09166599987461961
GOTERM_CC_DIRECT	GO:0046540~U4/U6 x U5 tri-snRNP complex	3	6.122448979591836	0.004909977880850261	DDX23, SNRPG, LSM5	49	45	20660	28.108843537414963	0.385708108837869	0.04860878102041759	0.04173481198722722
GOTERM_CC_DIRECT	GO:0042645~mitochondrial nucleoid	3	6.122448979591836	0.005569686913714171	TFB2M, TFB1M, TEFM	49	48	20660	26.352040816326532	0.42474409787610423	0.05012718222342754	0.043038489787791324
GOTERM_CC_DIRECT	GO:0031515~tRNA (m1A) methyltransferase complex	2	4.081632653061225	0.0069541450994301535	TRMT61A, TRMT61B	49	3	20660	281.08843537414964	0.49885778088827215	0.057371697070298766	0.04925852778763025
GOTERM_MF_DIRECT	GO:0016429~tRNA (adenine-N1-)-methyltransferase activity	2	4.081632653061225	0.007569751707386401	TRMT61A, TRMT61B	49	3	18976	258.17687074829934	0.6131887616340914	0.1289852074171837	0.11670090194888048
GOTERM_MF_DIRECT	GO:0005515~protein binding	41	83.6734693877551	0.008189536978868806	KMT2D, MTRR, DDX46, RPP30, DDX23, WDR4, RTCB, RPL11, NOL8, NOC4L, PHAX, TRMT2B, TFB1M, NSD1, DHX57, TGS1, DGCR8, UTP14A, DCAF13, METTL18, RPP38, METTL17, TEFM, NOP58, DIS3, BCDIN3D, CDKAL1, GTF2H3, LSM5, FTSJ1, AIMP1, ILF3, SNW1, CNOT7, CARM1, SNRPG, GEMIN5, RPL26, HNRNPH3, TRMT61A, TRMT61B	49	12657	18976	1.254474010509632	0.6422450170055231	0.1289852074171837	0.11670090194888048
GOTERM_CC_DIRECT	GO:0016604~nuclear body	5	10.204081632653061	0.009560777601676914	SNW1, CNOT7, DGCR8, GEMIN5, POLK	49	359	20660	5.872321073276108	0.6136728578873694	0.07280899865892419	0.06251277662634905
GOTERM_BP_DIRECT	GO:0006391~transcription initiation from mitochondrial promoter	2	4.081632653061225	0.009625653227184656	TFB2M, TFB1M	48	4	19462	202.72916666666666	0.8675442124308803	0.12513349195340054	0.11791425203301203
GOTERM_BP_DIRECT	GO:0001555~oocyte growth	2	4.081632653061225	0.009625653227184656	KMT2D, DCAF13	48	4	19462	202.72916666666666	0.8675442124308803	0.12513349195340054	0.11791425203301203
GOTERM_MF_DIRECT	GO:0034246~mitochondrial RNA polymerase binding promoter specificity activity	2	4.081632653061225	0.010080511835345154	TFB2M, TFB1M	49	4	18976	193.6326530612245	0.718171917605362	0.14112716569483216	0.1276864832477053
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	3	6.122448979591836	0.015461042826570025	DDX46, DHX57, DDX23	49	75	18976	15.490612244897958	0.8574020855346829	0.19480913961478233	0.17625588822289828
