"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","GO:0034470","ncRNA processing","134/262","439/18903",9.7651322325946e-153,1.06439941335281e-149,8.87085170182015e-150,"FTSJ3/EMG1/METTL16/METTL2B/TRMT11/ALKBH8/NSUN2/DDX56/TRMT10C/MRM1/METTL1/TRMT1/NOP2/TRMT13/METTL15/TRDMT1/METTL3/LARP7/LCMT2/METTL18/TRMT5/METTL2A/RPP38/FBL/PUS3/TRMT2A/DIMT1/TRMT1L/NSUN4/TYW3/TRMT44/TRMT10A/NSUN5/THUMPD3/TRMT6/EXOSC2/TARBP1/ZCCHC4/THUMPD2/TRMT10B/METTL6/CDK5RAP1/TRMT12/MTERF4/HENMT1/HSD17B10/WDR6/METTL5/METTL8/TRMT61B/FBLL1/TRUB2/TRMT61A/CDKAL1/UTP23/DDX47/RRP9/FDXACB1/RPP30/RPUSD2/WDR4/EXOSC10/TSN/EXOSC5/MTO1/FTSJ1/TYW1/ZCCHC8/SSB/DDX51/KRR1/TRUB1/WDR3/TSEN2/POP1/POP5/PARN/EXOSC8/TFB2M/DIS3/TSEN15/RTCB/MRPL44/POP7/ADAT1/DDX21/MPHOSPH10/CLP1/FCF1/POP4/NOL9/UTP18/PUS7/INTS12/PTCD1/CTU2/TRMT112/UTP3/PUS10/EXOSC1/BYSL/TRMT2B/NOL8/EXOSC9/RRP8/BCDIN3D/AGO3/RPP40/DKC1/RRP1/NOP14/DCAF13/DDX17/DROSHA/GEMIN4/NOP56/FARS2/DUS3L/INTS10/INTS7/NSA2/DDX27/TRMU/UTP20/DGCR8/MOCS3/SRFBP1/RPF2/TRNT1/MPHOSPH6/TFB1M/MTFMT/DHX37/RPF1",134
"GO:0009451","GO:0009451","RNA modification","84/262","176/18903",6.02753830139633e-112,3.285008374261e-109,2.73777134426581e-109,"FTSJ3/EMG1/METTL16/METTL2B/TRMT11/ALKBH8/NSUN2/RNMT/TRMT10C/MRM1/METTL1/TRMT1/NOP2/TRMT13/METTL15/TRDMT1/METTL3/LARP7/LCMT2/TRMT5/METTL2A/CMTR2/FBL/PUS3/TRMT2A/METTL4/DIMT1/TRMT1L/NSUN4/METTL14/TYW3/TRMT44/TRMT10A/NSUN5/MEPCE/THUMPD3/CMTR1/TRMT6/TARBP1/ZCCHC4/THUMPD2/TRMT10B/METTL6/CDK5RAP1/TRMT12/HENMT1/ZC3H13/WTAP/PCIF1/HSD17B10/WDR6/METTL5/CBLL1/METTL8/TRMT61B/FBLL1/TRUB2/TRMT61A/CDKAL1/RBM15B/FDXACB1/RPUSD2/WDR4/MTO1/FTSJ1/TYW1/SSB/TRUB1/PARN/TFB2M/PUS7/CTU2/SNRPD3/TRMT112/PUS10/TRMT2B/TGS1/BCDIN3D/DKC1/DUS3L/TRMU/MOCS3/TFB1M/MTFMT",84
"GO:0001510","GO:0001510","RNA methylation","67/262","90/18903",4.19630330779672e-108,1.52465686849947e-105,1.27067008934336e-105,"FTSJ3/EMG1/METTL16/METTL2B/TRMT11/ALKBH8/NSUN2/RNMT/TRMT10C/MRM1/METTL1/TRMT1/NOP2/TRMT13/METTL15/TRDMT1/METTL3/LARP7/LCMT2/TRMT5/METTL2A/CMTR2/FBL/TRMT2A/METTL4/DIMT1/TRMT1L/NSUN4/METTL14/TYW3/TRMT44/TRMT10A/NSUN5/MEPCE/THUMPD3/CMTR1/TRMT6/TARBP1/ZCCHC4/THUMPD2/TRMT10B/METTL6/TRMT12/HENMT1/ZC3H13/WTAP/PCIF1/HSD17B10/WDR6/METTL5/CBLL1/METTL8/TRMT61B/FBLL1/TRMT61A/RBM15B/FDXACB1/WDR4/MTO1/FTSJ1/TFB2M/SNRPD3/TRMT112/TRMT2B/TGS1/BCDIN3D/TFB1M",67
"GO:0006399","GO:0006399","tRNA metabolic process","75/262","195/18903",1.83827991474992e-90,5.00931276769353e-88,4.17483043797153e-88,"METTL2B/TRMT11/ALKBH8/NSUN2/TRMT10C/METTL1/TRMT1/TRMT13/TRDMT1/LCMT2/TRMT5/METTL2A/RPP38/PUS3/TRMT2A/TRMT1L/TYW3/TRMT44/TRMT10A/THUMPD3/TRMT6/EXOSC2/TARBP1/THUMPD2/TRMT10B/METTL6/CDK5RAP1/TRMT12/HSD17B10/WDR6/METTL8/TRMT61B/TRUB2/TRMT61A/CDKAL1/HARS2/RPP30/WDR4/EXOSC10/MTO1/FTSJ1/TYW1/SSB/GTF3C2/TRUB1/TSEN2/POP1/POP5/EXOSC8/TSEN15/QRSL1/RTCB/SARS2/POP7/ADAT1/CLP1/POP4/PUS7/FARSB/PTCD1/CTU2/TRMT112/PUS10/NARS2/TRMT2B/EXOSC9/BCDIN3D/RPP40/FARS2/DUS3L/TRMU/MOCS3/TRNT1/YARS2/MTFMT",75
"GO:0008033","GO:0008033","tRNA processing","64/262","134/18903",1.86400887360156e-84,4.06353934445141e-82,3.38660980614347e-82,"METTL2B/TRMT11/ALKBH8/NSUN2/TRMT10C/METTL1/TRMT1/TRMT13/TRDMT1/LCMT2/TRMT5/METTL2A/RPP38/PUS3/TRMT2A/TRMT1L/TYW3/TRMT44/TRMT10A/THUMPD3/TRMT6/TARBP1/THUMPD2/TRMT10B/METTL6/CDK5RAP1/TRMT12/HSD17B10/WDR6/METTL8/TRMT61B/TRUB2/TRMT61A/CDKAL1/RPP30/WDR4/MTO1/FTSJ1/TYW1/SSB/TRUB1/TSEN2/POP1/POP5/TSEN15/RTCB/POP7/ADAT1/CLP1/POP4/PUS7/PTCD1/CTU2/TRMT112/PUS10/TRMT2B/BCDIN3D/RPP40/FARS2/DUS3L/TRMU/MOCS3/TRNT1/MTFMT",64
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","90/262","489/18903",5.92136011536657e-77,1.07571375429159e-74,8.96514698168658e-75,"FTSJ3/EMG1/METTL16/DDX56/MRM1/NOP2/METTL15/METTL18/RPP38/FBL/DIMT1/NSUN4/NSUN5/EXOSC2/ZCCHC4/MTERF4/METTL5/TRMT61B/FBLL1/SF3B1/UTP23/DDX47/RRP9/DDX46/FDXACB1/RPP30/RPUSD2/EXOSC10/EXOSC5/DDX51/KRR1/WDR3/POP5/EXOSC8/TFB2M/DIS3/DDX23/DHX30/MRPL44/POP7/CRNKL1/CPSF7/SCAF11/DDX21/MPHOSPH10/CLP1/FCF1/GNL2/POP4/NOL9/UTP18/SNRPD3/TRMT112/UTP3/DDX31/EXOSC1/BYSL/PRPF3/TRMT2B/NOL8/EXOSC9/RRP8/TGS1/LUC7L3/AGO3/RPP40/DKC1/FASTKD2/BUD13/RRP1/NOP14/DCAF13/DDX17/DROSHA/PRPF18/GEMIN4/NOP56/NSA2/DDX27/CD2BP2/UTP20/METTL17/SRFBP1/RPF2/DDX20/SART3/MPHOSPH6/TFB1M/DHX37/RPF1",90
"GO:0016072","GO:0016072","rRNA metabolic process","72/262","268/18903",1.56643846166824e-73,2.43916846174055e-71,2.03283668033037e-71,"FTSJ3/EMG1/METTL16/DDX56/MRM1/NOP2/METTL15/METTL18/RPP38/FBL/DIMT1/NSUN4/NSUN5/EXOSC2/ZCCHC4/MTERF4/METTL5/TRMT61B/FBLL1/UTP23/DDX47/RRP9/FDXACB1/RPP30/RPUSD2/EXOSC10/EXOSC5/DIS3L/DDX51/GTF3C2/KRR1/WDR3/POP5/EXOSC8/TFB2M/DIS3/MRPL44/POP7/DDX21/MPHOSPH10/FCF1/POP4/NOL9/UTP18/TRMT112/UTP3/EXOSC1/BYSL/TRMT2B/NOL8/EXOSC9/RRP8/RPP40/DKC1/RRP1/NOP14/DCAF13/DDX17/DROSHA/GEMIN4/NOP56/NSA2/DDX27/POLR1E/UTP20/XRN1/SRFBP1/RPF2/MPHOSPH6/TFB1M/DHX37/RPF1",72
"GO:0006364","GO:0006364","rRNA processing","68/262","229/18903",1.20208302259582e-72,1.6378381182868e-70,1.36499690592131e-70,"FTSJ3/EMG1/METTL16/DDX56/MRM1/NOP2/METTL15/METTL18/RPP38/FBL/DIMT1/NSUN4/NSUN5/EXOSC2/ZCCHC4/MTERF4/METTL5/TRMT61B/FBLL1/UTP23/DDX47/RRP9/FDXACB1/RPP30/RPUSD2/EXOSC10/EXOSC5/DDX51/KRR1/WDR3/POP5/EXOSC8/TFB2M/DIS3/MRPL44/POP7/DDX21/MPHOSPH10/FCF1/POP4/NOL9/UTP18/TRMT112/UTP3/EXOSC1/BYSL/TRMT2B/NOL8/EXOSC9/RRP8/RPP40/DKC1/RRP1/NOP14/DCAF13/DDX17/DROSHA/GEMIN4/NOP56/NSA2/DDX27/UTP20/SRFBP1/RPF2/MPHOSPH6/TFB1M/DHX37/RPF1",68
"GO:0032259","GO:0032259","methylation","80/262","390/18903",7.76444925378286e-72,9.4036107629148e-70,7.83709907136212e-70,"FTSJ3/EMG1/METTL16/METTL2B/TRMT11/ALKBH8/NSUN2/RNMT/TRMT10C/MRM1/METTL1/TRMT1/NOP2/TRMT13/METTL15/TRDMT1/METTL3/LARP7/LCMT2/METTL18/TRMT5/METTL2A/CMTR2/FBL/TRMT2A/METTL4/DIMT1/TRMT1L/NSUN4/METTL14/TYW3/TRMT44/TRMT10A/NSUN5/MEPCE/THUMPD3/CMTR1/TRMT6/TARBP1/ZCCHC4/THUMPD2/TRMT10B/METTL6/TRMT12/HENMT1/ZC3H13/WTAP/PCIF1/HSD17B10/WDR6/METTL5/CBLL1/METTL7A/METTL8/TRMT61B/FBLL1/METTL7B/NSUN7/TRMT61A/RBM15B/CHTOP/FDXACB1/WDR4/TPMT/MTO1/FTSJ1/TFB2M/RBBP5/PCMTD2/SNRPD3/TRMT112/TRMT2B/RRP8/TGS1/BCDIN3D/SETD2/METTL13/METTL17/TFB1M/ASH2L",80
"GO:0042254","GO:0042254","ribosome biogenesis","73/262","310/18903",5.82844943570574e-70,6.35300988491925e-68,5.29468617159374e-68,"FTSJ3/EMG1/METTL16/DDX56/MRM1/NOP2/METTL15/METTL18/RPP38/FBL/DIMT1/NSUN4/NSUN5/EXOSC2/ZCCHC4/MTERF4/METTL5/TRMT61B/FBLL1/UTP23/DDX47/RRP9/FDXACB1/RPP30/RPUSD2/EXOSC10/EXOSC5/DDX51/KRR1/WDR3/POP5/EXOSC8/TFB2M/DIS3/DHX30/MRPL44/POP7/DDX21/MPHOSPH10/FCF1/GNL2/POP4/NOL9/UTP18/TRMT112/UTP3/DDX31/EXOSC1/BYSL/TRMT2B/NOL8/EXOSC9/RRP8/RPP40/DKC1/FASTKD2/RRP1/NOP14/DCAF13/DDX17/DROSHA/GEMIN4/NOP56/NSA2/DDX27/UTP20/METTL17/SRFBP1/RPF2/MPHOSPH6/TFB1M/DHX37/RPF1",73
