Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	26	53.06122448979592	9.6719879275258E-16	TRUB1, DIDO1, DDX46, RPP30, DDX23, RTCB, NOL8, PHAX, TFB1M, SNRNP70, DHX57, UTP14A, DCAF13, ABCF1, TEFM, NCOA5, DIMT1, DIS3, TFB2M, PUS7, NSA2, AGO3, BUD13, HNRNPH3, SUGP2, MPHOSPH6	49	1483	18976	6.789546836941116	9.592326932761353E-14	9.381828289700027E-14	8.511349376222704E-14
GOTERM_BP_DIRECT	GO:0031167~rRNA methylation	6	12.244897959183673	1.5508202352461007E-10	TRMT112, DIMT1, TFB2M, TRMT2B, TFB1M, TRMT61B	46	15	19462	169.23478260869564	2.217673411575305E-8	2.2021647340494632E-8	2.078099115229775E-8
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	29	59.183673469387756	1.1098712088537577E-9	DDX46, RPP30, DDX23, WDR4, RTCB, PHAX, OSGEP, TRMT112, SNRNP70, ALKBH1, TGS1, DGCR8, POLK, UTP14A, DCAF13, RPP38, ABCF1, METTL17, NCOA5, DIMT1, DIS3, BCDIN3D, LSG1, AGO3, BUD13, HNRNPH3, TRMT61A, SUGP2, MPHOSPH6	47	4077	20660	3.126725429106717	7.547123848095083E-8	7.547124220205552E-8	6.881201494893298E-8
GOTERM_BP_DIRECT	GO:0030488~tRNA methylation	6	12.244897959183673	1.1884123431912478E-8	TRMT112, BCDIN3D, TRMT2B, FTSJ1, TRMT61A, TRMT61B	46	33	19462	76.92490118577075	1.6994282212579037E-6	8.43772763665786E-7	7.962362699381361E-7
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	7	14.285714285714285	7.394300680220268E-7	NSA2, DIS3, RPP30, NOL8, UTP14A, DCAF13, RPP38	46	138	19462	21.46093257718967	1.0573294870408478E-4	3.499968988637593E-5	3.302787637165053E-5
GOTERM_MF_DIRECT	GO:0008173~RNA methyltransferase activity	4	8.16326530612245	3.2886475088690458E-6	TGS1, BCDIN3D, TRMT2B, FTSJ1	49	12	18976	129.08843537414967	3.1566084860989996E-4	1.5949940418014873E-4	1.44700490390238E-4
GOTERM_BP_DIRECT	GO:0006400~tRNA modification	4	8.16326530612245	3.6341790377973156E-5	TRUB1, WDR4, FTSJ1, OSGEP	46	28	19462	60.440993788819874	0.005183489570617539	0.001290133558418047	0.0012174499776621008
GOTERM_MF_DIRECT	GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity	3	6.122448979591836	3.747132188567503E-5	DIMT1, TFB2M, TFB1M	49	4	18976	290.44897959183675	0.0035908517160611053	0.0012115727409701593	0.0010991587753131343
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	4	8.16326530612245	1.0749633465249623E-4	TRMU, RPP30, RTCB, PUS7	46	40	19462	42.30869565217391	0.015255243778729666	0.003052895904130893	0.002880901768686899
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	7	14.285714285714285	2.674407719119486E-4	DIMT1, TFB2M, TRMT2B, TFB1M, TRMT61B, METTL17, TEFM	47	406	20660	7.5788701393983855	0.01802399402377186	0.009092986245006252	0.008290663929270407
GOTERM_CC_DIRECT	GO:0015030~Cajal body	4	8.16326530612245	8.088477317692551E-4	LSG1, DDX46, TGS1, PHAX	47	82	20660	21.442656979761285	0.05353747441851353	0.01613884139032517	0.01471482597353177
GOTERM_CC_DIRECT	GO:0005730~nucleolus	11	22.448979591836736	9.493436111955981E-4	NSA2, DIMT1, TGS1, DDX23, DGCR8, NOL8, UTP14A, DCAF13, METTL18, RPP38, MPHOSPH6	47	1420	20660	3.4051543302367397	0.06254453623247958	0.01613884139032517	0.01471482597353177
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	5	10.204081632653061	0.001159795622558643	DDX46, SNRNP70, DDX23, BUD13, HNRNPH3	46	200	19462	10.57717391304348	0.15290889230954463	0.023786360461003495	0.022446283815313158
GOTERM_BP_DIRECT	GO:0001510~RNA methylation	3	6.122448979591836	0.0011725670649790456	TGS1, BCDIN3D, FTSJ1	46	22	19462	57.693675889328055	0.15445633968790906	0.023786360461003495	0.022446283815313158
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	4	8.16326530612245	0.002312508456437536	TRMU, TGS1, METTL18, METTL17	49	104	18976	14.894819466248036	0.19929116319408013	0.05607833006861025	0.050875186041625796
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	4	8.16326530612245	0.003515778022541055	DDX46, SNRNP70, BUD13, HNRNPH3	47	137	20660	12.834291038981208	0.21297412792724468	0.04781458110655835	0.043595647479509086
GOTERM_BP_DIRECT	GO:2000633~positive regulation of pre-miRNA processing	2	4.081632653061225	0.004619168536410068	TRUB1, DGCR8	46	2	19462	423.08695652173907	0.4842181583000108	0.0819902415212787	0.07737107298486864
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	3	6.122448979591836	0.004824526309190506	TGS1, BCDIN3D, METTL17	49	41	18976	28.336485813837733	0.3714095723634011	0.0935958103982958	0.0849116630417529
