	0	1
PRMT5	GB	0.9415029834873482
METTL13	GB	0.9389131869736883
RRP8	GB	0.9365439270947602
SNRPD3	GB	0.9336857354684265
GART	GB	0.9318506258511661
METTL18	GB	0.9282964294983425
KRR1	GB	0.9268209234516028
PRMT1	GB	0.9231029531887721
DIS3	GB	0.9225435947447994
SETD2	GB	0.9217293637289664
EXOSC2	GB	0.9210678852727593
RBBP5	GB	0.9209853340317972
EXOSC9	GB	0.9191126240730519
UTP3	GB	0.9178614911042793
EHMT1	GB	0.9171774348882481
POP1	GB	0.9153545645676496
SUZ12	GB	0.9152139545452556
UTP23	GB	0.9152106195683422
SETDB1	GB	0.9140272474033666
DKC1	GB	0.9136017660506411
SKIV2L2	GB	0.9134570873371494
DDX56	GB	0.9134454770134276
PRDM15	GB	0.9126827664908181
RPP30	GB	0.9113502399959044
SUV39H1	GB	0.9104653526674987
RPF1	GB	0.9103607036710298
TPMT	GB	0.9094321291096777
MTO1	GB	0.9088616850305825
NOP56	GB	0.9084819175802407
HEATR1	GB	0.9076553925520264
WDR36	GB	0.9070933847201328
SSB	GB	0.9069730345918025
WDR5	GB	0.906779169457391
CTU2	GB	0.9065505672490755
RRP9	GB	0.9064366934265589
PUS1	GB	0.9063401322660747
WDR3	GB	0.9057245728822764
HEMK1	GB	0.9054970773594958
SUV39H2	GB	0.9052659338438193
EED	GB	0.9048136851856797
DCAF13	GB	0.9043385112409761
EXOSC8	GB	0.9040696365657817
MPHOSPH10	GB	0.9026464289403905
PRMT3	GB	0.9024028616942388
UTP6	GB	0.901909501984795
FAM86A	GB	0.9005099536233856
DPH5	GB	0.9004418070786955
RRP1B	GB	0.900294301031011
POP4	GB	0.9002759978700489
N6AMT2	GB	0.8996656268633291
PUS3	GB	0.8989202765161967
METTL23	GB	0.8988929368145114
TRNT1	GB	0.8988639548281093
NOL9	GB	0.8982740865405021
METTL17	GB	0.8979648982444643
EXOSC5	GB	0.8968360514577961
PPIG	GB	0.8958392183797974
DDX21	GB	0.8955296205412533
NOL11	GB	0.8954675420628182
UTP18	GB	0.8950785388002515
MOCS3	GB	0.8950033998480231
YARS2	GB	0.8949018308279674
NOL8	GB	0.8947489793706662
DNMT1	GB	0.8946652775111377
KMT2D	GB	0.8942600229704698
BYSL	GB	0.8933978837279479
RTCB	GB	0.8928738536430723
PRPF4B	GB	0.8926008794920857
UTP20	GB	0.892533386791063
PRDM4	GB	0.891873654456901
PES1	GB	0.8918640570931382
NSD1	GB	0.8918122225687775
THG1L	GB	0.8908923613704701
SCAF8	GB	0.8901895574673786
PRMT7	GB	0.8896601905691521
NOP14	GB	0.8891047715641041
UPF2	GB	0.8888536607775668
ASMTL	GB	0.8886334354325027
PUS7	GB	0.8884597114047315
SUV420H1	GB	0.887840527069883
SETD1A	GB	0.8875164048244403
NOLC1	GB	0.8873531878419283
FCF1	GB	0.887324639125986
EZH2	GB	0.886949930487713
FARS2	GB	0.8869307088850524
ADAT1	GB	0.8868727057502583
FIP1L1	GB	0.8865296720229392
TRUB2	GB	0.8861913141692543
POLR2B	GB	0.8857300544178883
SRFBP1	GB	0.8856032069205845
UTP15	GB	0.884952822020969
ASH2L	GB	0.8849461606459519
PCMTD2	GB	0.8847444844912753
N6AMT1	GB	0.8838609367569092
NOP58	GB	0.8838456848052043
DHX15	GB	0.8838441764289673
POP7	GB	0.8837686447875887
PDCD11	GB	0.8835988497909415
RRP1	GB	0.8835310764038224
EXOSC10	GB	0.8834156451344581
METTL20	GB	0.8828735321429249
PUS10	GB	0.8824679567040544
PRMT6	GB	0.882333733430253
CCDC59	GB	0.8820259598500282
UTP14A	GB	0.8816334136418473
RPF2	GB	0.8807440901500365
GEMIN5	GB	0.8802062525596919
CIRH1A	GB	0.8801466085112677
KARS	GB	0.8800307069894048
MTR	GB	0.8796971040991054
VCPKMT	GB	0.8796058087808036
CSTF1	GB	0.8794123432378297
AIMP1	GB	0.8793993272136055
WHSC1L1	GB	0.8790777339805391
SMYD4	GB	0.8785059410846253
PRDM10	GB	0.8783105130917531
GAR1	GB	0.877823876828338
DNMT3A	GB	0.877080554801192
METTL21A	GB	0.8769211348895289
RPP38	GB	0.8769006861582508
DDX47	GB	0.8767350215959974
RRP36	GB	0.8764429513913523
SCAF11	GB	0.8744496337158788
DROSHA	GB	0.8740357211274393
EXOSC7	GB	0.8736360871430542
PRDM2	GB	0.8733889272293746
PUS7L	GB	0.8733189180568192
PRMT9	GB	0.8729031146916664
FAM86C1	GB	0.8723621171657219
SETD4	GB	0.8722986048700471
NSA2	GB	0.8714311496620807
KMT2C	GB	0.8713942194000524
TRIM28	GB	0.8701257530096984
TUT1	GB	0.8700285257716887
MTFMT	GB	0.8698913337502707
TRUB1	GB	0.8698548687690465
FAM86B1	GB	0.8695580796936292
EXOSC1	GB	0.8694628760177682
MTPAP	GB	0.869250711293868
CARM1	GB	0.8689328918597141
POLR2D	GB	0.8685070819029529
SMYD5	GB	0.8675165621225369
DNTTIP2	GB	0.8670028356843879
ZCCHC11	GB	0.8668898517345968
DUS3L	GB	0.8668380861283191
NOC4L	GB	0.8667750719919043
SART3	GB	0.8666766535020378
WDR46	GB	0.8663245961531394
ATF7IP	GB	0.8661285846807958
WBP11	GB	0.8660255085140469
NAA15	GB	0.8659616091791434
HARS2	GB	0.8655756275633855
BOP1	GB	0.8653241573061422
IMP4	GB	0.8652993600064334
NDUFAF7	GB	0.8649454914073771
IMP3	GB	0.8643901283199734
KMT2B	GB	0.8640734746126983
DDX18	GB	0.8637917811167551
LRTOMT	GB	0.8637846062626731
