Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	153	61.943319838056674	1.2604146210229877E-105	RPL5, PUS10, DBR1, POP7, POP1, RPP30, RTCA, RTCB, EIF4A3, RRP1, FCF1, YARS2, RRP8, RRP9, TRIM28, SNRPD2, SNRPD1, DHX57, CWC22, SNRPD3, MTPAP, PUS3, DDX18, AQR, SCAF11, IMP3, PUS1, NGDN, DNTTIP2, DDX10, PRPF4B, TRNT1, WBP11, PUS7, CDC40, XRN1, DKC1, PSPC1, NHP2, SNRPG, GEMIN5, TFAM, SRFBP1, RPL26, PPIG, DUS3L, DDX6, DNMT1, DHX9, PRKDC, KMT2C, UTP23, NOLC1, RPF2, RPF1, PDCD11, TPR, G3BP1, GAR1, CSTF1, UTP20, NOP14, CHTOP, SETD1B, SETD1A, HARS2, LSM6, SNW1, CNOT7, LAS1L, MPHOSPH10, NOL11, CDK13, RPS21, FARSB, RBM27, DDX46, DDX47, WDR3, DIS3L, WDR46, MTO1, SART3, DHX15, UTP14A, UPF2, UTP15, WDR36, NCBP1, DIS3, PRMT1, ELAC2, DDX56, DDX51, UTP18, REXO4, TSN, NSA2, SLTM, NFX1, RPUSD2, FRG1, TUT1, TRUB1, TRUB2, DDX27, HEATR1, SRRT, DDX23, PARN, DDX21, CSTF2T, NOL8, NOL9, NOC4L, EXOSC7, EXOSC6, SCAF8, EXOSC5, EXOSC10, FIP1L1, POLR2B, EXOSC9, PES1, PPP1R8, RRP36, DROSHA, RBBP6, EXOSC3, EXOSC2, SF3B1, DCAF13, EXOSC1, TEFM, HNRNPA0, NOP56, NOP58, PTCD1, SSB, NIFK, KRR1, UTP3, CCDC59, ADAT1, RRP1B, PUS7L, BYSL, RSL1D1, BOP1, MYBBP1A, ESF1, PRPF31, NAA15	247	1471	18869	7.945673025318093	3.9324936175917217E-103	3.945097763801951E-103	3.3653070381313773E-103
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	60	24.291497975708502	2.567232075978109E-78	POP5, RPL5, POP7, DDX47, POP4, SUV39H1, RPP30, EIF4A3, RRP1, FCF1, RRP8, RRP9, UTP14A, RPP38, UTP15, WDR36, IMP3, DIS3, DDX56, DDX10, IMP4, DDX51, WBP11, UTP18, REXO4, NSA2, DKC1, FRG1, RPL26, DDX27, UTP23, HEATR1, NOLC1, DDX21, NOL8, NOC4L, RPF1, EXOSC7, EXOSC6, EXOSC5, EXOSC10, PDCD11, EXOSC9, PES1, RRP36, DROSHA, UTP20, EXOSC3, EXOSC2, EXOSC1, NOP56, NOP58, NOP14, KRR1, RRP1B, BYSL, BOP1, LAS1L, MPHOSPH10, ESF1	245	131	19308	36.09534195357532	2.218088513645086E-75	2.215521281569108E-75	2.0332478041746622E-75
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	163	65.9919028340081	2.861859663575557E-60	POP5, RPL5, DBR1, POP7, POP1, POP4, RPP30, RTCA, RTCB, EIF4A3, FCF1, EHMT1, PRDM2, RRP8, RRP9, TRIM28, SNRPD2, CLP1, SNRPD1, CWC22, SNRPD3, MTPAP, RPP38, MEN1, AQR, SCAF11, IMP3, PUS1, NGDN, DNTTIP2, IMP4, THOC2, TRNT1, WBP11, FBXO11, CDC40, PRPF4, DKC1, PSPC1, NHP2, SNRPG, GEMIN5, RPL26, PPIG, KMT2D, DNMT1, KMT2A, DHX9, PRKDC, KMT2C, KMT2B, CTR9, PRDM15, NOLC1, RPF2, OSGEP, PDCD11, TPR, GAR1, CSTF1, UTP20, NOP14, CHTOP, SETDB1, SETD1B, SETD1A, RPP40, LSM6, SNW1, LAS1L, MPHOSPH10, INTS7, NOL11, CDK13, RPS21, EZH2, INTS12, SUV39H2, SETD2, DDX46, DDX47, SETD9, SETD6, WDR3, SUV39H1, INTS10, ASH2L, CTDSPL2, CTCF, WDR46, SART3, NTMT1, WDR5, DHX15, DGCR8, UTP14A, METTL17, PRMT6, UTP15, PRMT5, WDR36, PRMT7, NCBP1, EED, DIS3, PRMT1, ELAC2, DNMT3A, ASH1L, UTP18, REXO4, TSN, METTL22, SLTM, NFX1, TUT1, HEATR1, SRRT, DDX23, CXXC1, DDX21, CSTF2T, NOL9, NOC4L, METTL21A, EXOSC7, EXOSC6, SCAF8, EXOSC5, EXOSC10, FIP1L1, RBBP5, POLR2B, EXOSC9, NSD1, PES1, POLR2D, EXOSC8, PPP1R8, RRP36, DROSHA, EXOSC3, EXOSC2, SF3B1, DCAF13, EXOSC1, HNRNPA0, NOP56, ATF7IP, SUZ12, UTP6, NOP58, NIFK, KRR1, UTP3, CCDC59, RRP1B, BYSL, BOP1, MYBBP1A, CARM1, ESF1, PRPF31	241	3963	20562	3.509230087856239	6.753988806038314E-58	6.753988806038314E-58	5.122728797800247E-58
GOTERM_CC_DIRECT	GO:0005730~nucleolus	97	39.27125506072874	1.8892671917112144E-49	POP5, RPL5, POP7, POP1, POP4, EIF4A3, RRP1, FCF1, RRP8, RRP9, RPP38, DDX18, SCAF11, IMP3, NGDN, SETMAR, DNTTIP2, IMP4, FBXO11, DKC1, WDR82, NHP2, RPL26, DDX6, DHX9, PRKDC, UTP23, NOLC1, RPF2, RPF1, PDCD11, UTP20, NOP14, CHTOP, LSM6, LAS1L, MPHOSPH10, NOL11, DDX47, WDR3, SUV39H1, CTCF, WDR46, DHX15, DGCR8, UTP14A, METTL18, PRMT6, UTP15, WDR36, DDX56, DDX51, UTP18, REXO4, METTL22, NSA2, NFX1, FRG1, TUT1, DDX27, HEATR1, DDX23, PARN, DDX21, NOL8, NOL9, NOC4L, TYMS, EXOSC7, EXOSC6, EXOSC5, EXOSC10, RBBP5, EXOSC9, PES1, EXOSC8, RRP36, DROSHA, RBBP6, EXOSC3, EXOSC2, SF3B1, DCAF13, EXOSC1, NOP56, SUZ12, UTP6, NOP58, NIFK, KRR1, UTP3, RRP1B, BYSL, RSL1D1, BOP1, MYBBP1A, ESF1	241	1397	20562	5.924117180561785	4.458670572438466E-47	2.229335286219233E-47	1.690894136581537E-47
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	24	9.7165991902834	3.797548164867258E-35	NOP56, UTP6, NOP58, NOP14, WDR36, IMP3, PRKDC, UTP3, KRR1, WDR3, UTP23, HEATR1, NGDN, FCF1, NOC4L, IMP4, UTP18, WDR46, RRP9, PDCD11, MPHOSPH10, UTP20, UTP14A, DCAF13	241	39	20562	52.50430896903926	8.96221366908673E-33	2.987404556362243E-33	2.2658704050374638E-33
GOTERM_BP_DIRECT	GO:0032259~methylation	26	10.526315789473683	1.7494810413039657E-25	N6AMT1, KMT2D, DNMT1, TPMT, PRDM4, SETD9, PRDM15, MTR, TYMS, METTL21A, PRDM10, RRP8, METTL13, NSD1, FAM86B2, DPH5, SMYD4, METTL18, METTL17, PRMT1, FAM86B1, ASMTL, COQ5, METTL23, METTL25, LRTOMT	245	102	19308	20.088355342136854	1.5115516196866264E-22	7.549010693226612E-23	6.927944923563704E-23
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	26	10.526315789473683	4.887374216036377E-25	KMT2D, DNMT1, PRDM4, PRDM15, EHMT1, MTR, ASH2L, METTL21A, PRDM10, RRP8, METTL13, NSD1, FAM86B2, NTMT1, DPH5, SMYD4, METTL18, METTL17, PRMT5, PRMT1, PRMT3, FAM86B1, COQ5, METTL23, METTL25, NDUFAF7	247	103	18869	19.283597342871744	1.5248607554033496E-22	7.64874064809693E-23	6.524644578408563E-23
GOTERM_CC_DIRECT	GO:0005634~nucleus	141	57.08502024291497	1.869776891355037E-21	N6AMT1, RPL5, PUS10, DBR1, POP7, PRDM4, POP4, RPP30, RTCA, RTCB, EIF4A3, RRP1, EHMT1, PRDM2, TRIM28, SNRPD2, CLP1, SNRPD1, CWC22, SNRPD3, MEN1, PUS3, AQR, IMP3, PUS1, SETMAR, DDX10, PRPF4B, WBP11, PUS7, FBXO11, PRPF4, XRN1, DKC1, PSPC1, SNRPG, GEMIN5, TFAM, SRFBP1, PPIG, DDX6, KMT2D, DNMT1, KMT2A, DHX9, PRKDC, KMT2C, KMT2B, PRDM15, PRDM10, OSGEP, PDCD11, TPR, G3BP1, SMYD4, CHTOP, SETDB1, SETD1A, RPP40, AIMP1, LSM6, SNW1, CNOT7, INTS7, CDK13, EZH2, SETD4, RBM27, INTS12, SUV39H2, SETD2, DDX46, DDX47, SETD6, SUV39H1, INTS10, ASH2L, CTCF, SART3, METTL13, NTMT1, WDR5, DHX15, DGCR8, METTL18, PRMT6, UPF2, PRMT5, PRMT7, NCBP1, EED, DIS3, PRMT1, ELAC2, DNMT3A, DDX51, ASH1L, UTP18, REXO4, TSN, METTL23, METTL22, SLTM, NFX1, TRUB1, SRRT, DDX23, CXXC1, PARN, NOL9, TYMS, EXOSC7, EXOSC6, SCAF8, EXOSC5, METTL21C, EXOSC10, RBBP5, POLR2B, EXOSC9, NSD1, POLR2D, EXOSC8, PPP1R8, DROSHA, RBBP6, EXOSC3, EXOSC2, SF3B1, EXOSC1, HNRNPA0, ATF7IP, SUZ12, SSB, UTP3, RRP1B, PUS7L, MYBBP1A, CARM1, PRPF31, NAA15	241	5984	20562	2.0103692835112166	4.412673463597887E-19	1.1031683658994717E-19	8.36725158881379E-20
GOTERM_MF_DIRECT	GO:0042800~histone methyltransferase activity (H3-K4 specific)	14	5.668016194331984	4.211682543981649E-20	SETD4, KMT2D, KMT2A, KMT2C, SETD1B, SETD1A, KMT2B, CXXC1, SETMAR, ASH2L, ASH1L, RBBP5, WDR82, WDR5	247	21	18869	50.92847503373819	1.3140449537222745E-17	4.394188787554187E-18	3.748397464143668E-18
GOTERM_CC_DIRECT	GO:0035097~histone methyltransferase complex	14	5.668016194331984	2.4490872982723825E-19	PRMT5, KMT2D, PRDM4, KMT2A, KMT2C, SETD1B, SETD1A, KMT2B, CXXC1, ASH2L, RBBP5, WDR82, WDR5, MEN1	241	25	20562	47.77892116182572	5.779846023922822E-17	1.1559692047845646E-17	8.767732527815128E-18
