Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	26	27.956989247311824	8.19394346964361E-34	DDX47, POP4, SUV39H1, RPP30, UTP23, HEATR1, FCF1, DDX21, NOL8, RRP8, RPF1, RRP9, EXOSC5, EXOSC9, EXOSC2, NOP56, NOP14, WDR36, KRR1, DIS3, DDX56, RRP1B, UTP18, BYSL, DKC1, MPHOSPH10	93	131	19308	41.205614380694406	3.2857713313270875E-31	3.277577387857444E-31	3.0317590837681354E-31
GOTERM_MF_DIRECT	GO:0003723~RNA binding	51	54.83870967741935	1.9316129354273193E-31	DDX47, POP1, WDR3, RPP30, RTCB, FCF1, MTO1, YARS2, RRP8, RRP9, DHX15, SNRPD3, PUS3, UPF2, WDR36, PRMT1, DIS3, PUS1, DDX56, PRPF4B, TRNT1, PUS7, UTP18, DKC1, TUT1, PPIG, TRUB2, DNMT1, UTP23, HEATR1, DDX21, NOL8, NOL9, RPF1, EXOSC5, FIP1L1, POLR2B, EXOSC9, EXOSC2, DCAF13, NOP56, NOP14, SSB, UTP3, KRR1, SETD1A, ADAT1, RRP1B, BYSL, MPHOSPH10, NOL11	93	1471	18869	7.034341352163329	3.225793602163623E-29	3.245109731517896E-29	2.72357423895252E-29
GOTERM_MF_DIRECT	GO:0008168~methyltransferase activity	19	20.43010752688172	1.6194021162854387E-23	PRMT5, KMT2D, DNMT1, PRDM4, PRMT1, PRMT3, PRDM15, EHMT1, MTR, ASH2L, PRDM10, RRP8, METTL23, METTL13, NSD1, DPH5, SMYD4, METTL18, METTL17	93	103	18869	37.426766885896235	2.7044015341966826E-21	1.3602977776797685E-21	1.1416784919812343E-21
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	61	65.59139784946237	2.456487478479867E-22	SUV39H2, SETD2, DDX47, POP1, WDR3, POP4, SUV39H1, RPP30, RTCB, FCF1, EHMT1, ASH2L, RRP8, RRP9, DHX15, WDR5, SNRPD3, METTL17, PRMT6, PRMT5, WDR36, PRMT7, EED, PRMT1, DIS3, PUS1, TRNT1, UTP18, DKC1, TUT1, PPIG, KMT2D, DNMT1, KMT2B, HEATR1, PRDM15, DDX21, NOL9, EXOSC5, FIP1L1, RBBP5, POLR2B, EXOSC9, NSD1, POLR2D, EXOSC8, EXOSC2, DCAF13, NOP56, SUZ12, UTP6, NOP14, SETDB1, UTP3, KRR1, SETD1A, RRP1B, BYSL, MPHOSPH10, NOL11, EZH2	92	3963	20562	3.4401968205904616	2.898655224606243E-20	2.898655224606243E-20	2.2354036054166787E-20
GOTERM_BP_DIRECT	GO:0032259~methylation	18	19.35483870967742	4.8263589381091545E-22	N6AMT1, KMT2D, DNMT1, TPMT, PRDM4, PRMT1, PRDM15, ASMTL, MTR, PRDM10, RRP8, METTL23, METTL13, NSD1, DPH5, SMYD4, METTL18, METTL17	93	102	19308	36.63757115749526	1.9353699341817709E-19	9.652717876218309E-20	8.928764035501936E-20
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	14	15.053763440860216	7.5072654839627085E-22	NOP56, UTP6, NOP14, WDR36, UTP3, KRR1, WDR3, UTP23, HEATR1, FCF1, UTP18, RRP9, MPHOSPH10, DCAF13	92	39	20562	80.23076923076924	8.858573271075996E-20	4.429286635537998E-20	3.415805795203032E-20
GOTERM_CC_DIRECT	GO:0005730~nucleolus	38	40.86021505376344	4.102120033968728E-20	DDX47, POP1, WDR3, POP4, SUV39H1, UTP23, HEATR1, FCF1, DDX21, NOL8, NOL9, RRP8, RPF1, RRP9, EXOSC5, RBBP5, EXOSC9, EXOSC8, DHX15, EXOSC2, DCAF13, METTL18, PRMT6, SUZ12, NOP56, UTP6, NOP14, WDR36, UTP3, KRR1, DDX56, RRP1B, UTP18, BYSL, DKC1, TUT1, MPHOSPH10, NOL11	92	1397	20562	6.079455977093772	4.840501640083099E-18	1.6135005466943665E-18	1.2443097436371807E-18
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	12	12.903225806451612	1.6622803210308238E-17	PUS3, TRUB2, SSB, DKC1, POP1, RPP30, ADAT1, TRNT1, PUS7, MTO1, FARS2, THG1L	93	38	19308	65.56196943972834	6.665744087333604E-15	2.216373761374432E-15	2.0501457292713493E-15
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	17	18.27956989247312	6.104282357062231E-14	PRMT6, N6AMT1, SUV39H2, PRMT5, DNMT1, EED, UTP3, SUV39H1, SETD1A, KMT2B, EHMT1, ASH2L, METTL23, RBBP5, NSD1, WDR5, EZH2	93	253	19308	13.950274129797272	2.4485968808107827E-11	6.104282357062231E-12	5.646461180282563E-12
GOTERM_MF_DIRECT	GO:0030515~snoRNA binding	8	8.60215053763441	2.494212714550116E-12	NOP56, UTP6, NOP14, WDR3, HEATR1, DDX21, RRP9, BYSL	93	19	18869	85.42840973401246	4.165359168695204E-10	1.396759120148065E-10	1.1722799758385545E-10
