Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	149	57.97665369649806	3.429577071278273E-97	POP1, RPP30, RRP1, BCCIP, C1ORF131, YARS2, RRP8, RRP9, CCAR1, SNRPD2, SNRPD1, MAGOH, CWC22, SNRPD3, DDX18, SCAF11, PUS1, DDX10, WDR75, PRPF4B, GTPBP4, DKC1, PSPC1, GRWD1, NCL, MRTO4, GEMIN5, TFAM, SRFBP1, PPIG, DAP3, DNMT1, DHX9, PRKDC, UTP23, MTDH, TPR, G3BP1, GAR1, CSTF1, BRIX1, UTP20, ZC3H15, ZBED4, NOP14, CHTOP, XRCC6, PNO1, API5, CPSF2, LSM1, EIF2S2, EIF2S1, CCT6A, HNRNPM, LSM7, SNW1, CNOT7, SON, CNOT1, FASN, MPHOSPH10, NOL11, LSM14A, RBM27, DAZAP1, RBM26, FASTKD2, NAT10, KRI1, ELAVL1, MTO1, WDR43, SYNCRIP, SART3, XPO1, XPO5, DHX15, UBTF, NELFCD, MRPL9, CCT3, UPF2, WDR36, NCBP1, PARP1, DIS3, PRMT1, DDX56, RBM19, PRPF40A, GNL2, UTP18, REXO4, WDR33, MRPL44, GNL3, SLTM, NFX1, THRAP3, RPUSD2, DDX27, USP10, NIP7, SRSF1, MAK16, HEATR1, DDX23, MRPS31, AKAP8, GTPBP10, DDX20, NOL8, EXOSC5, TCOF1, FIP1L1, POLR2B, EXOSC9, BMS1, PES1, ASCC3, EXOSC2, SF3B1, ABCF1, NOP56, SMARCE1, PTCD3, NOP58, SSB, TAF15, YTHDF2, KRR1, UTP3, CCDC59, RRP1B, NOC3L, U2SURP, SCAF4, BYSL, RSL1D1, PHF5A, MYBBP1A, MFAP1, ESF1, PRPF31, NAA15, TARDBP, RAN, METAP2	256	1471	18869	7.4659059525832765	1.2277885915176218E-94	1.2312181685889001E-94	1.0906055086664909E-94
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	168	65.36964980544747	2.5390424897613545E-60	LTV1, POP1, POP4, RPP30, BCCIP, SMC3, RRP8, RRP9, CCAR1, SNRPD2, SNRPD1, ALKBH1, MAGOH, CWC22, NARS2, RUVBL1, LONP1, SNRPD3, RPP38, MED1, ESCO1, SCAF11, PUS1, WDR75, LIG3, THOC2, GTPBP4, MED6, PRPF4, DKC1, PSPC1, GRWD1, NCL, PSME3, GEMIN4, GEMIN5, PPIG, LRIF1, ANAPC1, DAP3, POM121, DNMT1, SET, DHX9, PRKDC, CTR9, PDS5A, TPR, GAR1, CSTF1, NUP88, UTP20, ZBED4, NOP14, CHTOP, XRCC6, PNO1, INTS2, CPSF2, SMARCA5, NUP153, HNRNPM, LSM7, SNW1, MPHOSPH10, RAD17, INTS7, NOL11, ATR, DAZAP1, NAT10, CHD4, CTDSPL2, CTCF, ELAVL1, WDR43, COIL, SYNCRIP, SART3, XPO1, NOB1, XPO5, DHX15, UBTF, RIOK1, NELFCD, METTL17, PRMT6, PRMT5, WDR36, PBRM1, PRMT7, NCBP1, RFC1, PARP1, DIS3, PRMT1, TEX10, RBM19, PRPF40A, PLRG1, BAZ1B, UTP18, REXO4, WDR33, MRPL44, SLTM, POLR1A, NFX1, THRAP3, POLR1B, POLR1C, GTF3C2, USP16, SF3B3, USP10, NIP7, SRSF1, HEATR1, DDX23, AKAP8, DDX20, SDAD1, METTL21A, IWS1, EXOSC5, DCAF17, TCOF1, RBBP4, FIP1L1, POLR2B, EXOSC9, BMS1, PES1, POLR2D, NUP43, CCT8, ASCC3, BUB3, EXOSC2, SF3B1, ABCF1, NOP56, SMARCE1, PTCD3, UTP6, NOP58, TAF15, KRR1, UTP3, CCDC59, RRP1B, NOC3L, U2SURP, SCAF4, BYSL, RAD50, PHF5A, MYBBP1A, MFAP1, POLR3C, CARM1, ESF1, PRPF31, CIAPIN1, TAF5, TARDBP, RAN	253	3963	20562	3.4453237905168264	7.617127469284063E-58	7.617127469284063E-58	5.992140275836797E-58
GOTERM_CC_DIRECT	GO:0005730~nucleolus	90	35.019455252918284	9.923508868075778E-41	POP1, POP4, PAK1IP1, RRP1, NAT10, CTCF, KRI1, PWP1, RRP8, WDR43, RRP9, COIL, XPO1, C1QBP, DHX15, UBTF, METTL18, RPP38, PRMT6, DDX18, MED1, WDR36, PARP1, RFC1, SCAF11, TEX10, RBM19, DDX56, WDR75, GNL2, BAZ1B, UTP18, GTPBP4, REXO4, GNL3, NFX1, DKC1, GRWD1, POLR1B, NCL, MRTO4, GEMIN4, SF3B3, DDX27, PRKDC, DHX9, NIP7, MAK16, UTP23, DDX23, HEATR1, MRPS31, AKAP8, GTPBP10, NOL8, SDAD1, DCAF17, EXOSC5, TCOF1, EXOSC9, PES1, BMS1, BRIX1, UTP20, SF3B1, EXOSC2, ZNF146, NOP56, UTP6, NOP58, NOP14, CHTOP, XRCC6, PNO1, UTP3, KRR1, SMARCA5, NUP153, RRP1B, NOC3L, BYSL, RSL1D1, HNRNPM, MYBBP1A, MPHOSPH10, ESF1, RAD17, CIAPIN1, NOL11, RAN	253	1397	20562	5.235895099889373	2.9770526604227335E-38	1.4885263302113668E-38	1.1709740464329418E-38
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	38	14.785992217898833	1.7649476432585882E-39	DDX27, POP4, RPP30, UTP23, HEATR1, RRP1, NOL8, PWP1, RRP8, WDR43, RRP9, EXOSC5, NOB1, EXOSC9, PES1, BRIX1, UTP20, EXOSC2, RPP38, NOP56, NOP58, NOP14, WDR36, KRR1, DIS3, DDX56, WDR75, DDX10, RRP1B, UTP18, REXO4, BYSL, MRPL44, DKC1, MRTO4, GEMIN4, MPHOSPH10, ESF1	251	131	19308	22.313919892947297	1.78789196262095E-36	1.7861270149776913E-36	1.6908198422417275E-36
GOTERM_CC_DIRECT	GO:0005634~nucleus	143	55.6420233463035	7.683433213967292E-20	N6AMT1, LTV1, POP4, RPP30, RRP1, BCCIP, SMC3, PWP1, CCAR1, SNRPD2, SNRPD1, ALKBH1, MAGOH, CWC22, RUVBL1, SNRPD3, MED1, ESCO1, PUS1, DDX10, LIG3, PRPF4B, GTPBP4, MED6, PRPF4, DKC1, PSPC1, GRWD1, NCL, PSME3, GEMIN5, TFAM, SRFBP1, ADNP, PPIG, DNMT1, SET, DHX9, PRKDC, PDS5A, NUP160, MTDH, ZNHIT6, FIGNL1, TPR, G3BP1, ZNF146, ZC3H15, ZBED4, CHTOP, XRCC6, API5, INTS2, SMARCA5, LSM1, EIF2S1, HNRNPM, LSM7, SNW1, CNOT7, CNOT1, RAD17, INTS7, ATR, RBM27, DAZAP1, RBM26, NAT10, CHD4, CTCF, ELAVL1, MED18, COIL, SYNCRIP, SART3, XPO1, METTL13, C1QBP, XPO5, DHX15, UBTF, NELFCD, METTL18, PRMT6, UPF2, PRMT5, PRMT7, NCBP1, RFC1, PARP1, DIS3, PRMT1, TEX10, PLRG1, GNL2, UTP18, REXO4, WDR33, MRPL44, GNL3, METTL23, SLTM, POLR1A, NFX1, THRAP3, POLR1B, POLR1C, USP16, SF3B3, USP10, SRSF1, DDX23, AKAP8, DDX20, HSPA14, IWS1, EXOSC5, RBBP4, POLR2B, EXOSC9, POLR2D, ASCC3, EXOSC2, SF3B1, PMS1, SMARCE1, SSB, TAF15, YTHDF2, UTP3, RRP1B, U2SURP, SCAF4, RAD50, PHF5A, MYBBP1A, MFAP1, CARM1, PRPF31, NAA15, TAF5, TARDBP, RAN	253	5984	20562	1.9421791443850265	2.3050299641901875E-17	7.683433213967293E-18	6.044300794987604E-18
GOTERM_CC_DIRECT	GO:0005694~chromosome	29	11.284046692607005	9.855872392785412E-19	DDX27, RRP1, GTPBP10, NOL8, C1ORF131, PDS5A, SMC3, PWP1, PES1, BMS1, BRIX1, DDX18, UTP6, PARP1, ESCO1, KRR1, RBM19, PRPF4B, RRP1B, BYSL, GNL3, RSL1D1, POLR1A, POLR1B, NCL, GRWD1, MPHOSPH10, INTS7, ATR	253	256	20562	9.206676136363637	2.9567617178356235E-16	7.391904294589059E-17	5.814964711743394E-17
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	26	10.116731517509727	1.0763683461604849E-17	SF3B3, DDX23, IWS1, SYNCRIP, SNRPD2, SNRPD1, C1QBP, MAGOH, DHX15, SNRPD3, SF3B1, TAF15, NCBP1, PRMT1, SCAF11, PUS1, LSM1, PRPF4B, THOC2, RRP1B, PRPF4, SON, THRAP3, MPHOSPH10, PPIG, TARDBP	251	200	19308	10.000159362549802	1.0903611346605712E-14	5.446423831572054E-15	5.1558043781087224E-15
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	25	9.72762645914397	1.6075712104415685E-16	SF3B3, DDX23, SRSF1, SYNCRIP, SART3, SNRPD2, SNRPD1, MAGOH, CWC22, SNRPD3, SF3B1, NCBP1, RBM19, PRPF4B, PRPF40A, PLRG1, PRPF4, HNRNPM, LSM7, SNW1, PHF5A, MFAP1, PSPC1, GEMIN5, PRPF31	251	202	19308	9.52033450356988	1.1246559239452836E-13	5.422873549889557E-14	5.133510732010075E-14
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	14	5.447470817120623	6.177407066624765E-16	NOP56, UTP6, NOP58, NOP14, WDR36, PRKDC, UTP3, KRR1, UTP23, HEATR1, UTP18, RRP9, MPHOSPH10, UTP20	253	39	20562	29.174825174825177	1.9984014443252818E-13	3.706444239974859E-14	2.915736135446889E-14
GOTERM_MF_DIRECT	GO:0005515~protein binding	223	86.7704280155642	3.7067653364445395E-14	LTV1, NUP107, POP1, POP4, RRP1, SMC3, RRP8, RRP9, CCAR1, SNRPD2, SNRPD1, MAGOH, LONP1, DENR, SNRPD3, DDX18, MED1, SCAF11, GTPBP4, MED6, GRWD1, PSME3, TFAM, POM121, SEH1L, SET, DHX9, PRKDC, CTR9, RPAP3, MTDH, ZNHIT6, FIGNL1, GAR1, CSTF1, NUP88, ZNF146, ZBED4, XRCC6, PNO1, INTS2, SMARCA5, PAICS, CCT6A, HNRNPM, SNW1, NDUFAF7, FASN, RAD17, MPHOSPH10, INTS7, NOL11, ATR, DAZAP1, ZCCHC10, FASTKD2, PAK1IP1, NAT10, CTCF, MED18, WDR43, PCMTD2, COIL, SYNCRIP, XPO1, C1QBP, XPO5, DHX15, RIOK1, NELFCD, CCT3, PRMT6, UPF2, PRMT5, CCT2, PBRM1, PRMT7, PARP1, PRMT1, TEX10, PRMT3, PRPF40A, BAZ1B, MRPL44, GNL3, SLTM, NFX1, PRMT9, SF3B3, NIP7, HEATR1, MRPS31, AKAP8, NOL8, MIEF1, METTL21A, HSPA14, EXOSC5, TCOF1, EXOSC9, PES1, CCT8, EXOSC2, SF3B1, PMS1, CCT5, UTP6, YTHDF2, UTP3, RRP1B, BYSL, PHF5A, PRPF31, CIAPIN1, TARDBP, N6AMT1, TPMT, RPP30, BCCIP, YARS2, CWC22, RUVBL1, RPP38, PRPF4B, LIG3, THOC2, PRPF4, POLG2, DKC1, PSPC1, NCL, MRTO4, GEMIN4, GEMIN5, PPIG, ADNP, LRIF1, DAP3, DNMT1, GSTCD, UTP23, PDS5A, NUP160, TPR, G3BP1, BRIX1, UTP20, ZC3H15, CHTOP, NUP155, API5, CPSF2, LSM1, NUP153, EIF2S2, EIF2S1, COQ5, LSM7, CNOT7, SON, CNOT1, LSM14A, RBM26, CHD4, CTDSPL2, ELAVL1, SART3, METTL13, NOB1, UBTF, VCPKMT, MRPL9, EIF2B1, METTL18, METTL17, NCBP1, RFC1, DIS3, DDX56, PLRG1, REXO4, METTL23, THRAP3, POLR1A, POLR1B, POLR1C, GTF3C2, DDX27, USP10, MAK16, DDX23, SRSF1, GTPBP10, DDX20, IWS1, SRM, DCAF17, FIP1L1, RBBP4, POLR2B, POLR2D, NUP43, ASCC3, BUB3, ABCF1, PTCD3, NOP56, SMARCE1, NOP58, SSB, TAF15, KRR1, CCDC59, U2SURP, RAD50, MFAP1, POLR3C, CARM1, TAF5, NAA15, SEC24C, RAN, METAP2	256	12554	18869	1.3092773593077904	1.3275158750047922E-11	6.653643778917948E-12	5.893756884946818E-12
