Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	110	43.13725490196079	2.707305464181988E-54	OTUD4, RPL3, EIF4A3, BCCIP, FCF1, HDLBP, THUMPD1, ENO1, IPO5, CRKL, RPS15, TRIM28, RPL36, SNIP1, MTERF1, AQR, RPL21, RPS7, CIRBP, WBP11, SRRM1, ATXN2L, XRN1, EWSR1, GRWD1, XRN2, RPL27, SNRPF, RPL28, SF1, DDX6, VCP, RPS19BP1, PRKDC, IREB2, CSTF2, MRPL13, GSPT1, RPF1, ERI1, TPR, G3BP1, PUSL1, RBM10, CPSF3, MAGOHB, LSM4, CHERP, CCT6A, LSM6, UBE2N, SPATS2L, UBA1, HNRNPC, ALDH18A1, GRSF1, ZCCHC3, RPS23, EIF4G1, DAZAP1, FASTKD2, PPP1R10, ZC3H4, ADAR, WDR43, MRPL32, SUMO1, DHX16, PELP1, CCT3, NCBP1, MRPS23, URB1, WDR33, SUPV3L1, NOA1, THRAP3, CSDE1, RBM12B, NAF1, RBM22, TRIM56, DDX27, MRPS35, AHNAK, DDX24, MAK16, MRPS31, RBM4B, NOL8, PURA, BCLAF1, TCOF1, PUF60, U2AF2, SRSF10, EIF4E, SRSF11, HNRNPA0, RBM39, DUT, HNRNPA3, KRR1, NAP1L1, DEK, BYSL, NUDT21, PSMC1, ACIN1, EIF3C	253	1471	18869	5.577099281766323	1.0396052982458834E-51	1.0423126037100654E-51	9.854591889622436E-52
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	150	58.82352941176471	3.2660408719343113E-44	MDC1, ICE2, EIF4A3, BCCIP, FCF1, KEAP1, THUMPD1, SMC3, CRKL, RPS15, ALKBH2, PSMD9, TRIM28, CLP1, POGZ, SNIP1, EP300, BANF1, KPNA1, AQR, SMARCC2, RPS7, CIRBP, LIG3, WBP11, SRRM1, MED7, MTAP, EWSR1, GRWD1, MORF4L2, XRN2, ZNF318, RPL27, GEMIN6, SNRPF, SQSTM1, PPID, SF1, GLYR1, PSMD12, POM121, VCP, SET, RPS19BP1, PSMD14, PRKDC, MYCBP2, CSTF2, XPA, GTF2E1, NCAPH, CCNB1, EPB41L2, TPR, ECT2, ARGLU1, MDN1, DR1, SETDB1, CPSF3, SETDB2, MAGOHB, LSM4, CHERP, TFCP2, LSM6, UBE2N, SPATS2L, UBA1, MAGED2, PSMG1, HNRNPC, GRSF1, RPS23, DAZAP1, PPP1R10, ZC3H4, NCAPG2, INTS10, ADAR, ASH2L, HSCB, CTCF, CHTF18, USP39, CLINT1, AFF4, WDR43, COIL, SUMO1, DHX16, RIOK2, PELP1, NUDC, NCBP1, CAD, PLRG1, WDR33, DDB2, NCOR2, LSG1, PSMA4, KIF2A, THRAP3, RBM12B, NAF1, DNAJC9, RBM22, TRIM56, GTF3C2, SMARCD1, GTF3C4, PRCC, RBM4B, BCLAF1, PSMB4, TCOF1, RBBP4, PUF60, U2AF2, POLR2C, PSMB1, EXOSC8, LMNA, LEO1, MTA2, BRD7, SRSF10, SRSF11, HNRNPA0, RBM39, DUT, HNRNPA3, KRR1, DEK, GTF2H3, APTX, BYSL, NUDT21, ITCH, POLR3B, XPOT, ERCC4, PSMC1, RPA3, ACIN1, CTNNB1, TAF2, NUP37	255	3963	20562	3.052055038518057	1.299884267029856E-41	1.299884267029856E-41	1.2247653269753668E-41
GOTERM_MF_DIRECT	GO:0005515~protein binding	230	90.19607843137256	5.202255846918802E-20	MDC1, RPL3, EIF4A3, FCF1, KEAP1, THUMPD1, ENO1, SMC3, CRKL, RPS15, PSMD9, ALKBH2, PCMT1, TRIM28, CLP1, PPP2R1A, LUC7L, MTERF1, AQR, SMARCC2, RPL21, CIRBP, SRRM1, MED7, NIF3L1, MTAP, XRN1, EWSR1, GRWD1, XRN2, RPL27, RPL28, SF1, POM121, SET, PRKDC, MYCBP2, CSTF2, XPA, MRPL17, MRPL13, NCAPH, GSPT1, SCFD1, PRDX4, ERI1, PDCD10, ZNHIT6, EPB41L2, SSR1, ATG7, ARGLU1, RBM10, ICMT, SETDB1, SETDB2, ERLIN1, MAGOHB, CCT6A, MAGED2, PSMG1, HNRNPC, ALDH18A1, RPS23, DAZAP1, FASTKD2, PPP1R10, NCAPG2, INTS10, SNX12, ASH2L, HSCB, CTCF, CLINT1, WDR43, MRPL32, COIL, TMED2, DHX16, RIOK2, CCT3, NUDC, MRPS23, DDB2, NCOR2, PSMA4, KIF2A, CSDE1, RBM12B, TMF1, AHNAK, MRPS31, TIMM13, NOL8, PURA, BCLAF1, PSMB4, TCOF1, PSMB1, EXOSC8, LMNA, LEO1, BRD7, SRSF10, SRSF11, FARP1, AP3D1, GTF2H3, APTX, BYSL, NUDT21, ITCH, XPOT, PSMC1, RPA3, RAB3GAP2, CTNNB1, ESYT2, OTUD4, ZWILCH, ICE2, PDCD5, BCCIP, LTN1, HDLBP, TOMM22, IPO5, IPO9, POGZ, SNIP1, EP300, BANF1, KPNA1, RPS7, LIG3, WBP11, PDIA6, ATXN2L, MORF4L2, GEMIN6, SNRPF, SQSTM1, PPID, GLYR1, DDX6, PSMD12, VCP, TSG101, CUL5, RPS19BP1, PSMD14, COPB1, IREB2, ARL1, GTF2E1, ACACA, RPF1, CCNB1, TPR, G3BP1, SMYD4, ECT2, MDN1, TBC1D15, DR1, CPSF3, LSM4, CHERP, COQ5, DRAP1, TFCP2, LSM6, ATG16L1, NF1, UBE2N, UBA1, GRSF1, ZCCHC3, EIF4G1, ZC3H4, ADAR, CHTF18, USP39, AFF4, SEC61A1, SUMO1, GMPPA, PELP1, NCBP1, AHSA1, PLRG1, DDOST, TTI1, SUPV3L1, RCN1, RCN2, THRAP3, NOA1, ATG4B, NAF1, DNAJC9, RBM22, TRIM56, GTF3C2, SMARCD1, GTF3C4, DDX27, DDX24, MAK16, PRCC, RBM4B, RBBP4, PUF60, U2AF2, POLR2C, MTA2, EIF4E, RBM39, DUT, HNRNPA3, KRR1, NAP1L1, DEK, ERCC4, DNAJA3, ACIN1, VIPAS39, EIF3C, TAF2, NUP37	253	12554	18869	1.366388112445146	1.99766624521682E-17	1.0014342505318694E-17	9.46810564139222E-18
GOTERM_CC_DIRECT	GO:0005634~nucleus	142	55.68627450980392	6.2701733940911845E-19	OTUD4, MDC1, RPL3, EIF4A3, PDCD5, BCCIP, HDLBP, ENO1, SMC3, RCBTB1, IPO5, RPS15, ALKBH2, PSMD9, TRIM28, PPP2R1A, CLP1, POGZ, NFATC2IP, SNIP1, EP300, BANF1, KPNA1, AQR, RPS7, CIRBP, LIG3, WBP11, SRRM1, MED7, NIF3L1, MTAP, XRN1, EWSR1, GRWD1, XRN2, RPL27, GEMIN6, SNRPF, PPID, SF1, DDX6, VCP, SET, PSMD14, PRKDC, MYCBP2, XPA, GTF2E1, CCNB1, PRDX4, ERI1, ZNHIT6, TPR, G3BP1, SMYD4, ECT2, ARGLU1, RBM10, MDN1, SETDB1, CPSF3, SETDB2, MAGOHB, LSM4, DRAP1, TFCP2, LSM6, NACA, NF1, UBE2N, UBA1, MAGED2, PSMG1, HNRNPC, EIF4G1, DAZAP1, PPP1R10, ZC3H4, NCAPG2, INTS10, ADAR, ASH2L, CTCF, CHTF18, USP39, COIL, SUMO1, DHX16, RIOK2, PELP1, NCBP1, CAD, PLRG1, WDR33, DDB2, TTI1, NCOR2, SUPV3L1, PSMA4, THRAP3, DNAJC9, RBM22, SMARCD1, TMF1, AHNAK, PRCC, TYMS, PURA, BCLAF1, PSMB4, RBBP4, PUF60, U2AF2, POLR2C, PSMB1, EXOSC8, LMNA, LEO1, BRD7, SRSF10, EIF4E, SRSF11, HNRNPA0, NKTR, RBM39, DUT, HNRNPA3, NAP1L1, DEK, GTF2H3, APTX, NUDT21, XPOT, ERCC4, PSMC1, DNAJA3, RPA3, ACIN1, CTNNB1, TAF2, NUP37	255	5984	20562	1.913471217363951	2.4955290108482914E-16	9.779145256493703E-17	9.214018771821957E-17
GOTERM_CC_DIRECT	GO:0005829~cytosol	135	52.94117647058824	7.371215017457565E-19	OTUD4, RPL3, ZWILCH, ICE2, EIF4A3, PDCD5, BCCIP, LTN1, HDLBP, KEAP1, ENO1, SMC3, CRKL, RPS15, PSMD9, PCMT1, IPO9, PPP2R1A, CLP1, POGZ, RPL36, SNIP1, EP300, BANF1, KPNA1, RPL21, RPS7, WBP11, PDIA6, SRRM1, ATXN2L, MTAP, XRN1, GRWD1, ZNF318, RPL27, GEMIN6, SNRPF, RPL28, SQSTM1, PPID, GLYR1, DDX6, PSMD12, VCP, SET, TSG101, CUL5, RPS19BP1, PSMD14, PRKDC, COPB1, MYCBP2, IREB2, ARL1, GTF2E1, ACACA, NCAPH, GSPT1, CCNB1, SCFD1, PRDX4, PDCD10, EPB41L2, G3BP1, ECT2, ATG7, ARGLU1, MDN1, SETDB2, EIF2AK4, MAGOHB, LSM4, CCT6A, UCK2, TFCP2, LSM6, ATG16L1, NF1, UBE2N, SPATS2L, UBA1, MAGED2, PSMG1, HNRNPC, RPS23, EIF4G1, DAZAP1, ZC3H4, HSCB, CHTF18, CLINT1, SUMO1, PHGDH, RIOK2, CCT3, NUDC, NCBP1, CAD, AHSA1, LSG1, PSMA4, KIF2A, CSDE1, ATG4B, DNAJC9, TRIM56, TMF1, AHNAK, RBM4B, TYMS, CRYZ, PSMB4, TCOF1, RBBP4, POLR2C, PSMB1, EXOSC8, LMNA, BRD7, SRSF10, EIF4E, FARP1, BYSL, ITCH, POLR3B, XPOT, PSMC1, DNAJA3, RAB3GAP2, ACIN1, CTNNB1, ESYT2, EIF3C, NUP37	255	5510	20562	1.9756378776555994	2.933743576948111E-16	9.779145256493703E-17	9.214018771821957E-17
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	21	8.235294117647058	2.010620735938112E-12	AQR, HNRNPA3, NCBP1, EIF4A3, RBM4B, PLRG1, MAGOHB, USP39, LSM4, SRRM1, LSM6, U2AF2, DHX16, SNIP1, GEMIN6, SNRPF, HNRNPC, SRSF10, RBM10, SF1, RBM22	251	202	19308	7.997080982998698	2.9214219932072183E-9	2.9194213085821385E-9	2.869155790183686E-9
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	21	8.235294117647058	1.2844972853133477E-10	DDX6, DAZAP1, AQR, HNRNPA3, NCBP1, CSTF2, EIF4A3, HDLBP, RBM4B, TYMS, MRPL13, NUDT21, BCLAF1, G3BP1, TPR, SNIP1, LUC7L, GRSF1, HNRNPA0, SF1, EIF4G1	253	246	18869	6.366673093608407	4.932468178342475E-8	1.6484381828187963E-8	1.558523372846862E-8
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	16	6.2745098039215685	1.5907762406603919E-10	DDX27, RPS7, KRR1, EIF4A3, FCF1, NOL8, WBP11, WDR43, BYSL, RPF1, RPS15, XRN2, RPL27, NAF1, MDN1, PELP1	251	131	19308	9.395334691767282	2.3113978420141734E-7	1.1549035507194445E-7	1.1350188477111896E-7
GOTERM_CC_DIRECT	GO:0005730~nucleolus	48	18.823529411764707	2.758481181623786E-10	DDX6, TSG101, RPL3, DDX27, DDX24, RPS19BP1, PRKDC, MAK16, EIF4A3, MRPS31, FCF1, RBM4B, NOL8, ADAR, CTCF, TYMS, WDR43, IPO5, RPF1, COIL, ALKBH2, TCOF1, SUMO1, ERI1, EXOSC8, RPL36, MDN1, PELP1, RPS7, KRR1, URB1, DEK, APTX, BYSL, RCN2, LSM6, KIF2A, EWSR1, GRWD1, MORF4L2, XRN2, NF1, ACIN1, SPATS2L, RPL27, MAGED2, NAF1, PPID	255	1397	20562	2.7705756031832918	1.0978754660939671E-7	2.744688775715667E-8	2.5860761077722994E-8
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	18	7.0588235294117645	1.0475818439377324E-9	RBM39, NCBP1, MAGOHB, USP39, LSM4, SRRM1, BCLAF1, LSM6, PUF60, U2AF2, PPP2R1A, THRAP3, DHX16, ACIN1, SNRPF, HNRNPC, SRSF11, RBM10	251	200	19308	6.923187250996016	1.5221351964411767E-6	5.070296124658625E-7	4.982997637663814E-7
