Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	109	42.91338582677165	6.026173567450663E-54	EIF4A2, FCF1, RPL8, BZW1, GPATCH8, RPL6, RPL7, TIAL1, SNRPD2, KHSRP, CWC22, ZNF207, KPNA2, RPS12, SECISBP2, RPSA, LARP4B, POLRMT, SRRM1, GRWD1, RPL7L1, RPL24, CCDC86, RPL26, DUS3L, SNRPA, SF1, MACF1, MRPL13, GSPT2, NOP9, MTDH, DHX30, LARP1, DHX33, SMN2, DHX38, ZC3H18, LLPH, SPTBN1, TOE1, API5, NONO, LSM1, UPF3B, LSM5, MEX3C, ANKHD1, PUM2, MRPL22, LSM7, SNW1, FUBP3, HNRNPF, GOLGB1, HNRNPA1L2, SUGP2, CCDC47, FASTKD3, HMGB3, NAT10, SYNCRIP, XPO5, RRP12, COA6, EIF5B, PABPC4, MRPS7, SRP9, PTBP3, SUPV3L1, DDX19A, RPL37A, RBM12B, STRAP, PABPC1, DDX27, NUFIP1, MRPS35, NIP7, USO1, RPL11, SLC3A2, NOC4L, SCAF8, BCLAF1, POLR2A, SRP72, U2AF2, TRA2A, CTNNA1, GPBP1L1, RPS2, EXOSC1, HNRNPA0, PTCD3, PTCD1, UTP3, CDC5L, IMMT, RRP1B, NOC3L, BYSL, NUDT21, EIF3L, APEX1, ACIN1, TRIM32, TNRC6A	250	1471	18869	5.592715159755269	2.537019071896729E-51	2.5430452454641798E-51	2.4586788155198705E-51
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	129	50.78740157480315	1.5219996481147461E-30	ATF2, DCLRE1A, CRCP, FCF1, KEAP1, TIAL1, ALKBH3, PSMD9, SNRPD2, KHSRP, ALKBH1, CWC22, ZNF207, LONP1, EP300, KPNA2, RNF111, RPS12, GTF2I, MED1, SLC30A5, SECISBP2, RECQL, RPSA, ZNF12, SRRM1, MSH6, GRWD1, GEMIN4, CCDC86, RPL26, SNRPA, SF1, GLYR1, POM121, XPC, DHX33, HIVEP1, EP400, SMN2, DHX38, TOE1, HEXIM1, ZNF383, VTA1, NONO, UPF3B, LSM5, ESR1, PALB2, NFKB1, STAG1, COPS6, LSM7, CDK7, TFCP2, SNW1, MRGBP, EIF6, FUBP3, HNRNPF, CDK12, INTS6, SUGP2, FEN1, FASTKD3, NAT10, PTPN23, CDC73, SYNCRIP, XPO5, COA6, DFFA, USP42, CAD, DDX19A, POLR1A, POLR1B, MED20, RBM12B, NAA38, DNAJC9, GTF3C1, NUFIP1, NIP7, TAF9, RPL11, FOXK2, SLC3A2, NOC4L, PDHB, RNF2, PPM1G, AURKA, HIRA, SCAF8, BCLAF1, RBBP4, POLR2A, U2AF2, POLD2, PSMB1, TRA2A, BRD9, RPS2, CCT8, EXOSC1, HNRNPA0, SUZ12, PTCD3, UTP6, PPIL2, TAF12, ERCC6L2, UTP3, CDC5L, RRP1B, NOC3L, BYSL, NUDT21, EIF3L, APEX1, RPA3, POLE3, ERCC8, ACIN1, NCAPD2, TNRC6A, CUL4B	249	3963	20562	2.6880147387430116	6.072778595977837E-28	6.072778595977837E-28	5.75315866987374E-28
GOTERM_CC_DIRECT	GO:0005634~nucleus	141	55.51181102362205	1.115497784603373E-19	ATF2, PDCD5, GPATCH8, RCBTB1, RPL6, RPL7, TIAL1, ALKBH3, PSMD9, CHCHD2, SNRPD2, TUBB3, PPP2R1A, KHSRP, ALKBH1, CWC22, ZNF207, EP300, KPNA2, RNF111, GTF2I, MED1, RECQL, RPSA, ZNF12, SRRM1, DPM1, MSH6, GRWD1, CCDC86, SNRPA, SF1, GGNBP2, XPC, NUP160, STK3, MTDH, DHX33, HIVEP1, EP400, SMN2, DHX38, SPTBN1, HEXIM1, API5, HSPA4, NONO, LSM1, UPF3B, LSM5, ESR1, PALB2, MEX3C, NFKB1, STAG1, COPS6, LSM7, CDK7, TFCP2, SNW1, EIF6, FUBP3, NACA, HNRNPF, PHF14, CDK12, INTS6, PSMG2, HNRNPA1L2, SUGP2, ZNF770, FEN1, HMGB3, MED19, NAT10, PTPN23, CDC73, SYNCRIP, C1QBP, XPO5, RRP12, NCK1, DFFA, USP42, PABPC4, CAD, PTBP3, TTI1, SUPV3L1, DDX19A, POLR1A, KIFC1, POLR1B, MED20, RPL37A, STRAP, NAA38, DNAJC9, PABPC1, MTPN, NUFIP1, TAF9, FOXK2, PDHB, TYMS, RNF2, PPM1G, AURKA, HIRA, SCAF8, BCLAF1, RBBP4, POLR2A, U2AF2, POLD2, PSMB1, TRA2A, ZNF623, GPBP1L1, BRD9, RPS2, EXOSC1, HNRNPA0, SUZ12, RANBP1, PPIL2, TAF12, ERCC6L2, UTP3, CDC5L, RRP1B, NUDT21, APEX1, RPA3, POLE3, ERCC8, ACIN1, NCAPD2, PAXBP1, TRIM32, CUL4B	249	5984	20562	1.9457791057277238	4.4508361605674586E-17	2.2254180802837293E-17	2.1082908129003752E-17
GOTERM_MF_DIRECT	GO:0005515~protein binding	218	85.8267716535433	5.6212532638525454E-14	EIF4A2, ATF2, FCF1, KEAP1, RPL8, GPATCH8, RPL6, RPL7, TIAL1, ALKBH3, PSMD9, LSM12, SNRPD2, PPP2R1A, LONP1, LUC7L, RNF111, RPS12, MED1, SECISBP2, BROX, RECQL, ZNF12, SRRM1, GRWD1, RPL24, CCDC86, RPL26, DUS3L, SF1, MACF1, POM121, XPC, GSPT2, MRPL13, MTDH, DHX30, NCSTN, LARP1, DHX33, HIVEP1, DHX38, CEP76, SPTBN1, TOE1, HEXIM1, ZNF383, UPF3B, PYCR2, MEX3C, PUM2, STAG1, SNW1, EIF6, FUBP3, HNRNPF, GOLGB1, CDK12, PSMG2, INTS6, FEN1, FASTKD3, MRPL38, MED19, NAT10, SYNCRIP, ZMYM4, C1QBP, XPO5, UBXN4, CCT2, DFFA, PABPC4, SRP9, CTTN, RBM12B, MED20, STRAP, PABPC1, EXOC2, WDR45B, NIP7, STX18, USO1, RPL11, TIMM13, NOC4L, HIRA, BCLAF1, SCAF8, PGRMC2, SRP72, PSMB1, MFN1, CTNNA1, GPBP1L1, BRD9, RPS2, CCT8, EXOSC1, SUZ12, RANBP1, UTP6, SLC16A1, UTP3, ERCC6L2, RRP1B, BYSL, LETM1, NUDT21, LYRM2, APEX1, RPA3, NCAPD2, CRCP, PDCD5, PLOD1, CHCHD2, TUBB3, KHSRP, CWC22, ZNF207, EP300, KPNA2, MAP3K4, GTF2I, RPSA, LARP4B, FAM91A1, POLRMT, DPM1, MSH6, RPL7L1, GEMIN4, AAGAB, SNRPA, GLYR1, NSMAF, NUP160, STK3, EP400, SMN2, ZC3H18, LLPH, TBC1D15, HSPA4, API5, NONO, VTA1, LSM1, LSM5, ESR1, PALB2, ANKHD1, NFKB1, COPS6, LSM7, CDK7, TFCP2, EIF2S3, MRGBP, PHF14, CCDC47, HMGB3, PTPN23, CDC73, COA6, TNPO3, NCK1, EIF5B, USP42, AHSA1, TTI1, SUPV3L1, DDX19A, PIK3CA, POLR1A, POLR1B, RPL37A, PCCB, DNAJC9, NAA38, GTF3C1, NUFIP1, DDX27, DCTN2, TAF9, FOXK2, SLC3A2, PDHB, ATP1A1, RNF2, AURKA, PPM1G, RBBP4, POLR2A, U2AF2, TRA2A, POLD2, ZNF623, ABCF3, PTCD3, ARFGEF2, PTCD1, PPIL2, TAF12, IMMT, CDC5L, IRGQ, PIKFYVE, EIF3L, POLE3, ERCC8, ACIN1, VIPAS39, TRIM32, TNRC6A, CUL4B	250	12554	18869	1.3106394774573842	2.365063700437986E-11	1.186084438672887E-11	1.1467356658259193E-11
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	24	9.448818897637794	2.07056839158053E-13	LSM1, UPF3B, TYMS, MRPS7, MRPL13, PTBP3, PUM2, RPL7, NUDT21, SYNCRIP, SCAF8, BCLAF1, FUBP3, DHX33, C1QBP, KHSRP, XPO5, STRAP, RPL24, LUC7L, PABPC1, RPS2, HNRNPA0, SF1	250	246	18869	7.3635121951219515	8.71708261129811E-11	2.912599537489945E-11	2.8159730125495208E-11
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	19	7.480314960629922	4.758689209516433E-10	NONO, LSM1, RRP1B, LSM5, PTBP3, SRRM1, NUDT21, BCLAF1, SNRPD2, U2AF2, C1QBP, KHSRP, SMN2, ACIN1, CDK12, DUS3L, HNRNPA1L2, SUGP2, HNRNPA0	247	220	19308	6.7510489510489515	6.148224297453098E-7	4.091784743395814E-7	4.06959845896222E-7
GOTERM_CC_DIRECT	GO:0005829~cytosol	112	44.09448818897638	7.45322806140055E-10	EIF4A2, CRCP, PDCD5, KEAP1, ZC3HAV1L, RPL8, RPL6, RPL7, ALKBH3, PSMD9, SNRPD2, PPP2R1A, KHSRP, CWC22, LONP1, EP300, KPNA2, RNF111, RPS12, RPSA, LARP4B, SRRM1, MSH6, GRWD1, GEMIN4, RPL24, AAGAB, RPL26, GLYR1, NSMAF, XPC, GSPT2, NUP160, STK3, DHX30, LARP1, HIVEP1, SMN2, STXBP5, CEP76, SPTBN1, HSPA4, VTA1, LSM1, UPF3B, LSM5, ESR1, NFKB1, PUM2, STAG1, COPS6, LSM7, CDK7, TFCP2, EIF2S3, EIF6, HNRNPF, GOLGB1, PSMG2, PTPN23, CDC73, SYNCRIP, C1QBP, XPO5, RRP12, UBXN4, NCK1, CCT2, EIF5B, DFFA, USP42, PABPC4, CAD, AHSA1, SRP9, PIK3CA, CTTN, POLR1B, RPL37A, PCCB, STRAP, DNAJC9, PABPC1, EXOC2, MTPN, DCTN2, WDR45B, NIP7, USO1, RPL11, TYMS, AURKA, RBBP4, SRP72, PSMB1, CTNNA1, RPS2, CCT8, EXOSC1, PTCD3, RANBP1, ARFGEF2, RRP1B, BYSL, PIKFYVE, EIF3L, ACIN1, NCAPD2, PAXBP1, TRIM32, TNRC6A, CUL4B	249	5510	20562	1.678542846522205	2.9738375451060506E-7	9.912793321662732E-8	9.391067357364693E-8
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	18	7.086614173228346	8.152475442551951E-10	NONO, LSM1, RRP1B, LSM5, PTBP3, SRRM1, SYNCRIP, BCLAF1, SNRPD2, U2AF2, PPP2R1A, C1QBP, KHSRP, SMN2, ACIN1, CDK12, HNRNPA1L2, SUGP2	247	200	19308	7.035303643724696	1.0532992623657478E-6	4.091784743395814E-7	4.06959845896222E-7
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	18	7.086614173228346	9.50840761439771E-10	NONO, CDC5L, LSM5, SRRM1, SYNCRIP, LSM7, SNW1, SNRPD2, U2AF2, HNRNPF, CWC22, TRA2A, DHX38, PABPC1, PAXBP1, HNRNPA1L2, SNRPA, SF1	247	202	19308	6.965647172004649	1.2284854814526014E-6	4.091784743395814E-7	4.06959845896222E-7
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	12	4.724409448818897	1.003889767707172E-8	SYNCRIP, LSM7, SNW1, PPIL2, SNRPD2, HNRNPF, CWC22, DHX38, CDC5L, PABPC1, HNRNPA1L2, SRRM1	249	89	20562	11.134154595911737	4.005512185600857E-6	1.0013800432879042E-6	9.486758304832775E-7
