Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	178	68.72586872586872	2.2034048400466684E-135	PUS10, DBR1, POP7, POP1, RPP30, RTCA, RTCB, RRP1, FCF1, GPATCH1, HNRNPR, YARS2, RRP8, RRP9, EFTUD2, DHX57, PAPOLG, CWC22, PAPOLA, SNRPD3, MTPAP, PUS3, ABT1, SRRM2, DDX18, AQR, SCAF11, PUS1, PRPF4B, TRNT1, PUS7, CDC40, XRN1, DKC1, PSPC1, PRPF3, XRN2, MRTO4, GEMIN5, TFAM, SREK1, PPIG, SNRNP200, ZCCHC8, DDX6, DHX8, DHX9, CSTF3, UTP23, ISG20L2, NOLC1, RPF2, PRPF8, RPF1, DHX30, RNASEH1, PDCD11, ERI1, PCBP1, G3BP1, PCBP2, DHX37, GAR1, CSTF1, DHX38, UTP20, RBM10, PRPF38B, NOP14, CHTOP, CPSF7, CPSF3, CPSF2, LSM1, HARS2, LSM2, LSM7, GNL3L, LSM6, CNOT7, CNOT1, MPHOSPH10, NOL11, DHX29, CDK13, FARSB, RBM27, DDX46, DDX47, FASTKD2, WDR3, DIS3L, NAT10, ADAR, WDR46, MTO1, DUSP11, SART3, SNRNP70, DHX15, UBTF, DHX16, MRPL9, UTP14A, UPF2, WDR36, DIS3, DDX55, DDX56, RBM19, DDX51, DDX52, GNL2, UTP18, REXO4, TSN, PATL1, WDR33, MRPL44, RPUSD4, KIN, SLTM, RPUSD1, NFX1, THRAP3, RPUSD2, RBM23, TRUB1, TRUB2, SF3B2, DDX27, USP10, DDX23, MRPS31, GTPBP10, PARN, DDX20, DDX21, CSTF2T, NOL8, NOL9, MRPS30, SCAF8, EXOSC5, EXOSC10, FIP1L1, POLR2B, EXOSC9, PES1, SNRPB2, EXOSC2, SF3B1, DCAF13, EXOSC1, ABCF1, TEFM, HNRNPA0, NOP56, SF3A3, PTCD1, SSB, YTHDF2, KRR1, UTP3, DDX31, ADAT1, RRP1B, NOC3L, PUS7L, U2SURP, BYSL, RSL1D1, SNRNP40, MYBBP1A, APEX1, ESF1, PRPF31, BUD13	259	1471	18869	8.815692841525607	7.249201923753539E-133	7.271235972154005E-133	6.698350713741872E-133
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	167	64.47876447876449	5.070105516247995E-59	POP5, DBR1, POP7, CRCP, POP1, POP4, RPP30, RTCA, RTCB, FCF1, HNRNPR, CWC27, TSEN2, RRP8, RRP9, EFTUD2, CLP1, PAPOLG, ALKBH1, CWC22, NARS2, PAPOLA, SNRPD3, MTPAP, RPP38, SRRM2, AQR, SCAF11, PUS1, IMP4, THOC2, TRNT1, CDC40, PRPF4, DKC1, PSPC1, PRPF3, XRN2, GEMIN4, GEMIN5, CD2BP2, SREK1, PPIG, SNRNP200, ZCCHC8, DHX8, DHX9, CSTF3, NOLC1, RPF2, PRPF8, PDCD11, PCBP1, PCBP2, DHX37, GAR1, CSTF1, DHX38, UTP20, NOP14, CHTOP, CPSF7, SETDB1, CPSF3, CPSF2, LSM2, LSM7, GNL3L, LSM6, INTS5, MPHOSPH10, INTS7, NOL11, CDK13, INTS12, SETD2, DDX46, DDX47, TSEN15, WDR3, INTS10, NAT10, ADAR, CTDSPL2, USP39, WDR46, DUSP11, SART3, SNRNP70, DHX15, UBTF, DHX16, RIOK2, POLK, UTP14A, PRMT5, WDR36, DIS3, DDX55, RBM19, DDX52, UTP18, REXO4, TSN, WDR33, MRPL44, RPUSD4, KIN, LSG1, SLTM, POLR1A, NFX1, THRAP3, POLR1B, POLR1C, POLR1E, GTF3C2, SF3B2, SF3B3, USP10, DDX23, DDX20, DDX21, CSTF2T, NOL9, SCAF8, EXOSC5, EXOSC10, RBBP4, FIP1L1, RBBP5, POLR2B, EXOSC9, PES1, POLR2D, EXOSC8, PMS2, NUP43, SNRPB2, DCPS, EXOSC2, SF3B1, DCAF13, EXOSC1, ABCF1, HNRNPA0, NOP56, SF3A3, MBD4, UTP6, KRR1, UTP3, APEX2, RRP1B, NOC3L, U2SURP, WARS2, BYSL, SNRNP40, POLR3A, MYBBP1A, POLR3C, APEX1, POLR3D, ESF1, PRPF31, BUD13	254	3963	20562	3.4113323836034506	1.085002580477071E-56	1.085002580477071E-56	8.162869881159273E-57
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	45	17.374517374517374	2.4413013959113444E-50	POP5, POP7, DDX27, DDX47, POP4, RPP30, UTP23, RRP1, FCF1, NOLC1, DDX21, NOL8, PWP1, RRP8, RPF1, RRP9, EXOSC5, EXOSC10, PDCD11, EXOSC9, PES1, UTP20, EXOSC2, UTP14A, EXOSC1, RPP38, NOP56, NOP14, WDR36, KRR1, DIS3, DDX56, DDX51, IMP4, RRP1B, UTP18, REXO4, BYSL, MRPL44, DKC1, MRTO4, XRN2, GEMIN4, MPHOSPH10, ESF1	256	131	19308	25.908277671755727	1.6405545380524235E-47	1.638113236656512E-47	1.48919385150592E-47
GOTERM_CC_DIRECT	GO:0005730~nucleolus	90	34.74903474903475	1.4322912064974772E-40	POP5, POP7, DDX47, POP1, TSEN15, WDR3, POP4, RRP1, FCF1, NAT10, ADAR, TSEN2, PWP1, WDR46, RRP8, RRP9, DHX15, UBTF, UTP14A, METTL18, RPP38, ABT1, DDX18, WDR36, SCAF11, DDX55, RBM19, DDX56, IMP4, DDX51, DDX52, GNL2, UTP18, REXO4, NFX1, DKC1, POLR1B, XRN2, MRTO4, GEMIN4, POLR1E, DDX6, SF3B3, DDX27, DHX9, UTP23, DDX23, MRPS31, PARN, ISG20L2, GTPBP10, NOLC1, DDX21, NOL8, NOL9, RPF2, RPF1, EXOSC5, EXOSC10, PDCD11, RBBP5, ERI1, EXOSC9, PES1, EXOSC8, DHX37, UTP20, SF3B1, EXOSC2, DCAF13, EXOSC1, NOP56, UTP6, NOP14, CHTOP, UTP3, KRR1, DDX31, ELP3, RRP1B, NOC3L, BYSL, RSL1D1, LSM6, GNL3L, MYBBP1A, APEX1, MPHOSPH10, ESF1, NOL11	254	1397	20562	5.215281339653588	3.065103181904601E-38	1.5325515909523006E-38	1.1529944212304691E-38
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	40	15.444015444015443	3.0878003925701186E-34	ZCCHC8, DBR1, SF3B2, SF3B3, DDX46, DHX8, DDX23, GPATCH1, HNRNPR, USP39, CWC27, PRPF8, EFTUD2, SART3, SNRNP70, CWC22, DHX16, DHX38, SNRPB2, SNRPD3, SF3B1, RBM10, SF3A3, SRRM2, PRPF38B, AQR, RBM19, PRPF4B, CDC40, LSM2, PRPF4, SNRNP40, LSM7, LSM6, PSPC1, PRPF3, GEMIN5, PRPF31, BUD13, SNRNP200	256	202	19308	14.935024752475247	2.07500186380712E-31	1.0359570317072748E-31	9.417791197338861E-32
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	39	15.057915057915059	1.8435221994788997E-31	TRUB1, RBM27, TRUB2, SF3B2, DDX47, TSEN15, CSTF3, GPATCH1, ADAR, HNRNPR, USP39, TSEN2, PRPF8, EFTUD2, PDCD11, PAPOLG, DHX15, PAPOLA, DCPS, HNRNPA0, SF3A3, PRPF38B, SCAF11, PUS1, CPSF3, LSM1, THOC2, RRP1B, PUS7, PUS7L, RPUSD4, KIN, PRPF18, THRAP3, RPUSD2, PRPF3, XRN2, SREK1, RBM23	256	220	19308	13.370241477272728	1.2388469180498205E-28	4.123344652834472E-29	3.7484951389404294E-29
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	24	9.266409266409266	6.073531942937384E-25	DDX18, DDX6, DDX27, DDX46, DHX8, DDX47, DHX9, DDX55, DDX23, DDX56, DDX20, DDX31, DDX21, DDX51, DDX52, DHX30, DHX57, G3BP1, DHX15, DHX37, DHX16, DHX38, DHX29, SNRNP200	259	77	18869	22.707516421802136	1.998192009226399E-22	1.0021327705846683E-22	9.231768553264823E-23
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	24	9.266409266409266	2.3706150711300586E-24	SF3A3, SRRM2, ZCCHC8, SF3B2, AQR, SF3B3, DHX8, DDX23, GPATCH1, PRPF4B, HNRNPR, CWC27, PRPF8, CDC40, LSM2, EFTUD2, SNRNP40, LSM7, CWC22, DHX38, SNRPB2, SNRPD3, SNRNP200, SF3B1	254	89	20562	21.829956648677342	5.073116252218326E-22	1.6910387507394416E-22	1.2722300881731313E-22
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	32	12.355212355212355	2.6283923743940694E-24	SF3B2, SF3B3, DHX8, DDX47, DDX23, USP39, PRPF8, EFTUD2, DHX15, DHX16, SNRPD3, SF3B1, RBM10, PRPF38B, SCAF11, PUS1, LSM1, PRPF4B, THOC2, RRP1B, PUS7, RPUSD4, PRPF4, SNRNP40, LSM6, PRPF18, THRAP3, PRPF3, MPHOSPH10, PPIG, SREK1, RBM23	256	200	19308	12.067499999999999	1.7662796755928147E-21	4.409128208046051E-22	4.008298370950956E-22
GOTERM_CC_DIRECT	GO:0071005~U2-type precatalytic spliceosome	20	7.722007722007722	5.5246889917056366E-24	SF3A3, SRRM2, SF3B2, SF3B3, CWC27, PRPF8, LSM2, EFTUD2, PRPF4, LSM7, LSM6, PRPF3, CWC22, DHX16, SNRPB2, PRPF31, BUD13, SNRPD3, SNRNP200, SF3B1	254	50	20562	32.38110236220472	1.1822834442250063E-21	2.9557086105625158E-22	2.2236873191615188E-22
