Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	76	79.16666666666666	4.818085853875289E-65	PUS10, POP7, DDX46, POP1, FASTKD2, WDR3, RPP30, RTCB, GPATCH1, MTO1, YARS2, RRP9, EFTUD2, SART3, PAPOLG, CWC22, DHX15, SNRPD3, MTPAP, UTP14A, PUS3, UPF2, SRRM2, DDX18, WDR36, SCAF11, DIS3, PUS1, DDX56, PRPF4B, GNL2, UTP18, CDC40, WDR33, MRPL44, KIN, NFX1, DKC1, RPUSD2, PPIG, SNRNP200, ZCCHC8, TRUB2, DDX27, DHX8, USP10, DHX9, UTP23, DDX23, PARN, DDX21, CSTF2T, RPF2, PRPF8, SCAF8, EXOSC5, FIP1L1, CSTF1, DHX38, SF3B1, EXOSC2, DCAF13, RBM10, NOP56, NOP14, PRPF38B, CHTOP, SSB, UTP3, KRR1, ADAT1, NOC3L, BYSL, MPHOSPH10, PRPF31, CDK13	96	1471	18869	10.154968275549512	8.238926810126744E-63	8.287107668665496E-63	7.708937366200462E-63
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	71	73.95833333333334	1.5794126139851243E-31	INTS12, POP5, POP7, DDX46, POP1, WDR3, POP4, RPP30, RTCB, TSEN2, RRP9, EFTUD2, SART3, CLP1, PAPOLG, CWC22, NARS2, DHX15, POLK, SNRPD3, MTPAP, UTP14A, RPP38, SRRM2, PRMT5, WDR36, SCAF11, DIS3, PUS1, UTP18, CDC40, WDR33, MRPL44, KIN, LSG1, NFX1, DKC1, GEMIN4, PPIG, SNRNP200, ZCCHC8, GTF3C2, DHX8, USP10, DHX9, DDX23, DDX21, CSTF2T, RPF2, PRPF8, SCAF8, EXOSC5, FIP1L1, RBBP5, EXOSC8, CSTF1, DHX38, SF3B1, EXOSC2, DCAF13, NOP56, MBD4, NOP14, CHTOP, UTP3, KRR1, NOC3L, BYSL, MPHOSPH10, PRPF31, CDK13	94	3963	20562	3.918968544139675	1.958471641341554E-29	1.958471641341554E-29	1.5320302355655706E-29
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	24	25.0	7.555778036358814E-30	NOP56, POP5, NOP14, WDR36, POP7, DDX27, DIS3, KRR1, POP4, RPP30, UTP23, DDX56, DDX21, UTP18, BYSL, RRP9, MRPL44, EXOSC5, DKC1, GEMIN4, MPHOSPH10, EXOSC2, UTP14A, RPP38	96	131	19308	36.84732824427481	2.274289188944003E-27	2.2667334109076444E-27	2.0853947380350328E-27
GOTERM_CC_DIRECT	GO:0005730~nucleolus	41	42.70833333333333	1.0019817291873929E-22	POP5, POP7, DDX27, DHX9, POP1, WDR3, POP4, UTP23, DDX23, PARN, DDX21, TSEN2, RPF2, RRP9, EXOSC5, RBBP5, EXOSC8, DHX15, SF3B1, EXOSC2, UTP14A, DCAF13, METTL18, RPP38, NOP56, DDX18, NOP14, WDR36, CHTOP, SCAF11, UTP3, KRR1, DDX56, NOC3L, GNL2, UTP18, BYSL, DKC1, NFX1, GEMIN4, MPHOSPH10	94	1397	20562	6.4198510485995826	1.2424573441923672E-20	6.212286720961836E-21	4.859611386558856E-21
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	19	19.791666666666664	5.524771015565235E-18	SRRM2, ZCCHC8, PRPF38B, DDX46, DHX8, DDX23, GPATCH1, PRPF4B, PRPF8, CDC40, EFTUD2, SART3, CWC22, DHX38, PRPF31, SNRPD3, SNRNP200, SF3B1, RBM10	96	202	19308	18.91769801980198	1.6629560756851358E-15	8.287156523347853E-16	7.624184001480025E-16
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	12	12.5	1.3161442851488535E-17	NOP56, NOP14, WDR36, UTP3, KRR1, WDR3, UTP23, MPHOSPH10, UTP18, UTP14A, DCAF13, RRP9	94	39	20562	67.30605564648117	1.6320189135845783E-15	5.440063045281929E-16	4.25553318864796E-16
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	14	14.583333333333334	1.443181787675741E-16	SRRM2, ZCCHC8, DHX8, DDX23, GPATCH1, PRPF4B, PRPF8, CDC40, EFTUD2, CWC22, DHX38, SNRPD3, SNRNP200, SF3B1	94	89	20562	34.40927563949318	1.3766765505351941E-14	4.473863541794797E-15	3.499715835113672E-15
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	11	11.458333333333332	2.1322374716277145E-15	PUS3, TRUB2, POP5, PUS10, SSB, POP7, DKC1, POP1, RPP30, ADAT1, MTO1	96	38	19308	58.220394736842096	6.34936547783127E-13	2.1322374716277145E-13	1.9616584738974973E-13
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	11	11.458333333333332	5.352084986842035E-12	DDX18, DDX27, DDX46, DHX8, DHX9, DDX23, DDX56, DHX15, DDX21, DHX38, SNRNP200	96	77	18869	28.078869047619047	9.152009150525942E-10	4.60279308868415E-10	4.2816679894736283E-10
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	18	18.75	8.849137733196813E-12	SRRM2, MBD4, CHTOP, DDX46, PARN, PRPF4B, NOC3L, PRPF8, CDC40, EFTUD2, SART3, CWC22, DHX15, PRPF31, PPIG, CDK13, SF3B1, RBM10	94	432	20562	9.11436170212766	1.0972938113695818E-9	2.1945861578328097E-10	1.7167327202401816E-10
