Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	132	51.76470588235295	7.000917487842285E-79	POP1, RTCA, RRP1, BCCIP, C1ORF131, GPATCH4, YARS2, RRP9, CCAR1, MAGOH, CWC22, MTERF1, SNRPD3, MTPAP, PUS3, ABT1, DDX18, SCAF11, PUS1, WDR75, PRPF4B, CDC40, DKC1, PSPC1, GRWD1, RPL7L1, PRPF3, MRTO4, TFAM, PPIG, SRSF7, DAP3, ZCCHC8, DHX9, UTP23, GTF2E2, LARP1, TPR, G3BP1, CSTF1, ZC3H18, SURF6, ZC3H15, TOE1, HSPA9, CHTOP, API5, XRCC5, CPSF2, LSM1, EIF2S1, LSM2, CCT6A, LSM7, CNOT7, CNOT1, MPHOSPH10, NOL11, FARSB, DAZAP1, FASTKD2, MRPS12, NAT10, KRI1, AATF, MTO1, WDR43, SART3, MRPL40, SNRNP70, XPO5, DHX15, UBTF, NELFCD, MRPL9, UPF2, WDR36, RBM14, DIS3, DDX55, DDX56, RBM19, DDX52, PPRC1, MRPL45, GNL2, UTP18, REXO4, MRPS5, MRPL44, GNL3, KIN, SLTM, NFX1, RPUSD2, DDX27, USP10, SRSF1, DDX23, MRPS31, AKAP8, GTPBP10, DDX20, NOL8, EXOSC5, FIP1L1, POLR2B, BMS1, PES1, EXOSC2, SF3B1, EXOSC1, ABCF1, TEFM, NOP56, YTHDF1, SSB, YTHDF2, KRR1, UTP3, CCDC59, DDX31, RRP1B, NOC3L, BYSL, RSL1D1, PHF5A, MYBBP1A, APEX1, ESF1, PRPF31, RBMX	249	1471	18869	6.800029485719903	2.408315615817746E-76	2.4153165333055884E-76	2.233292678621689E-76
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	147	57.647058823529406	1.3248597441878325E-43	POP5, POP1, POP4, PDCD6, RTCA, BCCIP, EHMT1, RRP9, CCAR1, ALKBH2, CLP1, ALKBH1, MAGOH, CWC22, NARS2, SNRPD3, MTPAP, RPP38, SCAF11, PUS1, MRPS18B, WDR75, LIG3, MED6, CDC40, DKC1, PSPC1, GRWD1, PRPF3, GEMIN4, CD2BP2, ANAPC5, PPIG, SRSF7, DAP3, ZCCHC8, POM121, DHX9, CTR9, ZNF24, GTF2E1, GTF2E2, TPR, CSTF1, SURF6, NUP88, TOE1, CHTOP, ZBTB14, XRCC5, VTA1, CPSF2, LSM2, LSM7, TFCP2, MPHOSPH10, RAD17, INTS7, NOL11, DAZAP1, NAT10, CTCF, AATF, WDR43, MED17, COIL, SART3, NOB1, SNRNP70, XPO5, DHX15, UBTF, NELFCD, GABPA, METTL17, PRMT5, WDR36, RBM14, TBP, EED, DIS3, ZNF480, NCOA3, DDX55, RBM19, DDX52, PLRG1, PPRC1, SENP3, UTP18, REXO4, TTI2, MRPL44, MED23, KIN, LSG1, SLTM, NFX1, POLR1B, MED20, POLR1C, POLR1E, GTF3C2, USP10, SRSF1, DDX23, AKAP8, DDX20, SDAD1, RXRB, EXOSC5, DCAF17, RBBP4, FIP1L1, RBBP5, POLR2B, BMS1, PES1, POLR2D, NUP43, POLR2H, BUB3, EXOSC2, SF3B1, EXOSC1, ABCF1, NOP56, MBD4, UTP6, KRR1, USP21, UTP3, CCDC59, APEX2, RRP1B, NOC3L, DHODH, BYSL, RAD50, PHF5A, MYBBP1A, POLR3C, APEX1, TTC4, ESF1, PRPF31, RBMX	249	3963	20562	3.0630865627536643	3.537375516981513E-41	3.537375516981513E-41	2.901442839771353E-41
GOTERM_CC_DIRECT	GO:0005730~nucleolus	84	32.94117647058823	4.706891294601228E-36	POP5, POP1, POP4, PAK1IP1, RRP1, NAT10, GPATCH4, CTCF, KRI1, AATF, PWP1, WDR43, RRP9, COIL, ALKBH2, MRPL40, C1QBP, DHX15, UBTF, METTL18, RPP38, ABT1, DDX18, WDR36, RBM14, SCAF11, DDX55, RBM19, DDX56, WDR75, URB2, DDX52, GNL2, UTP18, SENP3, REXO4, GNL3, NFX1, DKC1, RPL7L1, GRWD1, POLR1B, MRTO4, GEMIN4, POLR1E, DDX27, DHX9, UTP23, DDX23, MRPS31, AKAP8, GTPBP10, NOL8, SDAD1, DCAF17, EXOSC5, RBBP5, PES1, BMS1, SURF6, SF3B1, EXOSC2, EXOSC1, NOP56, HSPA9, TOE1, UTP6, CHTOP, ZBTB14, UTP3, KRR1, XRCC5, DDX31, ELP3, RRP1B, NOC3L, BYSL, RSL1D1, MYBBP1A, APEX1, MPHOSPH10, ESF1, RAD17, NOL11	249	1397	20562	4.9653388069098146	1.2567399756585278E-33	6.283699878292639E-34	5.154045967588344E-34
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	31	12.156862745098039	2.840885389720044E-29	POP5, DDX27, POP4, UTP23, RRP1, NOL8, PWP1, WDR43, RRP9, EXOSC5, NOB1, PES1, EXOSC2, EXOSC1, RPP38, NOP56, WDR36, KRR1, DIS3, DDX56, WDR75, RRP1B, UTP18, REXO4, BYSL, MRPL44, DKC1, MRTO4, GEMIN4, MPHOSPH10, ESF1	248	131	19308	18.423664122137406	2.4232752374311978E-26	2.4204343520414777E-26	2.321003363401276E-26
GOTERM_CC_DIRECT	GO:0005634~nucleus	135	52.94117647058824	9.000778108192315E-17	ZNF691, POP4, PDCD6, RTCA, RRP1, BCCIP, EHMT1, PWP1, CCAR1, ALKBH2, ZSCAN30, CLP1, ALKBH1, MAGOH, CWC22, SNRPD3, PUS3, ABT1, PUS1, LIG3, PRPF4B, MED6, DKC1, PSPC1, GRWD1, PRPF3, TFAM, CD2BP2, ANAPC5, PPIG, SRSF7, ZCCHC8, TXNDC9, DHX9, ZNF24, GTF2E1, NUP160, ZNHIT6, FIGNL1, TPR, G3BP1, ZC3H15, CHTOP, ZBTB14, API5, XRCC5, LSM1, EIF2S1, LSM2, LSM7, TFCP2, CNOT7, CNOT1, RAD17, INTS7, DAZAP1, NAT10, CTCF, AATF, MED18, MED17, COIL, SART3, METTL13, MRPL40, SNRNP70, C1QBP, XPO5, DHX15, UBTF, NELFCD, METTL18, GABPA, UPF2, PRMT5, RBM14, TBP, EED, DIS3, ZNF480, NCOA3, PLRG1, PPRC1, GNL2, SENP3, UTP18, REXO4, TTI2, MRPL44, TTI1, GNL3, MED23, KIN, SLTM, NFX1, POLR1B, MED20, POLR1C, DTYMK, ZNF195, USP10, SRSF1, MIS12, DDX23, AKAP8, DDX20, RXRB, EXOSC5, RBBP4, RBBP5, POLR2B, POLR2D, POLR2H, EXOSC2, SF3B1, PMS1, EXOSC1, MBD4, SSB, YTHDF2, UTP3, DDX31, APEX2, ELP3, RRP1B, ZNF79, ELP6, RAD50, PHF5A, MYBBP1A, APEX1, TTC4, PRPF31, PDCD2, RBMX	249	5984	20562	1.8629799948456927	2.964295475749168E-14	8.01069251629116E-15	6.57056801898039E-15
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	33	12.941176470588237	1.800756466874859E-16	GTF2H2C, SRSF1, CTR9, GTF2E2, SART3, SNRNP70, MAGOH, CWC22, POLR2D, DHX15, ZC3H18, NUP43, SF3B1, TOE1, MBD4, RBM14, CHTOP, API5, RBM19, PRPF4B, PLRG1, NOC3L, REXO4, CDC40, PHF5A, CNOT7, PSPC1, APEX1, PRPF3, CD2BP2, PRPF31, PPIG, SRSF7	249	432	20562	6.308065595716199	5.928590951498336E-14	1.2020049416389683E-14	9.859141656139853E-15
GOTERM_CC_DIRECT	GO:0005694~chromosome	24	9.411764705882353	7.641599966560434E-14	DDX18, UTP6, DDX27, EED, KRR1, RBM19, RRP1, GTPBP10, EHMT1, NOL8, C1ORF131, PRPF4B, RRP1B, PWP1, BYSL, GNL3, RSL1D1, POLR1B, PES1, BMS1, GRWD1, SURF6, MPHOSPH10, INTS7	249	256	20562	7.741716867469879	2.0394352873154276E-11	4.080614382143272E-12	3.34702078535347E-12
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	22	8.627450980392156	1.662413823094327E-13	ZCCHC8, RBM14, DDX23, RBM19, SRSF1, PRPF4B, PLRG1, CDC40, LSM2, LSM7, SART3, PHF5A, SNRNP70, PSPC1, PRPF3, CWC22, MAGOH, PRPF31, SNRPD3, SRSF7, RBMX, SF3B1	248	202	19308	8.479239859469818	1.417689299287872E-10	7.081882886381833E-11	6.790960467340326E-11
GOTERM_MF_DIRECT	GO:0005515~protein binding	216	84.70588235294117	2.503895250485839E-13	POP5, POP1, POP4, RRP1, EHMT1, GPATCH4, RRP9, CCAR1, ALKBH2, ZSCAN30, CLP1, FLAD1, MAGOH, MTERF1, SNRPD3, SEPHS1, ABT1, DDX18, SCAF11, COG2, MRPS18B, CDC40, MED6, GRWD1, CD2BP2, TFAM, POM121, DHX9, CTR9, ZNF24, CIAO1, BLOC1S4, LARP1, ZNHIT6, FIGNL1, CSTF1, SURF6, NUP88, ATG5, TOE1, MTERF3, XRCC5, TGDS, PAICS, CCT6A, RAD17, MPHOSPH10, INTS7, NOL11, FARSB, DAZAP1, GTF2H2C, FASTKD2, PAK1IP1, MRPS12, NAT10, MRPL36, CTCF, AATF, SMG8, MED18, WDR43, MED17, COIL, MRPL40, C1QBP, XPO5, DHX15, NELFCD, GABPA, UPF2, PRMT5, ZNF480, NCOA3, PRMT3, MRPL49, MRPL45, MRPL44, PDRG1, GNL3, MED23, KIN, SLTM, NFX1, PTRH2, MED20, LRRC14, MIS12, MRPS31, AKAP8, NOL8, RXRB, EXOSC5, PES1, EXOSC2, SF3B1, PMS1, EXOSC1, CCT5, TEFM, MBD4, UTP6, YTHDF1, YTHDF2, UTP3, APEX2, ELP3, RRP1B, TTC9C, ZNF79, BYSL, LYRM2, PHF5A, TTC4, APEX1, AGGF1, PRPF31, ZNF691, PDCD6, BCCIP, YARS2, CWC22, MTPAP, RPP38, PRPF4B, LIG3, GPANK1, POLG2, DKC1, PSPC1, RPL7L1, PRPF3, MRTO4, GEMIN4, PPIG, SRSF7, DAP3, ZCCHC8, TXNDC9, UTP23, GTF2E1, NUP160, GTF2E2, DPP3, TPR, G3BP1, ZC3H18, ZC3H15, HSPA9, CHTOP, ZBTB14, API5, VTA1, CPSF2, LSM1, EIF2S1, LSM2, LSM7, CNOT7, TFCP2, CNOT1, TBCE, SCYL3, SART3, METTL13, NOB1, SNRNP70, UBTF, MRPL9, EIF2B1, METTL18, METTL17, RBM14, TBP, EED, DIS3, DDX55, DDX56, PLRG1, QRSL1, SENP3, REXO4, TTI1, POLR1B, POLR1C, POLR1E, GTF3C2, DDX27, USP10, DDX23, SRSF1, GTPBP10, DDX20, DCAF17, FIP1L1, RBBP4, ASTE1, RBBP5, POLR2B, POLR2D, NUP43, BUB3, ABCF1, NOP56, SLC35A4, SSB, KRR1, USP21, CCDC59, DDX31, DHODH, RAD50, POLR3C, PDCD2, RBMX, SEC24C	249	12554	18869	1.3038305844054887	8.612222046622264E-11	4.3192193070880726E-11	3.9937129245249135E-11
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	11	4.313725490196078	5.922394507148138E-11	NOP56, MYBBP1A, PES1, GRWD1, GTPBP10, DDX31, MRPL36, URB2, GNL2, AATF, BYSL	248	40	19308	21.41008064516129	5.0518035865643185E-8	1.6819600400300713E-8	1.612865437446676E-8
