Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	132	50.965250965250966	2.6729773445604054E-78	DBR1, POP1, RRP1, BCCIP, YARS2, RRP9, CCAR1, SNRPD1, CWC22, SNRPD3, NOM1, DDX18, IMP3, WDR75, GTPBP4, DKC1, GRWD1, NCL, RPL7L1, MRTO4, SNRPG, GEMIN5, TFAM, SRFBP1, SNRPE, PPIG, UTP23, NOLC1, RPF2, PRPF8, NOP9, MTDH, LARP1, RNASEH1, DHX33, PDCD11, G3BP1, GAR1, CSTF1, BRIX1, ZBED4, PNPT1, NOP16, PNO1, KNOP1, LSM5, EIF2S2, EIF2S1, CCT6A, CNOT7, SON, MPHOSPH10, NOL10, NOL11, RBM27, FASTKD2, WDR3, NAT10, ELAVL1, WDR43, MRPL42, MRPL3, SYNCRIP, SART3, XPO5, DHX15, MRPL9, UTP15, WDR36, NCBP1, DIS3, NCBP2, PRMT1, DDX52, GNL2, REXO4, MRPL44, GNL3, DNAJC2, RPUSD2, HDAC2, NUFIP1, MRPS35, NIP7, MAK16, HEATR1, GTPBP10, DDX20, NOL8, MTIF2, MRPS30, TCOF1, SRP72, EXOSC9, BMS1, PES1, PPP1R8, RBBP6, SNRPB2, ASCC3, EXOSC2, DCAF13, NOP56, SF3A3, SMARCE1, NOP58, SSB, TAF15, YTHDF2, NIFK, KRR1, UTP3, CCDC59, RRP1B, NOC3L, SSRP1, BYSL, RSL1D1, SEC23IP, PHF5A, MYBBP1A, MFAP1, APEX1, EIF3I, SERBP1, ESF1, TSR1, PRPF31, NAA15, SSBP1, RAN, METAP2	251	1471	18869	6.745845983841655	9.16831229184219E-76	9.195042065287795E-76	8.339689315028465E-76
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	150	57.91505791505791	2.1182068376135636E-45	LTV1, DBR1, POP1, BCCIP, RRP9, CCAR1, CDC23, SNRPD1, CWC22, NARS2, LONP1, SNRPD3, MED1, ESCO1, CSNK2A1, IMP3, WDR75, IMP4, THOC2, GTPBP4, MED6, PRPF4, SHQ1, DKC1, GRWD1, NCL, SNRPG, GEMIN5, GEMIN6, SNRPE, PPIG, ANAPC1, SET, CTR9, NOLC1, BRCC3, RPF2, PDS5A, PRPF8, RPAP2, DHX33, PDCD11, GAR1, CSTF1, ZBED4, NOP16, PNO1, SMARCA5, DNAJC11, LSM5, GPN1, PALB2, ZBTB6, TFCP2, MPHOSPH10, RAD17, INTS7, NOL11, ATR, WDR3, NAT10, CTDSPL2, TRIAP1, ELAVL1, WDR43, COIL, SYNCRIP, SART3, NOB1, XPO4, XPO5, CHAMP1, DHX15, RIOK2, RIOK1, POLK, UTP15, WDR36, DFFA, NCBP1, DIS3, NCBP2, PRMT1, TEX10, DDX52, PLRG1, BAZ1B, REXO4, MRPL44, DNAJC2, LSG1, POLR1A, POLR1B, POLR1C, DCTN5, GTF3C2, GTF3C3, HDAC2, USP16, GTF3C4, NUFIP1, SF3B3, NIP7, HEATR1, TAF9, DDX20, MTIF2, SDAD1, TMA16, WRN, TCOF1, RBBP4, EXOSC9, BMS1, PES1, POLR2D, PPP1R8, LEO1, NUP43, SNRPB2, CCT8, ASCC3, EXOSC2, DCAF13, NOP56, SF3A3, SMARCE1, UTP6, NOP58, TAF15, NIFK, KRR1, UTP3, CCDC59, RRP1B, NOC3L, SSRP1, GTF2H3, WDR12, BYSL, RAD50, PHF5A, MYBBP1A, MFAP1, APEX1, ESF1, TSR1, PRPF31, RAN, TAF2	251	3963	20562	3.1006933658251175	6.16398189745547E-43	6.16398189745547E-43	4.99896813676801E-43
GOTERM_CC_DIRECT	GO:0005730~nucleolus	87	33.59073359073359	2.273048786602408E-38	POP1, WDR3, PAK1IP1, RRP1, NAT10, PWP1, WDR43, RRP9, COIL, C1QBP, DHX15, UTP15, NOM1, DDX18, MED1, WDR36, IMP3, TEX10, WDR75, IMP4, URB2, DDX52, GNL2, BAZ1B, GTPBP4, REXO4, GNL3, DNAJC2, DKC1, RPL7L1, GRWD1, POLR1B, NCL, MRTO4, AGPS, GTF3C3, SF3B3, NUFIP1, NIP7, MAK16, UTP23, HEATR1, GTPBP10, NOLC1, NOL8, RPF2, SDAD1, RPAP2, NOP9, TMA16, WRN, TCOF1, PDCD11, DHX33, EXOSC9, PES1, BMS1, BRIX1, RBBP6, EXOSC2, DCAF13, ZNF146, NOP56, UTP6, NOP58, NIFK, NOP16, PNO1, UTP3, KRR1, SMARCA5, KNOP1, RRP1B, NOC3L, SSRP1, WDR12, BYSL, RSL1D1, MYBBP1A, APEX1, TSR1, MPHOSPH10, ESF1, RAD17, NOL10, NOL11, RAN	251	1397	20562	5.101694866917441	6.614571969013008E-36	3.307285984506504E-36	2.6821975681908414E-36
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	31	11.96911196911197	1.954019216375105E-29	UTP23, HEATR1, RRP1, NOLC1, NOL8, PWP1, WDR43, RRP9, PDCD11, NOB1, EXOSC9, PES1, BRIX1, EXOSC2, NOP56, UTP15, NOP58, WDR36, KRR1, IMP3, DIS3, WDR75, IMP4, RRP1B, REXO4, BYSL, MRPL44, DKC1, MRTO4, MPHOSPH10, ESF1	245	131	19308	18.64926000934725	1.8465481594744743E-26	1.8445941402580992E-26	1.7547092563048443E-26
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	16	6.177606177606178	2.3427002433067814E-19	NOP56, UTP6, NOP58, WDR36, IMP3, UTP3, KRR1, WDR3, UTP23, HEATR1, IMP4, RRP9, PDCD11, MPHOSPH10, NOL10, DCAF13	251	39	20562	33.60833588722035	6.817257708022734E-17	2.272419236007578E-17	1.842924191401335E-17
GOTERM_CC_DIRECT	GO:0005694~chromosome	28	10.81081081081081	8.766914735761964E-18	RRP1, GTPBP10, NOL8, PDS5A, RPF2, PWP1, WRN, PES1, BMS1, BRIX1, RBBP6, DDX18, UTP6, NIFK, ESCO1, KRR1, SSRP1, RRP1B, BYSL, GNL3, RSL1D1, POLR1A, POLR1B, NCL, GRWD1, MPHOSPH10, INTS7, ATR	251	256	20562	8.960034860557768	2.5511721881067315E-15	6.377930470266829E-16	5.172479694099559E-16
GOTERM_CC_DIRECT	GO:0071005~U2-type precatalytic spliceosome	15	5.7915057915057915	6.614984214812695E-16	SF3A3, SF3B3, LSM5, PRPF8, SMU1, PRPF4, PHF5A, MFAP1, SNRPD1, CWC22, SNRPG, SNRPB2, PRPF31, SNRPE, SNRPD3	251	50	20562	24.57609561752988	1.9384494009955233E-13	3.8499208130209883E-14	3.122272549391592E-14
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	23	8.880308880308881	1.2595537173012938E-14	SF3A3, DBR1, SF3B3, NCBP1, NCBP2, PLRG1, LSM5, PRPF8, SMU1, PRPF4, SYNCRIP, SART3, PHF5A, MFAP1, SNRPD1, CWC22, SNRPG, GEMIN5, SNRPB2, PRPF31, SNRPE, GEMIN6, SNRPD3	245	202	19308	8.973206708425945	1.1855516568459734E-11	5.945093545662107E-12	5.6553961906828086E-12
GOTERM_CC_DIRECT	GO:0005634~nucleus	130	50.19305019305019	5.256287621121251E-14	LTV1, DBR1, RRP1, BCCIP, PWP1, FBXO22, CCAR1, SNRPD1, CWC22, SNRPD3, MED1, ESCO1, CSNK2A1, IMP3, GTPBP4, MED6, DPM1, PRPF4, NIF3L1, RFX7, DKC1, GRWD1, NCL, SNRPG, GEMIN5, TFAM, SRFBP1, GEMIN6, SNRPE, ADNP, PPIG, SET, DCUN1D5, BRCC3, PDS5A, PRPF8, RPAP2, NUP160, MTDH, DHX33, PDCD11, FIGNL1, G3BP1, ZNF146, ZBED4, PNPT1, SMARCA5, LSM5, GPN1, PALB2, EIF2S1, AIMP1, SMU1, ZBTB6, TFCP2, CNOT7, RAD17, INTS7, ATR, RBM27, NAT10, TRIAP1, ELAVL1, COIL, SYNCRIP, SART3, METTL13, XPO4, C1QBP, XPO5, CHAMP1, DHX15, RIOK2, POLK, DFFA, NCBP1, DIS3, NCBP2, PRMT1, TEX10, PLRG1, GNL2, REXO4, MRPL44, GNL3, DNAJC2, POLR1A, POLR1B, POLR1C, USP14, HDAC2, USP16, NUFIP1, SF3B3, TAF9, DDX20, HSPA14, TMA16, WRN, RBBP4, EXOSC9, POLR2D, PPP1R8, LEO1, RBBP6, SNRPB2, ASCC3, EXOSC2, SF3A3, SMARCE1, SSB, TAF15, YTHDF2, UTP3, RRP1B, SSRP1, GTF2H3, RAD50, PHF5A, MYBBP1A, MFAP1, APEX1, SERBP1, TSR1, PRPF31, PDCD2, NAA15, SSBP1, RAN, TAF2	251	5984	20562	1.7796860685599845	1.5281442777848042E-11	2.5492994962438065E-12	2.067473130974359E-12
GOTERM_CC_DIRECT	GO:0001650~fibrillar center	19	7.335907335907336	3.109919985954326E-13	NOP56, UTP15, NOP58, NUFIP1, HEATR1, SMARCA5, NOLC1, IMP4, PLRG1, WDR43, MTDH, COIL, TCOF1, DKC1, POLR1B, POLR1C, LEO1, GAR1, SNRPB2	251	149	20562	10.44621513944223	9.049327953647435E-11	1.292838165589584E-11	1.0484873095503156E-11
GOTERM_BP_DIRECT	GO:0030490~maturation of SSU-rRNA	10	3.861003861003861	5.869087242214486E-13	NOB1, IMP3, WDR3, MPHOSPH10, SRFBP1, RIOK2, IMP4, DDX52, RIOK1, NOL11	245	19	19308	41.47798066595058	5.545863768219306E-10	1.8468061188834917E-10	1.7568134478362028E-10
GOTERM_MF_DIRECT	GO:0030515~snoRNA binding	10	3.861003861003861	8.966439366755579E-13	NOP56, NOP58, UTP6, NUFIP1, IMP3, WDR3, HEATR1, IMP4, RRP9, BYSL	251	19	18869	39.56594673935836	3.075393273377358E-10	1.5422275710819594E-10	1.3987645412138702E-10
