Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	183	71.20622568093385	8.218985727361402E-144	PUS10, DBR1, POP7, POP1, RPP30, RTCA, RTCB, RRP1, FCF1, GPATCH1, HNRNPR, YARS2, RRP8, RRP9, EFTUD2, DHX57, PAPOLG, CWC22, PAPOLA, SNRPD3, MTPAP, PUS3, DDX17, SRRM2, DDX18, AQR, SCAF11, PUS1, DNTTIP2, PRPF4B, TRNT1, PUS7, GTPBP4, CDC40, XRN1, DDX39B, DKC1, PSPC1, PRPF3, GEMIN5, SREK1, PPIG, SNRNP200, DUS3L, ZCCHC8, DDX6, DHX8, DHX9, PRKDC, CSTF3, UTP23, ISG20L2, NOLC1, RPF2, PRPF8, RPF1, DHX30, RNASEH1, PDCD11, G3BP1, PCBP2, DHX37, GAR1, CSTF1, DHX38, UTP20, RBM10, PRPF38B, NOP14, CHTOP, CPSF7, CPSF6, CPSF3, CPSF2, LSM1, HARS2, LSM2, CCT6A, HNRNPM, LSM7, LSM6, CNOT7, SON, CNOT1, MPHOSPH10, NOL11, DHX29, CDK13, FARSB, RBM27, DDX46, DDX47, FASTKD2, WDR3, DIS3L, NAT10, WDR46, MTO1, DUSP11, SART3, SNRNP70, DHX15, UBTF, DHX16, MRPL9, UTP14A, UPF2, WDR36, DIS3, DDX55, DDX56, RBM19, DDX51, PRPF40A, DDX52, GNL2, UTP18, REXO4, TSN, PATL1, WDR33, MRPL44, KIN, SLTM, NFX1, THRAP3, RPUSD2, LUC7L3, HNRNPH3, TRUB1, TRUB2, SF3B2, DDX27, USP10, DDX23, MRPS31, AKAP8, GTPBP10, PARN, DDX20, DDX21, CSTF2T, NOL8, NOL9, SCAF8, EXOSC5, EXOSC10, FIP1L1, POLR2B, EXOSC9, PES1, RRP36, DROSHA, SNRPB2, EXOSC2, SF3B1, DCAF13, EXOSC1, ABCF1, TEFM, HNRNPA0, NOP56, SF3A3, PTCD1, SSB, YTHDF2, KRR1, UTP3, DDX31, ADAT1, RRP1B, NOC3L, PUS7L, U2SURP, BYSL, NUDT21, RSL1D1, SNRNP40, MYBBP1A, APEX1, ESF1, PRPF31, BUD13	257	1471	18869	9.133856372355819	2.6547323899377326E-141	2.6629513756650944E-141	2.4574767324810593E-141
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	175	68.09338521400778	1.2962671334753409E-66	POP5, DBR1, POP7, POP1, POP4, RPP30, RTCA, RTCB, FCF1, HNRNPR, CWC27, TSEN2, RRP8, RRP9, EDC4, EFTUD2, CLP1, PAPOLG, ALKBH1, CWC22, NARS2, PAPOLA, SNRPD3, MTPAP, RPP38, DDX17, SRRM2, AQR, SCAF11, PUS1, DNTTIP2, IMP4, THOC2, TRNT1, GTPBP4, CDC40, PRPF4, DDX39B, DKC1, PSPC1, PRPF3, GEMIN4, GEMIN5, CD2BP2, SREK1, PPIG, SNRNP200, ZCCHC8, DHX8, DHX9, PRKDC, CSTF3, NOLC1, RPF2, PRPF8, OSGEP, PDCD11, PCBP2, DHX37, GAR1, CSTF1, DHX38, UTP20, NOP14, CHTOP, CPSF7, CPSF6, SETDB1, CPSF3, CPSF2, LSM2, HNRNPM, LSM7, LSM6, INTS5, MPHOSPH10, INTS7, NOL11, CDK13, INTS8, INTS12, SETD2, DDX46, DDX47, TSEN15, WDR3, INTS10, NAT10, CTDSPL2, USP39, WDR46, DUSP11, SART3, SNRNP70, DHX15, UBTF, DHX16, RIOK2, POLK, UTP14A, METTL17, PRMT5, WDR36, DIS3, DDX55, RBM19, PRPF40A, DDX52, UTP18, REXO4, TSN, WDR33, MRPL44, KIN, LSG1, SLTM, POLR1A, NFX1, THRAP3, POLR1B, POLR1C, LUC7L3, POLR1E, HNRNPH3, GTF3C2, SF3B2, SF3B3, USP10, DDX23, AKAP8, DDX20, DDX21, CSTF2T, NOL9, SCAF8, EXOSC5, EXOSC10, RBBP4, FIP1L1, RBBP5, POLR2B, EXOSC9, PES1, EXOSC8, PMS2, RRP36, DROSHA, SNRPB2, EXOSC2, SF3B1, DCAF13, EXOSC1, ABCF1, HNRNPA0, NOP56, SF3A3, MBD4, UTP6, KRR1, UTP3, APEX2, RRP1B, NOC3L, U2SURP, BYSL, NUDT21, SNRNP40, POLR3A, MYBBP1A, POLR3C, APEX1, POLR3D, ESF1, PRPF31, BUD13	254	3963	20562	3.5747495037760704	2.7999370083067362E-64	2.7999370083067362E-64	2.0481020708910385E-64
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	46	17.898832684824903	4.343658600854605E-52	POP5, POP7, DDX27, DDX47, POP4, RPP30, UTP23, RRP1, FCF1, NOLC1, DDX21, NOL8, PWP1, RRP8, RPF1, RRP9, EXOSC5, EXOSC10, PDCD11, EXOSC9, PES1, RRP36, DROSHA, UTP20, EXOSC2, UTP14A, EXOSC1, RPP38, DDX17, NOP56, NOP14, WDR36, KRR1, DIS3, DDX56, DDX51, IMP4, RRP1B, UTP18, REXO4, BYSL, MRPL44, DKC1, GEMIN4, MPHOSPH10, ESF1	255	131	19308	26.587876066457117	3.049248337799933E-49	3.0449046791990782E-49	2.771254187345238E-49
GOTERM_CC_DIRECT	GO:0005730~nucleolus	91	35.40856031128405	1.7965573875147762E-41	POP5, POP7, DDX47, POP1, TSEN15, WDR3, POP4, RRP1, FCF1, NAT10, TSEN2, PWP1, WDR46, RRP8, RRP9, DHX15, UBTF, UTP14A, METTL18, RPP38, DDX17, DDX18, WDR36, SCAF11, DDX55, RBM19, DDX56, DNTTIP2, IMP4, DDX51, DDX52, GNL2, UTP18, GTPBP4, REXO4, NFX1, DKC1, POLR1B, GEMIN4, POLR1E, DDX6, SF3B3, DDX27, PRKDC, DHX9, UTP23, DDX23, MRPS31, AKAP8, PARN, ISG20L2, GTPBP10, NOLC1, DDX21, NOL8, NOL9, RPF2, RPF1, EXOSC5, EXOSC10, PDCD11, RBBP5, EXOSC9, PES1, EXOSC8, DHX37, RRP36, DROSHA, UTP20, SF3B1, EXOSC2, DCAF13, EXOSC1, NOP56, UTP6, NOP14, CHTOP, UTP3, KRR1, DDX31, RRP1B, NOC3L, BYSL, RSL1D1, HNRNPM, LSM6, MYBBP1A, APEX1, MPHOSPH10, ESF1, NOL11	254	1397	20562	5.273228910094184	3.8805639570319167E-39	1.9402819785159583E-39	1.4192803361366732E-39
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	44	17.120622568093385	9.878679923003674E-40	ZCCHC8, DBR1, SF3B2, SF3B3, DDX46, DHX8, DDX23, GPATCH1, HNRNPR, USP39, CWC27, PRPF8, EFTUD2, SART3, SNRNP70, CWC22, DHX16, DHX38, SNRPB2, SNRPD3, SF3B1, RBM10, SF3A3, SRRM2, PRPF38B, AQR, RBM19, PRPF4B, PRPF40A, CDC40, LSM2, PRPF4, HNRNPM, SNRNP40, LSM7, LSM6, DDX39B, PSPC1, PRPF3, GEMIN5, PRPF31, BUD13, HNRNPH3, SNRNP200	255	202	19308	16.492952824694235	6.934833305948579E-37	3.4624773130127877E-37	3.151298895438172E-37
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	39	15.17509727626459	1.5839306331804214E-31	TRUB1, RBM27, TRUB2, SF3B2, DDX47, TSEN15, CSTF3, GPATCH1, HNRNPR, USP39, TSEN2, PRPF8, EFTUD2, PDCD11, PAPOLG, DHX15, PAPOLA, HNRNPA0, SF3A3, PRPF38B, CPSF6, SCAF11, PUS1, CPSF3, LSM1, THOC2, RRP1B, PUS7, PUS7L, PAN2, KIN, NUDT21, PRPF18, SON, THRAP3, RPUSD2, PRPF3, SREK1, DUS3L	255	220	19308	13.422673796791445	1.1119193044926559E-28	3.701117912864918E-29	3.3684924798970293E-29
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	26	10.116731517509727	3.792091707501516E-28	DDX6, DDX27, DDX46, DHX8, DDX47, DHX9, DDX23, DDX20, DDX21, DHX30, DHX57, G3BP1, DHX15, DHX37, DHX16, DHX38, DDX17, DDX18, DDX55, DDX56, DDX31, DDX51, DDX52, DDX39B, DHX29, SNRNP200	257	77	18869	24.791247662842995	1.2248456215229898E-25	6.143188566152456E-26	5.669177102714767E-26
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	45	17.509727626459142	1.1661804544859584E-27	RBM27, SF3B2, DDX46, PARN, PRPF8, OSGEP, DUSP11, EFTUD2, SART3, SNRNP70, CWC22, DHX15, SNRPB2, SF3B1, RBM10, SF3A3, DDX17, SRRM2, MBD4, CHTOP, CPSF6, RBM19, PRPF4B, PRPF40A, THOC2, NOC3L, REXO4, PATL1, CDC40, PRPF4, SNRNP40, PRPF18, CNOT7, SON, DDX39B, PSPC1, THRAP3, APEX1, PRPF3, LUC7L3, CD2BP2, PRPF31, PPIG, SREK1, CDK13	254	432	20562	8.43257874015748	2.51894978168967E-25	8.3964992722989E-26	6.14188372695938E-26
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	34	13.229571984435799	8.692689121316806E-27	SF3B2, SF3B3, DHX8, DDX47, DDX23, USP39, PRPF8, EFTUD2, DHX15, DHX16, SNRPD3, SF3B1, RBM10, PRPF38B, SCAF11, PUS1, LSM1, PRPF4B, THOC2, RRP1B, PUS7, PRPF4, SNRNP40, LSM6, PRPF18, SON, DDX39B, THRAP3, PRPF3, MPHOSPH10, LUC7L3, PPIG, SREK1, HNRNPH3	255	200	19308	12.872	6.1022677631643985E-24	1.5233937685107703E-24	1.3864839148500306E-24
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	28	10.894941634241246	3.19608171921694E-26	SF3B2, SF3B3, DDX46, DHX8, HNRNPR, USP39, PRPF8, EFTUD2, SNRNP70, CWC22, DHX15, DHX16, DHX38, SNRPB2, SNRPD3, SF3B1, SF3A3, AQR, PRPF4, HNRNPM, PRPF18, DDX39B, PRPF3, PRPF31, BUD13, SREK1, HNRNPH3, SNRNP200	254	124	20562	18.27965455930912	6.90353651350859E-24	1.7258841283771477E-24	1.2624522790906913E-24
