Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	78	80.41237113402062	9.435164466351037E-68	PUS10, DBR1, POP7, DDX46, POP1, FASTKD2, WDR3, RPP30, RTCB, GPATCH1, MTO1, YARS2, RRP9, EFTUD2, SART3, PAPOLG, CWC22, DHX15, DHX16, SNRPD3, MTPAP, PUS3, UPF2, SRRM2, DDX18, WDR36, SCAF11, DIS3, PUS1, DDX56, PRPF4B, GNL2, UTP18, WDR33, MRPL44, NFX1, DKC1, RPUSD2, PPIG, SNRNP200, ZCCHC8, TRUB2, DDX6, DDX27, DHX8, USP10, UTP23, DDX23, PARN, DDX20, DDX21, CSTF2T, PRPF8, DHX30, SCAF8, EXOSC5, EXOSC10, FIP1L1, EXOSC9, CSTF1, DHX38, SF3B1, EXOSC2, DCAF13, RBM10, NOP56, NOP14, PRPF38B, CHTOP, SSB, UTP3, KRR1, ADAT1, NOC3L, HARS2, BYSL, PRPF31, CDK13	97	1471	18869	10.314758877823488	1.4530153278180598E-65	1.4624504922844108E-65	1.3397933542218474E-65
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	24	24.742268041237114	9.880511398416201E-30	NOP56, POP5, NOP14, WDR36, POP7, DDX27, DIS3, KRR1, POP4, RPP30, UTP23, DDX56, DDX21, UTP18, BYSL, RRP9, MRPL44, EXOSC5, EXOSC10, DKC1, EXOSC9, GEMIN4, EXOSC2, RPP38	97	131	19308	36.46745888093177	2.9147508625327794E-27	2.9048703511343632E-27	2.6282160319787093E-27
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	68	70.10309278350515	7.223270741789691E-28	POP5, DBR1, POP7, DDX46, POP1, WDR3, POP4, RPP30, RTCB, CWC27, TSEN2, RRP9, EFTUD2, SART3, CLP1, PAPOLG, CWC22, NARS2, DHX15, DHX16, POLK, SNRPD3, MTPAP, RPP38, SRRM2, PRMT5, WDR36, SCAF11, DIS3, PUS1, UTP18, WDR33, MRPL44, NFX1, DKC1, GEMIN4, PPIG, SNRNP200, ZCCHC8, GTF3C2, DHX8, USP10, DDX23, DDX20, DDX21, CSTF2T, PRPF8, SCAF8, EXOSC5, EXOSC10, FIP1L1, EXOSC9, EXOSC8, CSTF1, DHX38, SF3B1, EXOSC2, DCAF13, NOP56, MBD4, NOP14, CHTOP, UTP3, KRR1, NOC3L, BYSL, PRPF31, CDK13	95	3963	20562	3.7138690784493407	8.884623012401319E-26	8.884623012401319E-26	6.139780130521238E-26
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	21	21.649484536082475	9.897547299709545E-21	SRRM2, ZCCHC8, PRPF38B, DBR1, DDX46, DHX8, DDX23, GPATCH1, PRPF4B, CWC27, PRPF8, EFTUD2, SART3, CWC22, DHX16, DHX38, PRPF31, SNRPD3, SNRNP200, SF3B1, RBM10	97	202	19308	20.6934775951822	2.9197764534143157E-18	1.454939453057303E-18	1.3163737908613695E-18
GOTERM_CC_DIRECT	GO:0005730~nucleolus	39	40.20618556701031	1.6323081973340477E-20	POP5, DDX6, POP7, DDX27, POP1, WDR3, POP4, UTP23, DDX23, PARN, DDX21, TSEN2, RRP9, EXOSC5, EXOSC10, EXOSC9, EXOSC8, DHX15, SF3B1, EXOSC2, DCAF13, METTL18, RPP38, NOP56, DDX18, NOP14, WDR36, CHTOP, SCAF11, UTP3, KRR1, DDX56, NOC3L, GNL2, UTP18, BYSL, DKC1, NFX1, GEMIN4	95	1397	20562	6.042406660889877	2.0077390827208785E-18	1.0038695413604393E-18	6.937309838669703E-19
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	12	12.371134020618557	2.7119205858409337E-17	PUS3, TRUB2, POP5, PUS10, SSB, POP7, DKC1, POP1, RPP30, ADAT1, MTO1, FARS2	97	38	19308	62.85838307107976	8.000165728230755E-15	2.657682174124115E-15	2.4045695861122947E-15
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	14	14.432989690721648	9.093316093353573E-17	DDX18, DDX6, DDX27, DDX46, DHX8, DDX23, DDX56, DDX20, DDX21, DHX30, DHX15, DHX16, DHX38, SNRNP200	97	77	18869	35.36832239925023	1.709743457922741E-14	7.047319972349019E-15	6.456254426281037E-15
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	14	14.432989690721648	1.6685851247808208E-16	SRRM2, ZCCHC8, DHX8, DDX23, GPATCH1, PRPF4B, CWC27, PRPF8, EFTUD2, CWC22, DHX38, SNRPD3, SNRNP200, SF3B1	95	89	20562	34.04707273802483	2.731148640577885E-14	6.841199011601365E-15	4.727657853545659E-15
GOTERM_CC_DIRECT	GO:0032040~small-subunit processome	10	10.309278350515463	1.1156540184983449E-13	NOP56, NOP14, WDR36, UTP3, KRR1, WDR3, UTP23, UTP18, DCAF13, RRP9	95	39	20562	55.497975708502025	1.3724021918903873E-11	3.4306361068824107E-12	2.370764789308983E-12
GOTERM_CC_DIRECT	GO:0071005~U2-type precatalytic spliceosome	10	10.309278350515463	1.2653759286086692E-12	SRRM2, EFTUD2, CWC22, DHX16, PRPF31, SNRPD3, CWC27, SNRNP200, PRPF8, SF3B1	95	50	20562	43.28842105263158	1.5563450528333078E-10	3.1128247843773264E-11	2.1511390786347378E-11
