#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALKBH8	TARBP1	9606.ENSP00000397673	9606.ENSP00000040877	0.042	0	0	0	0.106	0.056	0	0.596	0.629
ALKBH8	TRMT6	9606.ENSP00000397673	9606.ENSP00000203001	0	0	0	0	0.168	0.061	0	0.794	0.825
ALKBH8	PUS3	9606.ENSP00000397673	9606.ENSP00000227474	0	0	0	0	0.091	0.061	0	0.483	0.521
ALKBH8	MOCS3	9606.ENSP00000397673	9606.ENSP00000244051	0.052	0	0	0	0.090	0.057	0	0.855	0.867
ALKBH8	TRMT2A	9606.ENSP00000397673	9606.ENSP00000252136	0.070	0	0	0	0.087	0	0	0.462	0.503
ALKBH8	METTL5	9606.ENSP00000397673	9606.ENSP00000260953	0	0	0	0	0	0	0	0.456	0.456
ALKBH8	TRMT5	9606.ENSP00000397673	9606.ENSP00000261249	0.053	0	0	0	0.108	0.058	0	0.789	0.810
ALKBH8	NSUN2	9606.ENSP00000397673	9606.ENSP00000264670	0	0	0	0	0.124	0.077	0	0.860	0.877
ALKBH8	TRMT10A	9606.ENSP00000397673	9606.ENSP00000273962	0	0	0	0	0.133	0	0	0.748	0.772
ALKBH8	CDKAL1	9606.ENSP00000397673	9606.ENSP00000274695	0	0	0	0	0.187	0.057	0	0.295	0.412
ALKBH8	TRMU	9606.ENSP00000397673	9606.ENSP00000290846	0.042	0	0	0	0.062	0	0	0.561	0.571
ALKBH8	TRMT10B	9606.ENSP00000397673	9606.ENSP00000297994	0	0	0	0	0.133	0	0	0.466	0.517
ALKBH8	METTL3	9606.ENSP00000397673	9606.ENSP00000298717	0	0	0	0	0.066	0	0	0.479	0.492
ALKBH8	TRMT61B	9606.ENSP00000397673	9606.ENSP00000302801	0	0	0	0	0.146	0.057	0	0.570	0.624
ALKBH8	N6AMT1	9606.ENSP00000397673	9606.ENSP00000303584	0	0	0	0	0.062	0.115	0	0.899	0.909
ALKBH8	LCMT2	9606.ENSP00000397673	9606.ENSP00000307214	0	0	0	0	0.062	0.058	0	0.687	0.699
ALKBH8	PCMTD2	9606.ENSP00000397673	9606.ENSP00000307854	0.044	0	0	0	0.062	0	0	0.394	0.409
ALKBH8	TRMT10C	9606.ENSP00000397673	9606.ENSP00000312356	0	0	0	0	0.133	0	0	0.419	0.474
ALKBH8	METTL1	9606.ENSP00000397673	9606.ENSP00000314441	0.055	0	0	0	0.207	0.149	0	0.796	0.853
ALKBH8	NSUN3	9606.ENSP00000397673	9606.ENSP00000318986	0	0	0	0	0.124	0.077	0	0.536	0.592
